COBJ_FormID	COBJ_EDID	CNAM_FormID	CNAM_EDID	CNAM_FULL	BNAM_FormID	BNAM_EDID	BNAM_FULL	GNAM_FormID	GNAM_EDID	GNAM_FULL	FNAM_Keywords	FVPA	ReferencedBy_Flat	ReferencedByCount	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30	Ref_31	Ref_32	Ref_33	Ref_34	Ref_35	Ref_36	Ref_37
0004F21E	co_Null_Muzzle	0004F21D	mod_Null_Muzzle	No Muzzle										0																																					
0005A0C6	workshop_co_FoodTatoPlant	000D3EA7	workshopRecipe_TatoPlant	Tato Plant	0089383D	WorkshopWorkbenchAllType		0009DCC4	TatoVegetableFruit	Tato		c_Fertilizer:2:|TatoVegetableFruit:1:	0042E508:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Gardener_Sub_PlantWorkshopTatoPlant:CHAL|00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	3	0042E508:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Gardener_Sub_PlantWorkshopTatoPlant:CHAL	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																		
0005A0CB	workshop_co_SplineEndpoint	000000C2	SplineEndpointMarker	Connect Power	0089383D	WorkshopWorkbenchAllType					WorkshopRecipeFilterResource02Power03Wire	c_Copper:1:COBJ_Workshop_Copper	004869E8:Challenge_All_Recipes_Workshop:FLST	1	004869E8:Challenge_All_Recipes_Workshop:FLST																																				
0005A0CC	workshop_co_PowerConnector	003C94D6	workshop_LL_PowerConnectors_PowerConnector		0089383D	WorkshopWorkbenchAllType						c_Ceramic:2:COBJ_Workshop_Ceramic|c_Copper:2:COBJ_Workshop_Copper|c_Steel:2:COBJ_Workshop_Steel	004869E8:Challenge_All_Recipes_Workshop:FLST|00492890:Babylon_WorkshopWhitelist:FLST	2	004869E8:Challenge_All_Recipes_Workshop:FLST	00492890:Babylon_WorkshopWhitelist:FLST																																			
0005A0CD	workshop_co_WaterPurifier	00464834	workshop_LL_Water_WaterPurifiers		0089383D	WorkshopWorkbenchAllType		004E8500	Recipe_Workshop_Water_WaterPurifier	Plan: Water Purifier		c_Ceramic:2:COBJ_Workshop_Ceramic|c_Copper:2:COBJ_Workshop_Copper|c_Oil:2:COBJ_Workshop_Oil|c_Rubber:5:COBJ_Workshop_Rubber|c_Steel:10:COBJ_Workshop_Steel|c_Cloth:2:COBJ_Workshop_Cloth	003D7F4B:Container_Loot_MQ_OverseersCacheContainer_07_Charleston:LVLI|00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	3	003D7F4B:Container_Loot_MQ_OverseersCacheContainer_07_Charleston:LVLI	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																		
0005A0D0	workshop_co_GeneratorLarge	0066964C	workshop_LL_Power_Generators_Large		0089383D	WorkshopWorkbenchAllType		004E7A59	Recipe_Workshop_Power_Generator_Large	Plan: Large Generator		c_Ceramic:2:COBJ_Workshop_Ceramic|c_Copper:5:COBJ_Workshop_Copper|c_Gears:6:COBJ_Workshop_Gears|c_Rubber:4:COBJ_Workshop_Rubber|c_Steel:12:COBJ_Workshop_Steel|c_Screws:5:COBJ_Workshop_Screws	00439F62:LL_Recipe_Workshop_Power_Generator_All:LVLI|0047017F:QuestReward_LLS_Schematic_PowerPlantEvent:LVLI|004869E8:Challenge_All_Recipes_Workshop:FLST|00492890:Babylon_WorkshopWhitelist:FLST|005D00FE:workshop_LL_Power_Generators_Scavenged:LVLI	5	00439F62:LL_Recipe_Workshop_Power_Generator_All:LVLI	0047017F:QuestReward_LLS_Schematic_PowerPlantEvent:LVLI	004869E8:Challenge_All_Recipes_Workshop:FLST	00492890:Babylon_WorkshopWhitelist:FLST	005D00FE:workshop_LL_Power_Generators_Scavenged:LVLI																																
0005A0D1	workshop_co_GeneratorMedium	00477FDF	workshop_LL_Power_Generators_Medium		0089383D	WorkshopWorkbenchAllType						c_Ceramic:1:COBJ_Workshop_Ceramic|c_Copper:3:COBJ_Workshop_Copper|c_Gears:3:COBJ_Workshop_Gears|c_Rubber:3:COBJ_Workshop_Rubber|c_Steel:7:COBJ_Workshop_Steel|c_Screws:3:COBJ_Workshop_Screws	004869E8:Challenge_All_Recipes_Workshop:FLST|00492890:Babylon_WorkshopWhitelist:FLST|004F402D:WorkshopPlayerClaimRecipes:FLST|004F6806:RSVP00_Terminal_Miguel_Main:TERM|005C9970:ATX_Workshop_Generator_Watermill:COBJ	5	004869E8:Challenge_All_Recipes_Workshop:FLST	00492890:Babylon_WorkshopWhitelist:FLST	004F402D:WorkshopPlayerClaimRecipes:FLST	004F6806:RSVP00_Terminal_Miguel_Main:TERM	005C9970:ATX_Workshop_Generator_Watermill:COBJ																																
0005A0D5	workshop_co_GuardPost01	00329F51	WorkshopGuardPost01	Guard Post	0089383D	WorkshopWorkbenchAllType		003D64EB	recipe_Dummy_LearnedViaWorkshopClaim			c_Steel:4:COBJ_Workshop_Steel|c_Wood:10:COBJ_Workshop_Wood	004869E8:Challenge_All_Recipes_Workshop:FLST|00492890:Babylon_WorkshopWhitelist:FLST|004F402D:WorkshopPlayerClaimRecipes:FLST	3	004869E8:Challenge_All_Recipes_Workshop:FLST	00492890:Babylon_WorkshopWhitelist:FLST	004F402D:WorkshopPlayerClaimRecipes:FLST																																		
0005B5EA	workshop_co_Tables_PicnicTable01	001C176D	NpcTablePicnicSit01	Wooden Picnic Table	0089383D	WorkshopWorkbenchAllType		003C7BF2	Recipe_Workshop_Tables_NpcTablePicnicSit01	Plan: Wooden Picnic Table		c_Steel:2:COBJ_Workshop_Steel|c_Wood:8:COBJ_Workshop_Wood	004869E8:Challenge_All_Recipes_Workshop:FLST|00492890:Babylon_WorkshopWhitelist:FLST|0072BC1E:NPE_ABetterTomorrow_LL_Quest_Reward_Recipes:LVLI|00731DAC:GQ_SPOTLIGHTWorkshop_AllRecipesKnown_Condition:CNDF|00731DAD:GQ_Workshop_AllRecipesKnown_Condition:CNDF|00799B16:zzz_GHL_ABetterTomorrow_LL_Quest_Reward_BONUS:LVLI	6	004869E8:Challenge_All_Recipes_Workshop:FLST	00492890:Babylon_WorkshopWhitelist:FLST	0072BC1E:NPE_ABetterTomorrow_LL_Quest_Reward_Recipes:LVLI	00731DAC:GQ_SPOTLIGHTWorkshop_AllRecipesKnown_Condition:CNDF	00731DAD:GQ_Workshop_AllRecipesKnown_Condition:CNDF	00799B16:zzz_GHL_ABetterTomorrow_LL_Quest_Reward_BONUS:LVLI																															
0005DB90	workshop_co_WaterPump01	00332681	WaterPump01Activator	Water Pump	0089383D	WorkshopWorkbenchAllType		004E8502	Recipe_Workshop_Water_WaterPump01	Plan: Water Pump		c_Gears:1:COBJ_Workshop_Gears|c_Steel:4:COBJ_Workshop_Steel|c_Concrete:1:COBJ_Workshop_Circuitry	003D4723:Container_Loot_MQ_OverseersCacheContainer_04_Firehouse:LVLI|003D7F46:Container_Loot_MQ_OverseersCacheContainer_02_Flatwoods:LVLI|003D7F47:Container_Loot_MQ_OverseersCacheContainer_03_Morgantown:LVLI|003D7F49:Container_Loot_MQ_OverseersCacheContainer_05_TopOfTheWorld:LVLI|003D7F4A:Container_Loot_MQ_OverseersCacheContainer_06_FreeStates:LVLI|003D7F4B:Container_Loot_MQ_OverseersCacheContainer_07_Charleston:LVLI|003D7F4C:Container_Loot_MQ_OverseersCacheContainer_08_CampVenture:LVLI|003D7F4D:Container_Loot_MQ_OverseersCacheContainer_09_Allegheny:LVLI|003D7F4E:Container_Loot_MQ_OverseersCacheContainer_10_CampMcClintock:LVLI|00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	11	003D4723:Container_Loot_MQ_OverseersCacheContainer_04_Firehouse:LVLI	003D7F46:Container_Loot_MQ_OverseersCacheContainer_02_Flatwoods:LVLI	003D7F47:Container_Loot_MQ_OverseersCacheContainer_03_Morgantown:LVLI	003D7F49:Container_Loot_MQ_OverseersCacheContainer_05_TopOfTheWorld:LVLI	003D7F4A:Container_Loot_MQ_OverseersCacheContainer_06_FreeStates:LVLI	003D7F4B:Container_Loot_MQ_OverseersCacheContainer_07_Charleston:LVLI	003D7F4C:Container_Loot_MQ_OverseersCacheContainer_08_CampVenture:LVLI	003D7F4D:Container_Loot_MQ_OverseersCacheContainer_09_Allegheny:LVLI	003D7F4E:Container_Loot_MQ_OverseersCacheContainer_10_CampMcClintock:LVLI	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																										
