ENCH_FormID	ENCH_EDID	ENCH_FULL	ENIT_Flags	ENIT_CastType	ENIT_TargetType	ENIT_EnchantType	ENIT_ChargeTime	ENIT_EnchantCost	ENIT_EnchantAmount	Effects_Count	Effect_1_MGEF_FID	Effect_1_MGEF_EID	Effect_1_Magnitude	Effect_1_Area	Effect_1_Duration	Effect_1_CURV_EID	Effect_2_MGEF_FID	Effect_2_MGEF_EID	Effect_2_Magnitude	Effect_2_Area	Effect_2_Duration	Effect_2_CURV_EID	Effect_3_MGEF_FID	Effect_3_MGEF_EID	Effect_3_Magnitude	Effect_3_Area	Effect_3_Duration	Effect_3_CURV_EID	Effect_4_MGEF_FID	Effect_4_MGEF_EID	Effect_4_Magnitude	Effect_4_Area	Effect_4_Duration	Effect_4_CURV_EID	Effect_5_MGEF_FID	Effect_5_MGEF_EID	Effect_5_Magnitude	Effect_5_Area	Effect_5_Duration	Effect_5_CURV_EID	Effect_6_MGEF_FID	Effect_6_MGEF_EID	Effect_6_Magnitude	Effect_6_Area	Effect_6_Duration	Effect_6_CURV_EID	Effect_7_MGEF_FID	Effect_7_MGEF_EID	Effect_7_Magnitude	Effect_7_Area	Effect_7_Duration	Effect_7_CURV_EID	Effect_8_MGEF_FID	Effect_8_MGEF_EID	Effect_8_Magnitude	Effect_8_Area	Effect_8_Duration	Effect_8_CURV_EID	Effect_9_MGEF_FID	Effect_9_MGEF_EID	Effect_9_Magnitude	Effect_9_Area	Effect_9_Duration	Effect_9_CURV_EID	Effect_10_MGEF_FID	Effect_10_MGEF_EID	Effect_10_Magnitude	Effect_10_Area	Effect_10_Duration	Effect_10_CURV_EID	Effect_11_MGEF_FID	Effect_11_MGEF_EID	Effect_11_Magnitude	Effect_11_Area	Effect_11_Duration	Effect_11_CURV_EID	Effect_12_MGEF_FID	Effect_12_MGEF_EID	Effect_12_Magnitude	Effect_12_Area	Effect_12_Duration	Effect_12_CURV_EID	Effect_13_MGEF_FID	Effect_13_MGEF_EID	Effect_13_Magnitude	Effect_13_Area	Effect_13_Duration	Effect_13_CURV_EID	Effect_14_MGEF_FID	Effect_14_MGEF_EID	Effect_14_Magnitude	Effect_14_Area	Effect_14_Duration	Effect_14_CURV_EID	Effect_15_MGEF_FID	Effect_15_MGEF_EID	Effect_15_Magnitude	Effect_15_Area	Effect_15_Duration	Effect_15_CURV_EID	Effect_16_MGEF_FID	Effect_16_MGEF_EID	Effect_16_Magnitude	Effect_16_Area	Effect_16_Duration	Effect_16_CURV_EID	Effect_17_MGEF_FID	Effect_17_MGEF_EID	Effect_17_Magnitude	Effect_17_Area	Effect_17_Duration	Effect_17_CURV_EID	Effect_18_MGEF_FID	Effect_18_MGEF_EID	Effect_18_Magnitude	Effect_18_Area	Effect_18_Duration	Effect_18_CURV_EID	Effect_19_MGEF_FID	Effect_19_MGEF_EID	Effect_19_Magnitude	Effect_19_Area	Effect_19_Duration	Effect_19_CURV_EID	Effect_20_MGEF_FID	Effect_20_MGEF_EID	Effect_20_Magnitude	Effect_20_Area	Effect_20_Duration	Effect_20_CURV_EID	Effect_21_MGEF_FID	Effect_21_MGEF_EID	Effect_21_Magnitude	Effect_21_Area	Effect_21_Duration	Effect_21_CURV_EID	Effect_22_MGEF_FID	Effect_22_MGEF_EID	Effect_22_Magnitude	Effect_22_Area	Effect_22_Duration	Effect_22_CURV_EID	Effect_23_MGEF_FID	Effect_23_MGEF_EID	Effect_23_Magnitude	Effect_23_Area	Effect_23_Duration	Effect_23_CURV_EID	Effect_24_MGEF_FID	Effect_24_MGEF_EID	Effect_24_Magnitude	Effect_24_Area	Effect_24_Duration	Effect_24_CURV_EID	Effect_25_MGEF_FID	Effect_25_MGEF_EID	Effect_25_Magnitude	Effect_25_Area	Effect_25_Duration	Effect_25_CURV_EID	Effect_26_MGEF_FID	Effect_26_MGEF_EID	Effect_26_Magnitude	Effect_26_Area	Effect_26_Duration	Effect_26_CURV_EID	Effect_27_MGEF_FID	Effect_27_MGEF_EID	Effect_27_Magnitude	Effect_27_Area	Effect_27_Duration	Effect_27_CURV_EID	Effect_28_MGEF_FID	Effect_28_MGEF_EID	Effect_28_Magnitude	Effect_28_Area	Effect_28_Duration	Effect_28_CURV_EID	Effect_29_MGEF_FID	Effect_29_MGEF_EID	Effect_29_Magnitude	Effect_29_Area	Effect_29_Duration	Effect_29_CURV_EID	Effect_30_MGEF_FID	Effect_30_MGEF_EID	Effect_30_Magnitude	Effect_30_Area	Effect_30_Duration	Effect_30_CURV_EID	Globals_Count	ReferencedByCount	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30	Ref_31	Ref_32	Ref_33	Ref_34	Ref_35	Ref_36	Ref_37	Ref_38	Ref_39	Ref_40	Ref_41	Ref_42	Ref_43	Ref_44	Ref_45	Ref_46	Ref_47	Ref_48	Ref_49	Ref_50	Ref_51	Ref_52	Ref_53	Ref_54	Ref_55	Ref_56	Ref_57	Ref_58	Ref_59	Ref_60	Ref_61	Ref_62	Ref_63	Ref_64	Ref_65	Ref_66	Ref_67	Ref_68	Ref_69	Ref_70	Ref_71	Ref_72	Ref_73	Ref_74	Ref_75	Ref_76	Ref_77	Ref_78	Ref_79	Ref_80	Ref_81	Ref_82	Ref_83	Ref_84	Ref_85	Ref_86	Ref_87	Ref_88	Ref_89	Ref_90	Ref_91	Ref_92	Ref_93	Ref_94	Ref_95	Ref_96	Ref_97	Ref_98	Ref_99	Ref_100	Ref_101	Ref_102	Ref_103	Ref_104	Ref_105	Ref_106	Ref_107	Ref_108	Ref_109	Ref_110	Ref_111	Ref_112	Ref_113	Ref_114	Ref_115	Ref_116	Ref_117	Ref_118	Ref_119	Ref_120	Ref_121	Ref_122	Ref_123	Ref_124	Ref_125	Ref_126	Ref_127	Ref_128	Ref_129	Ref_130	Ref_131	Ref_132	Ref_133	Ref_134	Ref_135	Ref_136	Ref_137	Ref_138	Ref_139	Ref_140	Ref_141	Ref_142	Ref_143	Ref_144	Ref_145	Ref_146	Ref_147	Ref_148	Ref_149	Ref_150	Ref_151	Ref_152	Ref_153	Ref_154	Ref_155	Ref_156	Ref_157	Ref_158	Ref_159	Ref_160	Ref_161	Ref_162	Ref_163	Ref_164	Ref_165	Ref_166	Ref_167	Ref_168	Ref_169	Ref_170	Ref_171	Ref_172	Ref_173	Ref_174	Ref_175	Ref_176	Ref_177	Ref_178	Ref_179	Ref_180	Ref_181	Ref_182	Ref_183	Ref_184	Ref_185	Ref_186	Ref_187	Ref_188	Ref_189	Ref_190	Ref_191	Ref_192	Ref_193
00032567	crEnchBloodbugSpit		101	Constant Effect	Self	Enchantment	0.000000			4	00032568:crBloodbugBloodSpitEffectVFX	1.750000	0	6			00032569:crBloodbugBloodSpitEffect02	5.000000	0	6			0003256A:crRadioactiveSpitEffect	3.000000	0	5			000328F9:crBloodbugBloodSpitEffect04	1.350000	0	0																																																																																																																																																															0	1	00031FB9:crExplosionBloodbugSpitRed:EXPL																																																																																																																																																																																																
00031ED3	crEnchDeathclawIntimidate		1	Fire and Forget	Contact	Enchantment	0.000000			9	00031ED2:crDeathclawIntimidateMagEffect	21.000000	0	5			00031ED2:crDeathclawIntimidateMagEffect	29.000000	0	5			00031ED2:crDeathclawIntimidateMagEffect	39.000000	0	5			00031ED2:crDeathclawIntimidateMagEffect	49.000000	0	5			00031ED2:crDeathclawIntimidateMagEffect	59.000000	0	5			00031ED2:crDeathclawIntimidateMagEffect	69.000000	0	5			00031ED2:crDeathclawIntimidateMagEffect	79.000000	0	5			00031ED2:crDeathclawIntimidateMagEffect	89.000000	0	5			00031ED2:crDeathclawIntimidateMagEffect	99.000000	0	5																																																																																																																																	0	3	00031ECC:crExplosionDeathclawIntimidate:EXPL	00043365:crExplosionDeathclawAoEAttack:EXPL	006C42AD:crExplosionRepeller:EXPL																																																																																																																																																																																														
0002C946	crEnchMirelurkIchorSplatterFX		1	Constant Effect	Self	Enchantment	0.000000			1	0002C948:crMirelurkIchorSplatterFX	4.000000	0	5																																																																																																																																																																																	0	1	00028A2F:crExplosionMirelurkDeathGreen:EXPL																																																																																																																																																																																																
0002C945	crEnchBloodbugBloodSplatterFX		0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	0002C947:crBloodbugBloodSplatterFX	5.000000	0	5																																																																																																																																																																																	0	5	00028A2E:crExplosionBloodbugDeathRed:EXPL	000644DD:crExplosionBloatflyLarvaPoison:EXPL	005894AA:ExplosionArrowPoison:EXPL	0063D322:E09A_Launcher_BloatflySpawnExpl:EXPL	00783A4A:Storm_SE09_ChickenExplosion:EXPL																																																																																																																																																																																												
0003E579	EnchPowerArmor_Abilities	Power Armor	1	Constant Effect	Self	Enchantment	0.000000			4	000390C1:PowerArmorPerkEffect	0.000000	0	0			0020A24D:AbNoExplosionKnockdown	1.000000	0	0			0001F8BE:PowerArmorStrengthEffect	10.000000	0	0			002049DF:AbReduceActionPoints	1000.000000	0	0																																																																																																																																																															0	2	0001D320:SkinPowerArmor:ARMO	0003E577:ArmorPoweredFrame:ARMO																																																																																																																																																																																															
0003F488	dtFireEnchFlameChanceAlways	Fire Damage	101	Fire and Forget	Contact	Enchantment	0.000000			1	00084A4F:dtFireFlameEffectChanceAlways	5.000000	0	3																																																																																																																																																																																	0	4	000D76F1:OxygenTankTrap:WEAP	00113AAC:crDLC04AnimatronicLaserGunMkV:WEAP	001B5EDA:crTurretTripodMachineGunMkV:WEAP	004E89AF:zzz_mod_Legendary_Weapon_IncendiaryBullets:OMOD																																																																																																																																																																																													
000368FF	destEnchWater		0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	00036904:destWetEffect	5.000000	0	10																																																																																																																																																																																	0	0																																																																																																																																																																																																	
0005823C	EnchPowerArmor_BatteryRegenUp	Improved Energy Regen	0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	0004D899:AbFortifyActionPointRateHidden	1.500000	0	0																																																																																																																																																																																	0	0																																																																																																																																																																																																	
0005C22F	EnchPowerArmor_RadiationResistance	Improved Rad Resistance	0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	0004C47D:AbPerkFortifyResistRadiationExpose	100.000000	0	0																																																																																																																																																																																	0	0																																																																																																																																																																																																	
0006F12C	zzz_dtCryoEnchColdChanceLow	Cryo Damage	101	Fire and Forget	Contact	Enchantment	0.000000			2	0006F128:zzz_dtCryoColdEffectChanceLow	5.000000	0	10			00072DF5:zzz_CryoSlow	50.000000	0	10																																																																																																																																																																											0	0																																																																																																																																																																																																	
0006F12D	dtElectricalEnchEffectChanceLow	Electrical Damage	001	Fire and Forget	Contact	Enchantment	0.000000			1	0006F129:dtElectricalEffectChanceLow	5.000000	0	3																																																																																																																																																																																	0	0																																																																																																																																																																																																	
00083ADC	dtFireEnchFlameChanceLow	Fire Damage	001	Fire and Forget	Contact	Enchantment	0.000000			1	0006E51A:dtFireFlameEffectChanceLow	5.000000	0	3																																																																																																																																																																																	0	0																																																																																																																																																																																																	
00084A50	zzz_dtCryoEnchColdChanceAlways	Cryo Damage	101	Fire and Forget	Contact	Enchantment	0.000000			0																																																																																																																																																																																					0	0																																																																																																																																																																																																	
000856FF	dtElectricalEnchEffectChanceAlways	Electrical Damage	001	Fire and Forget	Contact	Enchantment	0.000000			1	000856FC:dtElectricalEffectChanceAlways	5.000000	0	3																																																																																																																																																																																	0	0																																																																																																																																																																																																	
00085700	ench_LegendaryWeapon_DamagePoison	Poison Damage	101	Fire and Forget	Contact	Enchantment	0.000000			1	000856FA:dtPoisonEffectChanceAlways	5.000000	0	10																																																																																																																																																																																	0	1	004F5778:zzz_mod_Legendary_Weapon4_Poison:OMOD																																																																																																																																																																																																
0008EFB5	EnchPowerArmor_CheapSprint	Cheap Sprint	0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	0008EFB6:PowerArmorCheapSprintEffect	0.000000	0	0																																																																																																																																																																																	0	0																																																																																																																																																																																																	
000BA431	mod_Lining_ReinforcedLimbs_Enchantment		0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	000BA430:mod_Lining_ReinforcedLimbs_MagicEffect	0.000000	0	0																																																																																																																																																																																	0	0																																																																																																																																																																																																	
000BA438	mod_Lining_Cushioned_Enchantment		0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	000BA437:mod_Lining_Cushioned_MagicEffect	0.000000	0	0																																																																																																																																																																																	0	0																																																																																																																																																																																																	
000BA442	mod_Lining_LightBuild_Enchantment		0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	000BA441:mod_Lining_LighterBuild_MagicEffect	0.000000	0	0																																																																																																																																																																																	0	0																																																																																																																																																																																																	
000BA452	mod_Lining_FieldGen_Radiation_CloakEnchantment_1	Field Gen Radiation 1	0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	000BA451:mod_Lining_FieldGen_Radiation_CloakEffect_1	10.000000	0	0																																																																																																																																																																																	0	0																																																																																																																																																																																																	
