FormID	EDID	FULL	DESC	NNAM	XALG_Flags	KEYWORDS	SWFI	BEVA	ETIP	ETDI	ETLG	ReferencedBy	ECIL_Count	ECIL_1	ECIL_2	ECIL_3	ECIL_4	ECIL_5	ECIL_6	ECIL_7	ECIL_8	ECIL_9	ECIL_10	ECIL_11	ECIL_12	ECIL_13	ECIL_14
00588223	ATX_ENTM_CAMP_FloorDecor_JackoLantern_Evil	Evil Jack O' Lantern	Strike fear into the hearts of your neighbors with this Evil Jack O' Lantern!  - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Evil Jack O' Lantern		003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|003DC598:ATX_Entitlement_Filter_Store_CAMP_Decorations:KYWD|0079A59D:ATX_ItemRarity_Standard:KYWD			Textures/ATX/Storefront/Camp/FloorDecoration/	ATX_CAMP_FloorDecor_JackoLantern_Evil.dds		005772DE:workshop_LL_Misc_SpookyScorched_JackOLanterns:LVLI|00588225:ZZZ_ATX_workshop_LL_Decorations_JackoLanterns:LVLI	2	ATX_CAMP_FloorDecor_JackoLantern_Evil_C1.ddsATX_CAMP_FloorDecor_JackoLantern_Evil_C2.dds													
00588221	ATX_ENTM_CAMP_FloorDecor_JackoLantern_Smiley	Smiley Jack O' Lantern	Illuminate your excitement for Halloween with this Smiley Jack O' Lantern!  - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Smiley Jack O' Lantern		003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|003DC598:ATX_Entitlement_Filter_Store_CAMP_Decorations:KYWD|0079A59D:ATX_ItemRarity_Standard:KYWD			Textures/ATX/Storefront/Camp/FloorDecoration/	ATX_CAMP_FloorDecor_JackoLantern_Smiley.dds		005772DE:workshop_LL_Misc_SpookyScorched_JackOLanterns:LVLI|00588225:ZZZ_ATX_workshop_LL_Decorations_JackoLanterns:LVLI	2	ATX_CAMP_FloorDecor_JackoLantern_Smiley_C1.ddsATX_CAMP_FloorDecor_JackoLantern_Smiley_C2.dds													
00588222	ATX_ENTM_CAMP_FloorDecor_JackoLantern_Astonished	Astonished Jack O' Lantern	Astonish your guests on Halloween with this Astonished Jack O' Lantern!  - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Astonished Jack O' Lantern		003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|003DC598:ATX_Entitlement_Filter_Store_CAMP_Decorations:KYWD|0079A59D:ATX_ItemRarity_Standard:KYWD			Textures/ATX/Storefront/Camp/FloorDecoration/	ATX_CAMP_FloorDecor_JackoLantern_Astonished.dds		005772DE:workshop_LL_Misc_SpookyScorched_JackOLanterns:LVLI|00588225:ZZZ_ATX_workshop_LL_Decorations_JackoLanterns:LVLI	2	ATX_CAMP_FloorDecor_JackoLantern_Astonished_C1.ddsATX_CAMP_FloorDecor_JackoLantern_Astonished_C2.dds													
0058821F	ATX_ENTM_Apparel_Headwear_MothmanGlasses	Mothman Glasses	Glasses in the style of your favorite cryptid.  - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Mothman Glasses		003BF410:ATX_Entitlement_Category_Store_Apparel:KYWD|0051AB27:ATX_Entitlement_Filter_Store_Apparel_Headwear:KYWD|0079A59D:ATX_ItemRarity_Standard:KYWD			Textures/ATX/Storefront/Player/Headwear/	ATX_Apparel_Headwear_MothmanGlasses.dds		00586A14:ATX_co_Clothes_Headwear_MothmanGlasses:COBJ	2	ATX_Apparel_Headwear_MothmanGlasses_C1.ddsATX_Apparel_Headwear_MothmanGlasses_C2.dds													
00588220	ATX_ENTM_Apparel_Headwear_3DGlasses	3D Glasses	Observe the third dimension with these 3D Glasses!  - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	3D Glasses		003BF410:ATX_Entitlement_Category_Store_Apparel:KYWD|0051AB27:ATX_Entitlement_Filter_Store_Apparel_Headwear:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Player/Headwear/	ATX_Apparel_Headwear_3DGlasses.dds		00586A15:ATX_co_Clothes_Headwear_3DGlasses:COBJ	2	ATX_Apparel_Headwear_3DGlasses_C1.ddsATX_Apparel_Headwear_3DGlasses_C2.dds													
0058821E	ATX_ENTM_Apparel_Headwear_EyeBoggleGlasses	Eye Boggle Glasses	Boggle the senses with these Eye Boggle Glasses.  - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Eye Boggle Glasses		003BF410:ATX_Entitlement_Category_Store_Apparel:KYWD|0051AB27:ATX_Entitlement_Filter_Store_Apparel_Headwear:KYWD|0079A59D:ATX_ItemRarity_Standard:KYWD			Textures/ATX/Storefront/Player/Headwear/	ATX_Apparel_Headwear_EyeBoggleGlasses.dds		00586A13:ATX_co_Clothes_Headwear_EyeBoggleGlasses:COBJ	2	ATX_Apparel_Headwear_EyeBoggleGlasses_C1.ddsATX_Apparel_Headwear_EyeBoggleGlasses_C2.dds													
00586AB0	SCORE_S1_ENTM_Utility_AmmoConverter	AmmoPoints Ammo Converter	Turn other people's trash fire into your firepower!   A terminal where you can convert unwanted ammo types into points. Then use those points to buy the ammo you need for your adventures in the wasteland.  This item cannot be built inside of a Shelter.  - AVAILABLE FOR GOLD BULLION PER CHARACTER. C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Ammo Converter	Premium	003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|00412287:ATX_Entitlement_Filter_Store_CAMP_Utility:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Camp/Utility/	SCORE_S1_CAMP_Utility_AmmoConverter.dds		005A0EE5:W05_LLV_GoldVendor_Raider_Mortimer_1_Cautious:LVLI|005C8AE2:SCORE_workshop_co_CategoryResources_AmmoConverter:COBJ|0060223E:BS02_SpecialVendor_Minerva_LLS_GoldVendor_07:LVLI|00618512:BS02_SpecialVendor_Minerva_LLS_GoldVendor_Backlog:LVLI	2	SCORE_S1_CAMP_Utility_AmmoConverter_C1.ddsSCORE_S1_CAMP_Utility_AmmoConverter_C2.dds													
00586A75	ATX_ENTM_CAMP_Floor_RedForce	Red Force Floor and Foundations	Support the cause in your C.A.M.P. with this Red Force Floor and Foundations set.  - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Red Force Floor		003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|0052B5F9:ATX_Entitlement_Filter_Store_CAMP_Structures:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Camp/Floors/	ATX_CAMP_Floor_RedForce.dds		0008BEC1:workshop_LL_Structure_FloorFull:LVLI|003EAEC0:workshop_LL_Structure_FoundationWood:LVLI|003EAEC2:workshop_LL_Structure_FoundationConcrete:LVLI	2	ATX_CAMP_Floor_RedForce_C1.ddsATX_CAMP_Floor_RedForce_C2.dds													
00586A73	ATX_ENTM_CAMP_WallDeco_Squished_Witch	Squished Witch Halloween Decoration	Embrace the spirit of Halloween with the Squished Witch wall decoration!  - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Squished Witch		003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|003DC598:ATX_Entitlement_Filter_Store_CAMP_Decorations:KYWD|0079A59D:ATX_ItemRarity_Standard:KYWD			Textures/ATX/Storefront/Camp/WallDecoration/	ATX_CAMP_WallDeco_Squished_Witch.dds		00586A74:ATX_workshop_co_WallDecor_Halloween_SquishedWitch:COBJ	2	ATX_CAMP_WallDeco_Squished_Witch_C1.ddsATX_CAMP_WallDeco_Squished_Witch_C2.dds													
00586A6F	ATX_ENTM_CAMP_Floor_RedShift	Red Shift Floor and Foundations	No secret base is complete without the proper look. This thick tile flooring will showcase the strength and stability of communism.  - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Red Shift Floor		003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|0052B5F9:ATX_Entitlement_Filter_Store_CAMP_Structures:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Camp/Floors/	ATX_CAMP_Floor_RedShift.dds		0008BEC1:workshop_LL_Structure_FloorFull:LVLI|003EAEC0:workshop_LL_Structure_FoundationWood:LVLI|003EAEC2:workshop_LL_Structure_FoundationConcrete:LVLI	2	ATX_CAMP_Floor_RedShift_C1.ddsATX_CAMP_Floor_RedShift_C2.dds													
