FLST_FormID	FLST_EDID	FLST_FULL	EntryIndex	Entry_Sig	Entry_FormID	Entry_EDID	Entry_FULL
00032A1E	DELETED_BloodbugCombatOverrideList		0	PACK	00042240	DefaultCombatMasterPackage	
00030FBB	DefaultHoldPositionRELinkPatrol512List		0				
00021B14	VoicesChildGenericList		0	VTYP	00013AE8	MaleChild	
00021B14	VoicesChildGenericList		1	VTYP	00013AE9	FemaleChild	
00021F66	WeaponsShotgunList		0	WEAP	00092217	DoubleBarrelShotgun	Double-Barrel Shotgun
00021F66	WeaponsShotgunList		1	WEAP	0014831C	CombatShotgun	Combat Shotgun
00022793	AlcoholItems		0				
00022822	ap_unlimited_default_list		0	KYWD	00022821	ap_armor_Lining	No Misc
00022B33	DefaultMasterPackageList		0	PACK	00066513	EMSystemLinkToSleepPackage	
00022B33	DefaultMasterPackageList		1	PACK	001D8854	EMSystemLinkToSleepWithAmbushPackage	
00022B33	DefaultMasterPackageList		2	PACK	001AE397	DMPTargetPracticePackage	
00022B33	DefaultMasterPackageList		3	PACK	0033D253	AttackScentAttractorMeat	
00022B33	DefaultMasterPackageList		4	PACK	00530047	DefaultEncounterWaveTravel	
00022B33	DefaultMasterPackageList		5	PACK	00042A1C	DefaultMasterPackage	
00022CE5	VendorItemsMisc		0	KYWD	00022CE4	VendorItemNoSale	
00022CE5	VendorItemsMisc		1	KYWD	00022CE3	VendorItemKey	
0007BBB1	SkinMaleHumanBody		0	TXST	0003EDE8	SkinBodyMale_1	
0007BBB2	SkinFemaleHumanBody		0				
0007BBB4	SkinMaleHumanHand		0	TXST	0003EDEA	SkinHandMale_1	
000A8026	HeadPartsHuman		0	RACE	00013746	HumanRace	Human
000A803C	HeadPartsChildren		0	RACE	0011D83F	HumanChildRace	Human
000A803C	HeadPartsChildren		1	RACE	006273AA	SCORE_S5_Inspector_HumanChildRace	Human
000001F3	HairColorListDoNotUse		0	CLFM	000A042F	HairColor03GoldenBlond	Golden Blond
000001F3	HairColorListDoNotUse		1	CLFM	000A0439	HairColor01LightRed	Ginger
000001F3	HairColorListDoNotUse		2	CLFM	000A0431	HairColor06Red	Red
000001F3	HairColorListDoNotUse		3	CLFM	000A042D	HairColor02LightBrown	Light Brown
000001F3	HairColorListDoNotUse		4	CLFM	000A042E	HairColor04Silver	Silver
000001F3	HairColorListDoNotUse		5	CLFM	000A042C	HairColor05Graying	Graying
00000163	HelpManualPC		0	MESG	005A2D87	W05_HelpAllies	Allies
00000163	HelpManualPC		1	MESG	001E2324	HelpActionPoints	Action Points
00000163	HelpManualPC		2	MESG	007AD477	HelpBestBuilds	Best Builds
00000163	HelpManualPC		3	MESG	0051171C	HelpBlueprints_PC	Blueprints
00000163	HelpManualPC		4	MESG	0084C766	HelpCAMP2_PC	C.A.M.P.
00000163	HelpManualPC		5	MESG	0084C767	HelpCAMP2_BuildMode_PC	C.A.M.P. - Build Mode
00000163	HelpManualPC		6	MESG	0084C763	HelpCAMP2_CreateBuildings_PC	C.A.M.P. - Create Buildings
00000163	HelpManualPC		7	MESG	0084C764	HelpCAMP2_FreeCamera_PC	C.A.M.P. - Free Camera
00000163	HelpManualPC		8	MESG	0084C765	HelpCAMP2_ModifyMode_PC	C.A.M.P. - Modify Mode
00000163	HelpManualPC		9	MESG	0084C768	HelpCAMP2_RelaxedBuildRules_PC	C.A.M.P. - Relaxed Build Rules
00000163	HelpManualPC		10	MESG	007C7375	HelpCAMPPets	C.A.M.P. Pets
00000163	HelpManualPC		11	MESG	001EC026	HelpCarryWeightPC	Carry Weight
00000163	HelpManualPC		12	MESG	0051171E	HelpCheckpoints	Checkpoints
00000163	HelpManualPC		13	MESG	001E6019	HelpChems	Chems
00000163	HelpManualPC		14	MESG	001E73E3	HelpCompass	Compass
00000163	HelpManualPC		15	MESG	001EB87A	HelpControls_PC	Controls
00000163	HelpManualPC		16	MESG	002B9CFB	HelpCrafting_PC	Crafting
00000163	HelpManualPC		17	MESG	007BA4CF	HelpDamageOverTime	Damage over Time
00000163	HelpManualPC		18	MESG	001E73E6	HelpDamageTypes	Damage Types
00000163	HelpManualPC		19	MESG	007BA4D4	HelpDamageCryo	Damage - Cryo
00000163	HelpManualPC		20	MESG	007BA4D1	HelpDamageEnergy	Damage - Energy
00000163	HelpManualPC		21	MESG	007BA4D3	HelpDamageFire	Damage - Fire
00000163	HelpManualPC		22	MESG	007BA4D0	HelpDamagePhysical	Damage - Physical
00000163	HelpManualPC		23	MESG	007BA4D5	HelpDamagePoison	Damage - Poison
00000163	HelpManualPC		24	MESG	007BA4D2	HelpDamageRadiation	Damage - Radiation
00000163	HelpManualPC		25	MESG	001EC01F	HelpDamagedLimbs	Damaged Limbs
00000163	HelpManualPC		26	MESG	0050D59D	HelpDeath	Death
00000163	HelpManualPC		27	MESG	007B27B3	HelpStatDeflect	Deflect
00000163	HelpManualPC		28	MESG	005A2D85	W05_HelpDialogue_PC	Dialogue
00000163	HelpManualPC		29	MESG	002B9CFC	HelpDisease	Disease
00000163	HelpManualPC		30	MESG	002B9CFE	HelpEmotes_PC	Emotes
00000163	HelpManualPC		31	MESG	007B27B2	HelpStatEvade	Evade
00000163	HelpManualPC		32	MESG	002B9CFF	HelpActivityPublicEvents	Activity & Public Events
00000163	HelpManualPC		33	MESG	001EC024	HelpFastTravel_PC	Fast Travel
00000163	HelpManualPC		34	MESG	001EC023	HelpFavorites_PC	Favorites
00000163	HelpManualPC		35	MESG	00818AAF	HelpFishingtPC	Fishing
00000163	HelpManualPC		36	MESG	008D4C65	HelpFishing_SeasonalFish	Fishing - Seasonal Fish
00000163	HelpManualPC		37	MESG	001EC021	HelpFood	Food
00000163	HelpManualPC		38	MESG	005A2D84	W05_HelpGoldBullion	Gold Bullion
00000163	HelpManualPC		39	MESG	007D67B0	HelpGhoul	Ghouls (Player)
00000163	HelpManualPC		40	MESG	007B77F1	HelpDisguise	Disguises (Ghoul)
00000163	HelpManualPC		41	MESG	007A76A6	HelpFeral	Feral Meter (Ghoul)
00000163	HelpManualPC		42	MESG	007B77F2	HelpGlow	Glow (Ghoul)
00000163	HelpManualPC		43	MESG	0000017B	HelpHacking_PC	Hacking
00000163	HelpManualPC		44	MESG	003D3655	HelpHungerThirst	Hunger/Thirst
00000163	HelpManualPC		45	MESG	0088D9C9	HelpHostileTakeOver	Infestation
00000163	HelpManualPC		46	MESG	005A2D82	W05_HelpInstances	Instanced Interiors
00000163	HelpManualPC		47	MESG	001EBAEA	HelpLegendaryEnemies	Legendaries
00000163	HelpManualPC		48	MESG	007AA7B1	HelpLegendaryCrafting	Legendary Crafting
00000163	HelpManualPC		49	MESG	005C4634	HelpLegendaryPerks_PC	Legendary Perks
00000163	HelpManualPC		50	MESG	00000178	HelpLeveling_PC	Leveling Up
00000163	HelpManualPC		51	MESG	005EEADA	HelpLunchboxes	Lunchboxes
00000163	HelpManualPC		52	MESG	001EABF2	HelpMap_PC	Map
00000163	HelpManualPC		53	MESG	003D3B69	HelpMutations	Mutations
00000163	HelpManualPC		54	MESG	007EE004	HelpOnslaught	Onslaught
00000163	HelpManualPC		55	MESG	0082E324	HelpAdrenaline	Kill Streak
00000163	HelpManualPC		56	MESG	0044B5FF	HelpPacifistMode	Pacifist Mode
00000163	HelpManualPC		57	MESG	001EABEF	HelpPerkCards_PC	Perks
00000163	HelpManualPC		58	MESG	0079AC41	HelpPerkCardPacks	Perk Card Packs
00000163	HelpManualPC		59	MESG	003A086B	HelpPhotomode_PC	Photomode
00000163	HelpManualPC		60	MESG	0000017C	HelpPickingLocks_PC	Picking Locks
