FormID	EDID	ParentQuestDisplay	ParentQuestLink	RewardsCount	RewardIndex	RewardedItemIndex	RewardedItem	RewardedItemCount	NAM7_XPGlobal	NAM8_CapsGlobal	XPCT_XPCurveTable	QRCO_CurrencyObject	QRLI_LegendaryItemRewardList	QRLR_LegendaryItemRewardRank	QRRI_LegendaryRankRandom	TierLabel	TierConditionFunc	TierConditionValue	Conditions	ConditionGlobs	ReferencedByCount	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6	Ref7	Ref8	Ref9	Ref10	Ref11	Ref12	Ref13	Ref14	Ref15	Ref16	Ref17	Ref18	Ref19	Ref20
00630FDA	ChallengeReward_SCORE_Challenge_Daily_Craft_Weapons_Grenades			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FD8	ChallengeReward_SCORE_Challenge_Daily_Craft_MeatMeals			1	0	0						0000000F:Caps001:CNCY		1							0																				
00631043	ChallengeReward_SCORE_Challenge_Weekly_DailyOps_Challenges			1	0	0						0000000F:Caps001:CNCY		1							0																				
00631067	ChallengeReward_SCORE_Challenge_Weekly_RankGated_XP_Under25			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FD9	ChallengeReward_SCORE_Challenge_Daily_Craft_PlantMeals			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FEF	ChallengeReward_SCORE_Challenge_Daily_Kill_Deathclaws			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FCF	ChallengeReward_SCORE_Challenge_Daily_Consume_Food_MeatBased			1	0	0						0000000F:Caps001:CNCY		1							0																				
00631058	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_Event_Colossus			1	0	0						0000000F:Caps001:CNCY		1							0																				
0063100D	ChallengeReward_SCORE_Challenge_Daily_QuestComplete_Event			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FD3	ChallengeReward_SCORE_Challenge_Daily_Craft_Ammo			1	0	0						0000000F:Caps001:CNCY		1							1	008F670E:SCORE_Challenge_Daily_TravelDistance:CHAL																			
00631004	ChallengeReward_SCORE_Challenge_Daily_Photomode_while_in_Group			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630F2D	ChallengeReward_ATX_DE2021_Love_Challenge_Weekly_Kill_SuperMutants			1	0	0						0000000F:Caps001:CNCY		1							1	005FA482:ATX_DE2021_Love_Challenge_Weekly_Kill_SuperMutants:CHAL																			
0063101E	ChallengeReward_SCORE_Challenge_Daily_ScrapOrCraft_Armor			1	0	0						0000000F:Caps001:CNCY		1							0																				
0063105C	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_Event_ScorchedEarth			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630F48	ChallengeReward_Challenge_Lifetime_LevelUp_Level_050_PerkCoins			1	0	0				005E4ABF:Challenge_Lifetime_Level50_PerkCoins:GLOB		005AD146:PerkScrapCurrency:CNCY		1							1	005E4ABE:Challenge_Lifetime_LevelUp_Level_050_PerkCoins:CHAL																			
0063101F	ChallengeReward_SCORE_Challenge_Daily_ScrapOrCraft_ArmorPower			1	0	0						0000000F:Caps001:CNCY		1							0																				
0063106C	ChallengeReward_SCORE_Challenge_Weekly_ScrapOrCraft_ArmorWeapons			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630F33	ChallengeReward_Challenge_Lifetime_Craft_Armor_Intro			1	0	0	0041ADEC:Utility_RepairKit_Improved:UTIL	1				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1							1	003B804C:Challenge_Lifetime_Craft_Armor_Intro:CHAL																			
00631060	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_Events			1	0	0						0000000F:Caps001:CNCY		1							0																				
006310B0	ChallengeReward_zzzBabylon_Challenge_Lifetime_Kill_Creatures_Tier2			1	0	0	003FCBB3:zzz_BabylonStandardPerkCardPackCurrency:CNCY	1				0000000F:Caps001:CNCY		1							1	003FC19F:CUT_Babylon_Challenge_Lifetime_Kill_Creatures_Tier2:CHAL																			
00630F53	ChallengeReward_Challenge_Lifetime_LevelUp_Over100			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1							1	0043A18C:Challenge_Lifetime_LevelUp_Over100:CHAL																			
0063103F	ChallengeReward_SCORE_Challenge_Weekly_Craft_Legendary_Armor_1Star			1	0	0						0000000F:Caps001:CNCY		1							1	0060EC2D:CUT_SCORE_Challenge_Weekly_Craft_Legendary_Armor_1Star:CHAL																			
00631044	ChallengeReward_SCORE_Challenge_Weekly_GatherPlants			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630F37	ChallengeReward_Challenge_Lifetime_CraftScrap_Weapon_Tiers_Ranged_Intro			2	0	0	0033AB7B:LL_Weapon_Ranged_LaserGun:LVLI	1				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1							1	0043A184:Challenge_Lifetime_CraftScrap_Weapon_Tiers_Ranged_Intro:CHAL																			
00630F37	ChallengeReward_Challenge_Lifetime_CraftScrap_Weapon_Tiers_Ranged_Intro			2	1	0	000C1897:AmmoFusionCell:AMMO	50				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1							1	0043A184:Challenge_Lifetime_CraftScrap_Weapon_Tiers_Ranged_Intro:CHAL																			
006310AE	ChallengeReward_zzzBabylon_Challenge_Lifetime_Kill_Creatures_Intro			1	0	0	00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY	1				0000000F:Caps001:CNCY		1							1	003FC19D:CUT_Babylon_Challenge_Lifetime_Kill_Creatures_Intro:CHAL																			
00630FE3	ChallengeReward_SCORE_Challenge_Daily_Hack			1	0	0						0000000F:Caps001:CNCY		1							0																				
0063101C	ChallengeReward_SCORE_Challenge_Daily_RestoreHealth_Food_Plants			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FD5	ChallengeReward_SCORE_Challenge_Daily_Craft_Legendary_Armor_1Star			1	0	0						0000000F:Caps001:CNCY		1							1	0060EC2B:CUT_SCORE_Challenge_Daily_Craft_Legendary_Armor_1Star:CHAL																			
0063104B	ChallengeReward_SCORE_Challenge_Weekly_Kill_GlowingCreature			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FFE	ChallengeReward_SCORE_Challenge_Daily_LevelUp			1	0	0						0000000F:Caps001:CNCY		1							1	003B8024:SCORE_Challenge_Daily_LevelUp:CHAL																			
00631185	ChallengeReward_zzzBabylon_Challenge_Lifetime_Take_Photos			1	0	0	00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY	1				0000000F:Caps001:CNCY		1							1	003F877E:CUT_Babylon_Challenge_Lifetime_Take_Photos:CHAL																			
00630F41	ChallengeReward_Challenge_Lifetime_LevelUp_Level_020			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1							1	0043828A:Challenge_Lifetime_LevelUp_Level_020:CHAL																			
00630F5B	ChallengeReward_Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Electrician			1	0	0				00485276:Challenge_Global_0001:GLOB		00421760:PossumBadge:CNCY		1							1	004266A8:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Electrician:CHAL																			
00630FDB	ChallengeReward_SCORE_Challenge_Daily_GainScrap_Aluminum			1	0	0						0000000F:Caps001:CNCY		1							0																				
00631039	ChallengeReward_SCORE_Challenge_Weekly_Consume_Alcohol_Med_Brewing			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630F39	ChallengeReward_Challenge_Lifetime_Discover_ToxicValleyRegion_Intro			1	0	0	00432F2A:LL_Armor_Metal_Any_Light:LVLI	1				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1							1	003B7FC7:Challenge_Lifetime_Discover_ToxicValleyRegion_Intro:CHAL																			
00631018	ChallengeReward_SCORE_Challenge_Daily_RankGated_XP_Under50			1	0	0						0000000F:Caps001:CNCY		1							0																				
00631002	ChallengeReward_SCORE_Challenge_Daily_Photomode_General			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630F69	ChallengeReward_Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Tadpole_Herpetologist			1	0	0				00485276:Challenge_Global_0001:GLOB		0042175F:TadpoleBadge:CNCY		1							1	00424B7B:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Tadpole_Herpetologist:CHAL																			
00631025	ChallengeReward_SCORE_Challenge_Daily_Shelters_Visit_Other			1	0	0						0000000F:Caps001:CNCY		1							0																				
00631063	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_Events_while_in_Group			1	0	0						0000000F:Caps001:CNCY		1							0																				
