KEYM_FormID	KEYM_EDID	LocationName	LocationSource	QuestName
00166A83	TestKey			W05_MQ_003P_Muscle_DuncanNDuncanQuest_Interior
00110A00	ADV020WarehouseKey			
00110A3B	ADV003_Key			
00110C9B	ADV002_SafeKey			
00111128	ADV007_SpaKey			
0012157D	CUT_V94_1_EngineeringKey	Vault 94 OLD	NameParse	
00129DE7	LuckyHoleKey	Lucky Hole Mine	NameParse	
00051924	LC046_KerwoodMineKey	Kerwood Mine	NameParse	
0018215F	EN05_Patriotism_JimmyTerminalPassword	CampMcClintockExt04	ExtCell	Patriotism Training
00073CD2	ENz09_Room201Keycard	Whitespring Resort Holding Cell	NameParse	Room Service
00081501	ENz09_Room202Keycard	Whitespring Resort Holding Cell	NameParse	Room Service
00081503	ENz09_Room203Keycard	Whitespring Resort Holding Cell	NameParse	Room Service
0009ADA2	ENz09_Room204Keycard	Whitespring Resort Holding Cell	NameParse	Room Service
0009ADA4	ENz09_Room205Keycard	Whitespring Resort Holding Cell	NameParse	Room Service
0009ADBC	ENz09_Room206Keycard			Room Service
0012B934	LC043_SecurityKey	Eastern Regional Penitentiary	NameParse	
0005A2D0	V94_2_ResidentIDCard			Vault Mission  Meltdown<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
0017EF38	MTR09_BrittleKey			
00291AF3	LC112_AtlasUtilityKey			
00091DC7	LC012_BigBendTunnelKey	Big Bend Tunnels	NameParse	
0019BDC6	FF09_DailyCode			Activity  Fertile Soil
00295C55	BMO_BunkerKey02_MountBlairTrainyard_final	BlackMountainOrdnanceWorksExt05	ExtCell	
00295C58	BMO_BunkerKey03_NukaCola_final	BlackMountainOrdnanceWorksExt15	ExtCell	
0029AE6B	LC082_GregsMineSupplyKeys	GregsMineSupplyExt	ExtCell	
0029AE7A	LC197_GraftonDamKeys			
0013B753	SugarGroveGuardKey	Sugar Grove	NameParse	
000074A1	RadioResearchCenterKey	Radio Astronomy Research Center	NameParse	
002C3D9E	MorgantownHSSafeKey	Morgantown High School	NameParse	
002C3EAE	MTR05_SeniorExecID	Hornwright Industrial HQ	NameParse	Activity  Breach and Clear
00053EE6	MTRZ01_Key	Blackwater Mine	NameParse	Lost and Found
000682ED	MTR05_HRPassword			The Motherlode
000683EB	MTR05_RDClearance			
002D112C	TEMP_EN07_SiloAlphaAccessCode			
002D112D	TEMP_EN07_SiloBetaAccessCode			
002D112E	TEMP_EN07_SiloGammaAccessCode			
002D112F	TEMP_EN07_LaunchAlphaAccessCode			
002D1130	TEMP_EN07_LaunchBetaAccessCode			
002D1131	TEMP_EN07_LaunchGammaAccessCode			
0003EA52	BurningMineEntranceKey	Quick Test Cell	NameParse	
00223B9C	LC112_DirectorsPassword			
0013F07F	LC006_GeneralManagersPassword	Poseidon Energy Plant WV-06	NameParse	
002D8F47	LC006_StorageRoomKey	Poseidon Energy Plant WV-06	NameParse	
002D8FB3	LC006_PoseidonAccessCodes	Poseidon Energy Plant WV-06	NameParse	
0023D330	TW007_POBoxKey	ClarksburgExt03	ExtCell	Cold Case
002B5505	EN01_SafePassword	Sam Blackwell's Bunker	NameParse	Bunker Buster
0009EE62	FS01_MQ_Warn_RaleighPassword	FreeStatesBunker04Ext	ExtCell	Early Warnings
002E14F9	LC184_ResearchWingPassword	West Tek Research Center	NameParse	Learn the Secrets of West Tek
00240B78	FS03_MQ_Fruition_NirajPassword			Coming to Fruition
00298AA4	FS03_MQ_Fruition_SamPassword			
0027DB2F	ENB_CongressionalID	Whitespring Bunker	NameParse	Bunker Buster
002ECA00	DebugIDCard	Animated Activators Ahoy	NameParse	Test Name  <Alias=TestSteveCLocation>
0003AE14	SugarGroveAgentAccessKeycard			
00094FC1	BMO_BunkerKey03_NukaCola_01	Kanawha Nuka-Cola Plant	NameParse	
00041C3E	BMO_BunkerKey03_NukaCola_02	SuttonExt09	ExtCell	
00181BF9	BMO_BunkerKey03_NukaCola_03	WatogaExt16	ExtCell	
0026B2E0	BoS03TaggerdyID			Belly of the Beast
0027E58A	MTNL01_RaiderCacheKeycard	PleasantValleySkiResortExt03	ExtCell	Key To the Past
00222790	CB04_Keycard	RobCo Research Center	NameParse	Mayor for a Day
00029058	SFL02_Track_DyerChemIDCard			Tracking Unknowns
0030C9F0	CUT_V94_1_MaintainenceAccessCode	Vault 94 OLD	NameParse	
0030C9F1	CUT_V94_AdministratorPassword	Vault 94 OLD	NameParse	
0013D399	CUT_V94_3_MaintainenceIDCard			
00164259	SurvivalTrainingCenter_Lootcloset_Key	Fort Defiance	NameParse	
00312281	TW002SecurityStationPassword	Eastern Regional Penitentiary	NameParse	Falsely Accused
002963B1	MTR04_BadgeKey			Daily  Mistaken Identity
00313363	TestSmokeKey	76 QA Smoke	NameParse	
002C478B	LC089_PRCFacilityIDCard	MamaDolceProcessingExt02	ExtCell	I Am Become Death
0031FAE5	LC144_SunnytopRoomKey	[CELL:00050B2C]	ExtCell	
0032D632	TestElevatorKeycard			
00335501	V63_Access_IDCard	Vault 63 Entrance	NameParse	
0033553C	V63_3_ResidentIDCard			Vault 63  Riot
003355B2	V63_2_MaintenanceIDCard			Vault 63  Fire Outbreak
0033C77D	BoS02MilitaryIDCard	AlleghenyAsylumExt02	ExtCell	Recruitment Blues
0033FBD1	GarrahanEstateAccessKeycard	Garrahan Mining HQ	NameParse	Wolf in Sheep's Clothing
0033FBD4	HornwrightEstateAccessKeycard	[CELL:00050B2C]	ExtCell	Trade Secrets
00357FF6	MoM03_BrodysRoomKey	[CELL:00050B2C]	ExtCell	Seeker of Mysteries
00358018	MoM00_PlayersLogin			Initiate of Mysteries
00357FF7	MoM03_BrodysPassword	PleasantValleyCabinsExt05	ExtCell	Seeker of Mysteries
00358017	MoM03_OliviaRiversLogin	Riverside Manor	NameParse	The Mistress of Mystery
00358019	MoM01_MentorLogin	Riverside Manor	NameParse	Initiate of Mysteries
0035800F	MoM04_ShannonRiversPassword			The Mistress of Mystery
00377F24	BMO_BunkerKey02_MorgantownApt_Password_02	FreddyFearsHouseOfScaresExt	ExtCell	
00377F25	BMO_BunkerKey02_BasementKey_03	POIToxicValley06Ext	ExtCell	
00377F22	BMO_BunkerKey02_Cabin_Password_01			
0038F8E8	LookoutTower02_SafeKey	LookoutTower02Ext	ExtCell	
003B61B7	LC042_HoneyHausKey	HelvetiaExt02	ExtCell	
003B60C6	LC042_PostOfficeKey	[CELL:002630D1]	ExtCell	
003B755C	LC199_bigrig_trailer_key	CrevasseDamExt04	ExtCell	
003B9630	LC117_BathroomKey	PointPleasantExt	ExtCell	
003B9603	LC117_MuseumKey	PointPleasantExt	ExtCell	
