FormID	EDID	FULL_Name	NNAM_DisplayName	TNAM_Type	CNAM_Color	DNAM_Notes	FNAM_Unknown	XALG_Flags	FormTags	ENAM_IconName	DATA_AttractionRule	NTWK_NetworkMarker	ReferencedByCount
000392F9	RELootedCorpse			None					0000000000000000000000000000000000000000000000000000000000000000				5
00036CBB	DefaultMasterPackageGuard			None		Used only by the Default Master Package to tell and actor to guard a specific linked ref.			0000000000000000000000000000000000000000000000000000000000000000				2
00035E9C	ma_Handmade_Shotgun			Mod Association		Handmade gun recievers toggle tma_Handmade_Shotgun and ma_Handmade_Nonshotgun to assist making sure barrels etc. are properly restricted			0000000000000000000000000000000000000000000000000000000000000000				0
00035E9D	ma_Handmade_Nonshotgun			Mod Association		Handmade gun recievers toggle tma_Handmade_Shotgun and ma_Handmade_Nonshotgun to assist making sure barrels etc. are properly restricted			0000000000000000000000000000000000000000000000000000000000000000				29
0003655A	AnimsRecieverHandmadeRevolver			None					0000000000000000000000000000000000000000000000000000000000000000				8
00035799	ap_gun_BarrelDisplay			Attach Point					0000000000000000000000000000000000000000000000000000000000000000				67
0003579A	ap_gun_MagDisplay			Attach Point					0000000000000000000000000000000000000000000000000000000000000000				29
0003579B	ap_gun_ScopeDisplay			Attach Point					0000000000000000000000000000000000000000000000000000000000000000				159
0003579C	ap_gun_ReceiverDisplay			Attach Point					0000000000000000000000000000000000000000000000000000000000000000				79
00035951	RELinkGuard			None					0000000000000000000000000000000000000000000000000000000000000000				0
000345AE	ActorAttackInjuredLeft			Anim Injured					0000000000000000000000000000000000000000000000000000000000000000				11
000345C0	LinkHoldPosition500			None					0000000000000000000000000000000000000000000000000000000000000000				0
000345C1	LinkHoldPosition1000			None					0000000000000000000000000000000000000000000000000000000000000000				0
000345C3	LinkHoldPosition300			None					0000000000000000000000000000000000000000000000000000000000000000				0
000345C8	LinkHoldPosition800			None					0000000000000000000000000000000000000000000000000000000000000000				0
0003477E	ap_gun_HandRight			Attach Point					0000000000000000000000000000000000000000000000000000000000000000				140
000349B1	AnimFurnBloodBugRRAmbush			None					0000000000000000000000000000000000000000000000000000000000000000				2
00034A3A	REPreyKeyword			None					0000000000000000000000000000000000000000000000000000000000000000				0
00035784	ap_gun_HandLeft			Attach Point					0000000000000000000000000000000000000000000000000000000000000000				13
00035798	ap_gun_MuzzleDisplay			Attach Point					0000000000000000000000000000000000000000000000000000000000000000				13
000317AA	ActorTypeDeathclaw			None					0000000000000000000000000000000000000000000000000000000000000000				43
00030B00	ActorMobilityInjuredRight			Anim Injured					0000000000000000000000000000000000000000000000000000000000000000				45
00030B01	ActorMobilityInjuredLeft			Anim Injured					0000000000000000000000000000000000000000000000000000000000000000				48
00030BB2	AnimFurnChairSitAnims			None					0000000000000000000000000000000000000000000000000000000000000000				299
00030E7A	RELinkSit			None					0000000000000000000000000000000000000000000000000000000000000000				0
000318F2	TownWorkbenchKeyword			None					0000000000000000000000000000000000000000000000000000000000000000				0
00031FA8	if_Grip_Pistol			Instantiation Filter		Object Template Item keyword			0000000000000000000000000000000000000000000000000000000000000000				0
00031FA9	if_Grip_Rifle			Instantiation Filter		Object Template Item keyword			0000000000000000000000000000000000000000000000000000000000000000				0
00032095	FurnitureNoRearSitEntry			None					0000000000000000000000000000000000000000000000000000000000000000				3
0003284E	BloodbugWeapon			None					0000000000000000000000000000000000000000000000000000000000000000				8
000329AB	isWearableMount			None		Put on actors/refs that can be worn but animate the wearer and take control, like a mount. Used for power armor			0000000000000000000000000000000000000000000000000000000000000000				0
000329C5	AnimFurnMoleratAmbushShort			None					0000000000000000000000000000000000000000000000000000000000000000				10
000329F0	CanBeThrown			None		For use on movable statics only.  Indicates things that can be thrown by actors who throw things.			0000000000000000000000000000000000000000000000000000000000000000				87
00032B00	if_Restricted_Raider			Instantiation Filter		Object Template Item keyword			0000000000000001				0
0003430B	FurnitureTypePowerArmor			None					0000000000000000000000000000000000000000000000000000000000000000				129
000344F7	AnimFurnMirelurkAmbushHidden			None					0000000000000000000000000000000000000000000000000000000000000000				9
000344F9	AnimFurnMirelurkAmbush			None		mirelurk's shell is above ground			0000000000000000000000000000000000000000000000000000000000000000				9
000345AD	ActorAttackInjuredRight			Anim Injured					0000000000000000000000000000000000000000000000000000000000000000				10
000237A6	ActorSturges			None					0000000000000000000000000000000000000000000000000000000000000000				0
00024004	ap_gun_Receiver	Receiver		Attach Point			00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				1151
0002405E	AnimsUnarmed			None					0000000000000000000000000000000000000000000000000000000000000000				198
00024591	ActorPreston			None					0000000000000000000000000000000000000000000000000000000000000000				7
00024592	ActorMarcy			None					0000000000000000000000000000000000000000000000000000000000000000				0
00024593	AnimArchetypeIrritated			Anim Archetype					0000000000000000000000000000000000000000000000000000000000000000				366
00024831	AnimFurnWallLean			None					0000000000000000000000000000000000000000000000000000000000000000				16
000254BC	LocTypeDungeonMajor			None					0000000000000000000000000000000000000000000000000000000000000000				38
0002866C	ActorTypeBug			None					0000000000000000000000000000000000000000000000000000000000000000				51
000286E6	AnimFurnDeskTerminal			None					0000000000000000000000000000000000000000000000000000000000000000				1838
