LCTN_FormID	LCTN_EDID	LCSR_Index	LocRefType_FormID	LocRefType_EDID	Ref_FormID	Ref_Display	WorldCell	GridX	GridY
0000FBB9	LocForestVaultTecAgCenterLocation	0	003D4B0D	PriorityLootContainerMedHealingLocRefType	0000D7A8	[REFR:0000D7A8] (Places LootPriorityPrewar_Medkit_Wall "First Aid" [CONT:0004B6EA] in VTecAgCenterExt02 [CELL:00263FBE] (in Appalachia "Appalachia" [WRLD:0025DA15] at -29,5))	Appalachia "Appalachia" [WRLD:0025DA15]	-29	5
0000FBB9	LocForestVaultTecAgCenterLocation	1	003D4B0D	PriorityLootContainerMedHealingLocRefType	0000D7A9	[REFR:0000D7A9] (Places LootPriorityPrewar_Medkit_Wall "First Aid" [CONT:0004B6EA] in VTecAgCenterExt02 [CELL:00263FBE] (in Appalachia "Appalachia" [WRLD:0025DA15] at -29,5))	Appalachia "Appalachia" [WRLD:0025DA15]	-29	5
0000FBB9	LocForestVaultTecAgCenterLocation	2	003D4B0A	PriorityLootContainerAmmoLocRefType	0000D7B3	[REFR:0000D7B3] (Places LootPriority_AmmoBox "Ammo Box" [CONT:00060CB4] in VTecAgCenterExt03 [CELL:00264088] (in Appalachia "Appalachia" [WRLD:0025DA15] at -30,4))	Appalachia "Appalachia" [WRLD:0025DA15]	-30	4
0000FBB9	LocForestVaultTecAgCenterLocation	3	003D4B0C	PriorityLootContainerMiscLocRefType	0000D7B9	[REFR:0000D7B9] (Places LootPriority_ToolChest "Tool Chest" [CONT:001A0380] in VTecAgCenterExt03 [CELL:00264088] (in Appalachia "Appalachia" [WRLD:0025DA15] at -30,4))	Appalachia "Appalachia" [WRLD:0025DA15]	-30	4
0000FBB9	LocForestVaultTecAgCenterLocation	4	0002271F	MapMarkerRefType	0000FBC0	[REFR:0000FBC0] (Places MapMarker [STAT:00000010] in [CELL:00050B2C] (in Appalachia "Appalachia" [WRLD:0025DA15]) at -29,4)	Appalachia "Appalachia" [WRLD:0025DA15]	-29	4
0000FBB9	LocForestVaultTecAgCenterLocation	5	001E819A	NoObjectCombinationReftype	00012AB2	[REFR:00012AB2] (Places BathroomStallMid01 [STAT:00080261] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	6	001E819A	NoObjectCombinationReftype	00012AB3	[REFR:00012AB3] (Places BathroomStallMid01 [STAT:00080261] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	7	001E819A	NoObjectCombinationReftype	00012AB4	[REFR:00012AB4] (Places BathroomStallRight01 [STAT:0008025B] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	8	001E819A	NoObjectCombinationReftype	00012ABF	[REFR:00012ABF] (Places BathroomStallMid01 [STAT:00080261] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	9	001E819A	NoObjectCombinationReftype	00012AC0	[REFR:00012AC0] (Places BathroomStallRight01 [STAT:0008025B] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	10	0003F1E5	BossContainer	00012D7B	[REFR:00012D7B] (Places Loot_IndustrialTrunk_Boss "Industrial Trunk" [CONT:000CA877] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	11	00011C23	EncounterSpawnRandomBlockerLocRef	00012DDF	[REFR:00012DDF] (Places EncounterSpawnRandomBlockerMarker [STAT:00011C24] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	12	0059DD33	W05_RE_TravelAF02_FleeTo_LocRef	00012E15	[REFR:00012E15] (Places InteriorsBuildingWoodPBig_WallKitBldWoodPWhitespringArchDoorLoad01 "Door" [DOOR:0001D931] in [CELL:00050B2C] (in Appalachia "Appalachia" [WRLD:0025DA15]) at -29,4)	Appalachia "Appalachia" [WRLD:0025DA15]	-29	4
0000FBB9	LocForestVaultTecAgCenterLocation	13	000992DB	EncMainBossMarkerLocRef	00012E16	[ACHR:00012E16] (Places LvlMainBoss [NPC_:000992D8] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	14	00003956	LocationClearActor	00012E16	[ACHR:00012E16] (Places LvlMainBoss [NPC_:000992D8] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	15	0021B2D6	LocationCreaturesMain	00012E16	[ACHR:00012E16] (Places LvlMainBoss [NPC_:000992D8] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	16	0021B2DE	LocationCreaturesAll	00012E16	[ACHR:00012E16] (Places LvlMainBoss [NPC_:000992D8] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	17	00358545	Boss	00012E16	[ACHR:00012E16] (Places LvlMainBoss [NPC_:000992D8] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
