LCTN_FormID	LCTN_EDID	LCTN_FULL	KeywordCount	KW_1	KW_2	KW_3	KW_4	KW_5	KW_6	KW_7	KW_8	KW_9	KW_10	KW_11	KW_12	KW_13	PropCount	Prop_1_AV	Prop_1_Val	Prop_1_Curve	Prop_2_AV	Prop_2_Val	Prop_2_Curve	Prop_3_AV	Prop_3_Val	Prop_3_Curve	Prop_4_AV	Prop_4_Val	Prop_4_Curve	Prop_5_AV	Prop_5_Val	Prop_5_Curve	Prop_6_AV	Prop_6_Val	Prop_6_Curve	Prop_7_AV	Prop_7_Val	Prop_7_Curve	Prop_8_AV	Prop_8_Val	Prop_8_Curve	Prop_9_AV	Prop_9_Val	Prop_9_Curve	Prop_10_AV	Prop_10_Val	Prop_10_Curve	Prop_11_AV	Prop_11_Val	Prop_11_Curve	Prop_12_AV	Prop_12_Val	Prop_12_Curve	Prop_13_AV	Prop_13_Val	Prop_13_Curve	Prop_14_AV	Prop_14_Val	Prop_14_Curve	Prop_15_AV	Prop_15_Val	Prop_15_Curve	Prop_16_AV	Prop_16_Val	Prop_16_Curve	Prop_17_AV	Prop_17_Val	Prop_17_Curve	Prop_18_AV	Prop_18_Val	Prop_18_Curve	Prop_19_AV	Prop_19_Val	Prop_19_Curve	Prop_20_AV	Prop_20_Val	Prop_20_Curve	Prop_21_AV	Prop_21_Val	Prop_21_Curve	Prop_22_AV	Prop_22_Val	Prop_22_Curve	Prop_23_AV	Prop_23_Val	Prop_23_Curve	Prop_24_AV	Prop_24_Val	Prop_24_Curve	Prop_25_AV	Prop_25_Val	Prop_25_Curve	Prop_26_AV	Prop_26_Val	Prop_26_Curve	Prop_27_AV	Prop_27_Val	Prop_27_Curve	Prop_28_AV	Prop_28_Val	Prop_28_Curve	Prop_29_AV	Prop_29_Val	Prop_29_Curve	Prop_30_AV	Prop_30_Val	Prop_30_Curve	Prop_31_AV	Prop_31_Val	Prop_31_Curve	Prop_32_AV	Prop_32_Val	Prop_32_Curve	Prop_33_AV	Prop_33_Val	Prop_33_Curve	Prop_34_AV	Prop_34_Val	Prop_34_Curve	Prop_35_AV	Prop_35_Val	Prop_35_Curve	Prop_36_AV	Prop_36_Val	Prop_36_Curve	Prop_37_AV	Prop_37_Val	Prop_37_Curve	Prop_38_AV	Prop_38_Val	Prop_38_Curve	Prop_39_AV	Prop_39_Val	Prop_39_Curve	Prop_40_AV	Prop_40_Val	Prop_40_Curve	Prop_41_AV	Prop_41_Val	Prop_41_Curve	Prop_42_AV	Prop_42_Val	Prop_42_Curve	Prop_43_AV	Prop_43_Val	Prop_43_Curve	Prop_44_AV	Prop_44_Val	Prop_44_Curve	DATA_UnknownInt	DATA_UnknownByte	DATA_MinLocationLevel	DATA_LocationType	DATA_MaxLocationLevel	PNAM_ParentLocation	RNAM_WorldLocationRadius	ANAM_ActorFadeMult	CNAM_Color
0000F25C	DebugKurtLocation	Test Location	1	0000F25D:DebugKurtLocType:KYWD													0																																																																																																																																					0	0	50	None	255		0.000000	1.000000	
0000F7CA	TestJayLocation		1	0000F7CB:TestJayLocType:KYWD													0																																																																																																																																					0	0	0	None	0		0.000000	1.000000	
0000FBB9	LocForestVaultTecAgCenterLocation	Vault-Tec Agricultural Research Center	10	00003954:LocTypeInteriorCell:KYWD	0001564F:LocRegionForestFloodlands:KYWD	000254BC:LocTypeDungeonMajor:KYWD	00064EDE:LocTypeClearable:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	00396B77:LocTypeDungeon:KYWD	003D4B10:LocLootScaleMedium:KYWD	004E8566:LocThemeVaultTec:KYWD	0055C69B:DungeonTypeResearchFacility:KYWD	007BD03F:LocTypeFishingExcluded:KYWD				1	ESSChanceMainGhouls	5.000000																																																																																																																																			0	0	0	None	0	002EE553:SubRegionForestFloodlands17LocationLOW:The Forest	2500.000000	1.000000	
0000FC0A	TestEncPOI01Location	Vault-Tec Agricultural Research Center	1	0000FC10:FindThisPOIKeyword:KYWD													0																																																																																																																																					0	0	0	None	0		2500.000000	1.000000	
0000FC12	TestEncPOI02Location	Vault-Tec Agricultural Research Center	1	0000FC10:FindThisPOIKeyword:KYWD													0																																																																																																																																					0	0	0	None	0		2500.000000	1.000000	
0000FC13	TestEncPOI03Location	Vault-Tec Agricultural Research Center	1	0000FC10:FindThisPOIKeyword:KYWD													0																																																																																																																																					0	0	0	None	0		2500.000000	1.000000	
00012E4A	DebugDaryl01Location	DebugDaryl01Location	1	0033FE91:LocTypeFastTravelDestination:KYWD													0																																																																																																																																					0	0	0	None	0	0001558C:AppalachiaLocation:Appalachia	2500.000000	1.000000	
00015554	LocForestFlatwoodsLocation	Flatwoods	6	0001564F:LocRegionForestFloodlands:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	003A5E71:LocEncSupportLarge:KYWD	003A5E72:LocEncSupportGiant:KYWD	003D5B63:LocLootScaleSmall:KYWD	004E855B:LocThemeGeneral:KYWD								1	ESSChanceMainGhouls	5.000000																																																																																																																																			0	0	0	None	0	002EE553:SubRegionForestFloodlands17LocationLOW:The Forest	2500.000000	1.000000	
0001558C	AppalachiaLocation	Appalachia	2	00142B54:LocTypeWorld:KYWD	00180819:EMSIgnoredLocation:KYWD												17	Food	1.000000		Water	1.000000		ResourceAV_Wood	1.000000		ResourceAV_Oil	1.000000		ResourceAV_Steel	1.000000		ResourceAV_Concrete	1.000000		ResourceAV_FertilizerBrahmin	1.000000		ResourceAV_Nuclear	1.000000		ResourceAV_Adhesive	1.000000		ResourceAV_Acid	1.000000		ResourceAV_Copper	1.000000		ResourceAV_Aluminum	1.000000		ResourceAV_Gold	1.000000		ResourceAV_Lead	1.000000		ResourceAV_Crystal	1.000000		ResourceAV_Scavenge	1.000000		ResourceAV_Silver	1.000000																																																																																			0	0	0	None	0		0.000000	1.000000	
00015CBF	LocForestCharlestonFireDeptLocation	Charleston Fire Department	5	0001564F:LocRegionForestFloodlands:KYWD	00064EDE:LocTypeClearable:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	003D4B10:LocLootScaleMedium:KYWD	004E855C:LocThemeWorkingClass:KYWD									0																																																																																																																																					0	0	0	None	0	0031AEE4:SubRegionForestFloodlands26Location:The Forest	0.000000	1.000000	
