LGDI_FormID	LGDI_EDID	ModIndex	StarSlot	OMOD_FormID	OMOD_EDID	OMOD_FULL
00417C40	LegendaryItems_Armor_Rank2	0	First Star Slot	007904ED	modcol_Legendary_Crafting_Armor1	Random Legendary Mod
00417C40	LegendaryItems_Armor_Rank2	1	First Star Slot	007904EE	modcol_Legendary_Crafting_Armor2	Random Legendary Mod
00417C41	LegendaryItems_Armor_Rank3	0	First Star Slot	007904ED	modcol_Legendary_Crafting_Armor1	Random Legendary Mod
00417C41	LegendaryItems_Armor_Rank3	1	First Star Slot	007904EE	modcol_Legendary_Crafting_Armor2	Random Legendary Mod
00417C41	LegendaryItems_Armor_Rank3	2	First Star Slot	007904EF	modcol_Legendary_Crafting_Armor3	Random Legendary Mod
00417C42	LegendaryItems_Weapons_Ranged_Rank1	0	First Star Slot	007904EA	modcol_Legendary_Crafting_Weapon1	Random Legendary Mod
00417C43	LegendaryItems_Weapons_Ranged_Rank2	0	First Star Slot	007904EA	modcol_Legendary_Crafting_Weapon1	Random Legendary Mod
00417C43	LegendaryItems_Weapons_Ranged_Rank2	1	First Star Slot	007904EB	modcol_Legendary_Crafting_Weapon2	Random Legendary Mod
00417C44	LegendaryItems_Weapons_Ranged_Rank3	0	First Star Slot	007904EA	modcol_Legendary_Crafting_Weapon1	Random Legendary Mod
00417C44	LegendaryItems_Weapons_Ranged_Rank3	1	First Star Slot	007904EB	modcol_Legendary_Crafting_Weapon2	Random Legendary Mod
00417C44	LegendaryItems_Weapons_Ranged_Rank3	2	First Star Slot	007904EC	modcol_Legendary_Crafting_Weapon3	Random Legendary Mod
00417C46	LegendaryItems_Weapons_Melee_Rank1	0	First Star Slot	007904EA	modcol_Legendary_Crafting_Weapon1	Random Legendary Mod
00417C47	LegendaryItems_Weapons_Melee_Rank2	0	First Star Slot	007904EA	modcol_Legendary_Crafting_Weapon1	Random Legendary Mod
00417C47	LegendaryItems_Weapons_Melee_Rank2	1	First Star Slot	007904EB	modcol_Legendary_Crafting_Weapon2	Random Legendary Mod
00417C48	LegendaryItems_Weapons_Melee_Rank3	0	First Star Slot	007904EA	modcol_Legendary_Crafting_Weapon1	Random Legendary Mod
00417C48	LegendaryItems_Weapons_Melee_Rank3	1	First Star Slot	007904EB	modcol_Legendary_Crafting_Weapon2	Random Legendary Mod
00417C48	LegendaryItems_Weapons_Melee_Rank3	2	First Star Slot	007904EC	modcol_Legendary_Crafting_Weapon3	Random Legendary Mod
00417C4B	LegendaryItems_Armor_Rank1	0	First Star Slot	007904ED	modcol_Legendary_Crafting_Armor1	Random Legendary Mod
005380CF	LegendaryItems_Special_AllItems	0	First Star Slot	007904ED	modcol_Legendary_Crafting_Armor1	Random Legendary Mod
005380CF	LegendaryItems_Special_AllItems	1	First Star Slot	007904EE	modcol_Legendary_Crafting_Armor2	Random Legendary Mod
005380CF	LegendaryItems_Special_AllItems	2	First Star Slot	007904EF	modcol_Legendary_Crafting_Armor3	Random Legendary Mod
005380CF	LegendaryItems_Special_AllItems	3	First Star Slot	007904F0	modcol_Legendary_Crafting_PowerArmor1	Random Legendary Mod
005380CF	LegendaryItems_Special_AllItems	4	First Star Slot	007904F1	modcol_Legendary_Crafting_PowerArmor2	Random Legendary Mod
005380CF	LegendaryItems_Special_AllItems	5	First Star Slot	007904F2	modcol_Legendary_Crafting_PowerArmor3	Random Legendary Mod
005380CF	LegendaryItems_Special_AllItems	6	First Star Slot	007904EA	modcol_Legendary_Crafting_Weapon1	Random Legendary Mod
005380CF	LegendaryItems_Special_AllItems	7	First Star Slot	007904EB	modcol_Legendary_Crafting_Weapon2	Random Legendary Mod
005380CF	LegendaryItems_Special_AllItems	8	First Star Slot	007904EC	modcol_Legendary_Crafting_Weapon3	Random Legendary Mod
005527A5	LegendaryItems_Creatures_AllItems	0	First Star Slot	007904ED	modcol_Legendary_Crafting_Armor1	Random Legendary Mod
005527A5	LegendaryItems_Creatures_AllItems	1	First Star Slot	007904EE	modcol_Legendary_Crafting_Armor2	Random Legendary Mod
