LGDI_FormID	LGDI_EDID	ModIndex	StarSlot	OMOD_FormID	OMOD_EDID	OMOD_FULL	ModPool_Refs
00417C40	LegendaryItems_Armor_Rank2	0	First Star Slot	007904ED	modcol_Legendary_Crafting_Armor1	Random Legendary Mod	modcol_Legendary_Crafting_Armor1 [OMOD:007904ED] | mod_Legendary_Armor1_AutoRevive [OMOD:00529A0F] | mod_Legendary_Armor1_Chameleon [OMOD:00524146] | mod_Legendary_Armor1_CloakOnMelee [OMOD:00524147] | mod_Legendary_Armor1_HealthRegen [OMOD:00529A09] | mod_Legendary_Armor1_LessDMGAnimals [OMOD:004F6D7D] | mod_Legendary_Armor1_LessDMGBugs [OMOD:004F6D7C] | mod_Legendary_Armor1_LessDMGGhouls [OMOD:004F6D7E] | mod_Legendary_Armor1_LessDMGPlayers [OMOD:004F6D78] | mod_Legendary_Armor1_LessDMGRobots [OMOD:004F6D7F] | mod_Legendary_Armor1_LessDmgScorched [OMOD:004EE548] | mod_Legendary_Armor1_LessDMGSuperMutants [OMOD:004F6D80] | mod_Legendary_Armor1_LowHealthIncreasesStats [OMOD:0052414A] | mod_Legendary_Armor1_LowHealthTriggersStimpak [OMOD:00521915] | mod_Legendary_Armor1_Overeater [OMOD:00606C84] | mod_Legendary_Armor1_ResistancesInverseHealth [OMOD:00521914] | mod_Legendary_Armor1_ResistancesMutation [OMOD:00529A0C] | mod_Legendary_Armor1_ResistancesNight [OMOD:00524143] | mod_Legendary_Armor1_ResistancesProportionalCaps [OMOD:0060893C] | mod_Legendary_Armor1_ResistancesProportionalHealth [OMOD:00529A05] | mod_Legendary_Armor1_Heavyweight [OMOD:00529A14]
00417C40	LegendaryItems_Armor_Rank2	1	First Star Slot	007904EE	modcol_Legendary_Crafting_Armor2	Random Legendary Mod	modcol_Legendary_Crafting_Armor2 [OMOD:007904EE] | mod_Legendary_Armor2_APRegen [OMOD:00527F75] | mod_Legendary_Armor2_CryoResistance [OMOD:00606B6F] | mod_Legendary_Armor2_DiseaseResistance [OMOD:00527F72] | mod_Legendary_Armor2_Fireproof [OMOD:00606B39] | mod_Legendary_Armor2_Glutton [OMOD:006069A6] | mod_Legendary_Armor2_PoisonResistance [OMOD:00527F6E] | mod_Legendary_Armor2_RadResistance [OMOD:00527F6F] | mod_Legendary_Armor2_ReduceExplosionDamage [OMOD:00609E4E] | mod_Legendary_Armor2_StatAgility [OMOD:004F6D85] | mod_Legendary_Armor2_StatCharisma [OMOD:004F6D83] | mod_Legendary_Armor2_StatEndurance [OMOD:004F6D82] | mod_Legendary_Armor2_StatIntelligence [OMOD:004F6D84] | mod_Legendary_Armor2_StatLuck [OMOD:004F6D86] | mod_Legendary_Armor2_StatPerception [OMOD:004F6D81] | mod_Legendary_Armor2_StatStrength [OMOD:004EE54E]
00417C41	LegendaryItems_Armor_Rank3	0	First Star Slot	007904ED	modcol_Legendary_Crafting_Armor1	Random Legendary Mod	modcol_Legendary_Crafting_Armor1 [OMOD:007904ED] | mod_Legendary_Armor1_AutoRevive [OMOD:00529A0F] | mod_Legendary_Armor1_Chameleon [OMOD:00524146] | mod_Legendary_Armor1_CloakOnMelee [OMOD:00524147] | mod_Legendary_Armor1_HealthRegen [OMOD:00529A09] | mod_Legendary_Armor1_LessDMGAnimals [OMOD:004F6D7D] | mod_Legendary_Armor1_LessDMGBugs [OMOD:004F6D7C] | mod_Legendary_Armor1_LessDMGGhouls [OMOD:004F6D7E] | mod_Legendary_Armor1_LessDMGPlayers [OMOD:004F6D78] | mod_Legendary_Armor1_LessDMGRobots [OMOD:004F6D7F] | mod_Legendary_Armor1_LessDmgScorched [OMOD:004EE548] | mod_Legendary_Armor1_LessDMGSuperMutants [OMOD:004F6D80] | mod_Legendary_Armor1_LowHealthIncreasesStats [OMOD:0052414A] | mod_Legendary_Armor1_LowHealthTriggersStimpak [OMOD:00521915] | mod_Legendary_Armor1_Overeater [OMOD:00606C84] | mod_Legendary_Armor1_ResistancesInverseHealth [OMOD:00521914] | mod_Legendary_Armor1_ResistancesMutation [OMOD:00529A0C] | mod_Legendary_Armor1_ResistancesNight [OMOD:00524143] | mod_Legendary_Armor1_ResistancesProportionalCaps [OMOD:0060893C] | mod_Legendary_Armor1_ResistancesProportionalHealth [OMOD:00529A05] | mod_Legendary_Armor1_Heavyweight [OMOD:00529A14]
00417C41	LegendaryItems_Armor_Rank3	1	First Star Slot	007904EE	modcol_Legendary_Crafting_Armor2	Random Legendary Mod	modcol_Legendary_Crafting_Armor2 [OMOD:007904EE] | mod_Legendary_Armor2_APRegen [OMOD:00527F75] | mod_Legendary_Armor2_CryoResistance [OMOD:00606B6F] | mod_Legendary_Armor2_DiseaseResistance [OMOD:00527F72] | mod_Legendary_Armor2_Fireproof [OMOD:00606B39] | mod_Legendary_Armor2_Glutton [OMOD:006069A6] | mod_Legendary_Armor2_PoisonResistance [OMOD:00527F6E] | mod_Legendary_Armor2_RadResistance [OMOD:00527F6F] | mod_Legendary_Armor2_ReduceExplosionDamage [OMOD:00609E4E] | mod_Legendary_Armor2_StatAgility [OMOD:004F6D85] | mod_Legendary_Armor2_StatCharisma [OMOD:004F6D83] | mod_Legendary_Armor2_StatEndurance [OMOD:004F6D82] | mod_Legendary_Armor2_StatIntelligence [OMOD:004F6D84] | mod_Legendary_Armor2_StatLuck [OMOD:004F6D86] | mod_Legendary_Armor2_StatPerception [OMOD:004F6D81] | mod_Legendary_Armor2_StatStrength [OMOD:004EE54E]
00417C41	LegendaryItems_Armor_Rank3	2	First Star Slot	007904EF	modcol_Legendary_Crafting_Armor3	Random Legendary Mod	modcol_Legendary_Crafting_Armor3 [OMOD:007904EF] | mod_Legendary_Armor3_Burning [OMOD:00608371] | mod_Legendary_Armor3_Durability [OMOD:0052BDBA] | mod_Legendary_Armor3_Electrified [OMOD:00608373] | mod_Legendary_Armor3_Frozen [OMOD:00608372] | mod_Legendary_Armor3_IncreaseHealing [OMOD:00609C46] | mod_Legendary_Armor3_Defenders [OMOD:00527F76] | mod_Legendary_Armor3_LessDamageSprinting [OMOD:00527F77] | mod_Legendary_Armor3_LessDamageStandStill [OMOD:004EE54C] | mod_Legendary_Armor3_LessFallDamage [OMOD:00527F79] | mod_Legendary_Armor3_LockPick [OMOD:00527F7B] | mod_Legendary_Armor3_RadsRegen [OMOD:00606B6D] | mod_Legendary_Armor3_ReducedLimbDamage [OMOD:0052BDBC] | mod_Legendary_Armor3_Sneak [OMOD:0052BDB7] | mod_Legendary_Armor3_Toxic [OMOD:00608370] | mod_Legendary_Armor3_Waterbreathing [OMOD:00527F7A] | mod_Legendary_Armor3_WeightAmmo [OMOD:0052BDB4] | mod_Legendary_Armor3_WeightFoodDrinkChems [OMOD:0052BDB5] | mod_Legendary_Armor3_WeightJunk [OMOD:0052BDB6] | mod_Legendary_Armor3_WeightWeapons [OMOD:00527F78]
00417C42	LegendaryItems_Weapons_Ranged_Rank1	0	First Star Slot	007904EA	modcol_Legendary_Crafting_Weapon1	Random Legendary Mod	modcol_Legendary_Crafting_Weapon1 [OMOD:007904EA] | mod_Legendary_Weapon1_AntiArmor [OMOD:005281B4] | mod_Legendary_Weapon1_Medic [OMOD:0075EAC6] | mod_Legendary_Weapon1_DamageAddiction [OMOD:004F6AAB] | mod_Legendary_Weapon1_DamageFirstBlood [OMOD:004F6AA5] | mod_Legendary_Weapon1_DamageInverseHealth [OMOD:004F6AA0] | mod_Legendary_Weapon1_DamageNight [OMOD:004F6AAE] | mod_Legendary_Weapon1_DamageUnarmored [OMOD:004F6AA7] | mod_Legendary_Weapon1_DamageViaCaps [OMOD:00606B71] | mod_Legendary_Weapon1_DamageViaHealth [OMOD:00606B73] | mod_Legendary_Weapon1_DebuffDamage [OMOD:005281B8] | mod_Legendary_Weapon1_DmgConsecutiveHits [OMOD:004F577D] | mod_Legendary_Weapon1_DmgVsAnimals [OMOD:004F577A] | mod_Legendary_Weapon1_DmgVsBugs [OMOD:001F81EB] | mod_Legendary_Weapon1_DmgVsGhouls [OMOD:004F5779] | mod_Legendary_Weapon1_DmgVsPlayers [OMOD:004F5770] | mod_Legendary_Weapon1_DmgVsRobots [OMOD:004F577C] | mod_Legendary_Weapon1_DmgVsScorched [OMOD:004ED02B] | mod_Legendary_Weapon1_DmgVsSupermutants [OMOD:004F577B] | mod_Legendary_Weapon1_DmgWithMutation [OMOD:005299F5] | mod_Legendary_Weapon1_Execute [OMOD:004F6AA1] | mod_Legendary_Weapon1_Gourmand [OMOD:006069F2] | mod_Legendary_Weapon1_Guns_AccuracyNotInCombat [OMOD:004F6D77] | mod_Legendary_Weapon1_Guns_AmmoCapacity4x [OMOD:004F6AB1] | mod_Legendary_Weapon1_Guns_TwoShot [OMOD:004F6D76] | mod_Legendary_Weapon1_Vampire [OMOD:00527F84]
00417C43	LegendaryItems_Weapons_Ranged_Rank2	0	First Star Slot	007904EA	modcol_Legendary_Crafting_Weapon1	Random Legendary Mod	modcol_Legendary_Crafting_Weapon1 [OMOD:007904EA] | mod_Legendary_Weapon1_AntiArmor [OMOD:005281B4] | mod_Legendary_Weapon1_Medic [OMOD:0075EAC6] | mod_Legendary_Weapon1_DamageAddiction [OMOD:004F6AAB] | mod_Legendary_Weapon1_DamageFirstBlood [OMOD:004F6AA5] | mod_Legendary_Weapon1_DamageInverseHealth [OMOD:004F6AA0] | mod_Legendary_Weapon1_DamageNight [OMOD:004F6AAE] | mod_Legendary_Weapon1_DamageUnarmored [OMOD:004F6AA7] | mod_Legendary_Weapon1_DamageViaCaps [OMOD:00606B71] | mod_Legendary_Weapon1_DamageViaHealth [OMOD:00606B73] | mod_Legendary_Weapon1_DebuffDamage [OMOD:005281B8] | mod_Legendary_Weapon1_DmgConsecutiveHits [OMOD:004F577D] | mod_Legendary_Weapon1_DmgVsAnimals [OMOD:004F577A] | mod_Legendary_Weapon1_DmgVsBugs [OMOD:001F81EB] | mod_Legendary_Weapon1_DmgVsGhouls [OMOD:004F5779] | mod_Legendary_Weapon1_DmgVsPlayers [OMOD:004F5770] | mod_Legendary_Weapon1_DmgVsRobots [OMOD:004F577C] | mod_Legendary_Weapon1_DmgVsScorched [OMOD:004ED02B] | mod_Legendary_Weapon1_DmgVsSupermutants [OMOD:004F577B] | mod_Legendary_Weapon1_DmgWithMutation [OMOD:005299F5] | mod_Legendary_Weapon1_Execute [OMOD:004F6AA1] | mod_Legendary_Weapon1_Gourmand [OMOD:006069F2] | mod_Legendary_Weapon1_Guns_AccuracyNotInCombat [OMOD:004F6D77] | mod_Legendary_Weapon1_Guns_AmmoCapacity4x [OMOD:004F6AB1] | mod_Legendary_Weapon1_Guns_TwoShot [OMOD:004F6D76] | mod_Legendary_Weapon1_Vampire [OMOD:00527F84]
00417C43	LegendaryItems_Weapons_Ranged_Rank2	1	First Star Slot	007904EB	modcol_Legendary_Crafting_Weapon2	Random Legendary Mod	modcol_Legendary_Crafting_Weapon2 [OMOD:007904EB] | mod_Legendary_Weapon2_APViaKill [OMOD:00606B72] | mod_Legendary_Weapon2_DmgCrits [OMOD:0052414B] | mod_Legendary_Weapon2_DmgLimbs [OMOD:004ED02C] | mod_Legendary_Weapon2_Guns_Bashing [OMOD:005299F9] | mod_Legendary_Weapon2_Guns_DmgSights [OMOD:0052414E] | mod_Legendary_Weapon2_Guns_ExplosiveBullets [OMOD:004F5771] | mod_Legendary_Weapon2_Guns_LastShot [OMOD:006069EC] | mod_Legendary_Weapon2_Guns_RoF [OMOD:0052414F] | mod_Legendary_Weapon2_Guns_VATSAccuracy [OMOD:00524153] | mod_Legendary_Weapon2_Melee_BlockReflects [OMOD:001A7C39] | mod_Legendary_Weapon2_Melee_DamagePowerAttack [OMOD:001A7BE2] | mod_Legendary_Weapon2_Melee_Steady [OMOD:00606C8D] | mod_Legendary_Weapon2_Melee_SwingSpeed [OMOD:001A7BDA]
00417C44	LegendaryItems_Weapons_Ranged_Rank3	0	First Star Slot	007904EA	modcol_Legendary_Crafting_Weapon1	Random Legendary Mod	modcol_Legendary_Crafting_Weapon1 [OMOD:007904EA] | mod_Legendary_Weapon1_AntiArmor [OMOD:005281B4] | mod_Legendary_Weapon1_Medic [OMOD:0075EAC6] | mod_Legendary_Weapon1_DamageAddiction [OMOD:004F6AAB] | mod_Legendary_Weapon1_DamageFirstBlood [OMOD:004F6AA5] | mod_Legendary_Weapon1_DamageInverseHealth [OMOD:004F6AA0] | mod_Legendary_Weapon1_DamageNight [OMOD:004F6AAE] | mod_Legendary_Weapon1_DamageUnarmored [OMOD:004F6AA7] | mod_Legendary_Weapon1_DamageViaCaps [OMOD:00606B71] | mod_Legendary_Weapon1_DamageViaHealth [OMOD:00606B73] | mod_Legendary_Weapon1_DebuffDamage [OMOD:005281B8] | mod_Legendary_Weapon1_DmgConsecutiveHits [OMOD:004F577D] | mod_Legendary_Weapon1_DmgVsAnimals [OMOD:004F577A] | mod_Legendary_Weapon1_DmgVsBugs [OMOD:001F81EB] | mod_Legendary_Weapon1_DmgVsGhouls [OMOD:004F5779] | mod_Legendary_Weapon1_DmgVsPlayers [OMOD:004F5770] | mod_Legendary_Weapon1_DmgVsRobots [OMOD:004F577C] | mod_Legendary_Weapon1_DmgVsScorched [OMOD:004ED02B] | mod_Legendary_Weapon1_DmgVsSupermutants [OMOD:004F577B] | mod_Legendary_Weapon1_DmgWithMutation [OMOD:005299F5] | mod_Legendary_Weapon1_Execute [OMOD:004F6AA1] | mod_Legendary_Weapon1_Gourmand [OMOD:006069F2] | mod_Legendary_Weapon1_Guns_AccuracyNotInCombat [OMOD:004F6D77] | mod_Legendary_Weapon1_Guns_AmmoCapacity4x [OMOD:004F6AB1] | mod_Legendary_Weapon1_Guns_TwoShot [OMOD:004F6D76] | mod_Legendary_Weapon1_Vampire [OMOD:00527F84]
00417C44	LegendaryItems_Weapons_Ranged_Rank3	1	First Star Slot	007904EB	modcol_Legendary_Crafting_Weapon2	Random Legendary Mod	modcol_Legendary_Crafting_Weapon2 [OMOD:007904EB] | mod_Legendary_Weapon2_APViaKill [OMOD:00606B72] | mod_Legendary_Weapon2_DmgCrits [OMOD:0052414B] | mod_Legendary_Weapon2_DmgLimbs [OMOD:004ED02C] | mod_Legendary_Weapon2_Guns_Bashing [OMOD:005299F9] | mod_Legendary_Weapon2_Guns_DmgSights [OMOD:0052414E] | mod_Legendary_Weapon2_Guns_ExplosiveBullets [OMOD:004F5771] | mod_Legendary_Weapon2_Guns_LastShot [OMOD:006069EC] | mod_Legendary_Weapon2_Guns_RoF [OMOD:0052414F] | mod_Legendary_Weapon2_Guns_VATSAccuracy [OMOD:00524153] | mod_Legendary_Weapon2_Melee_BlockReflects [OMOD:001A7C39] | mod_Legendary_Weapon2_Melee_DamagePowerAttack [OMOD:001A7BE2] | mod_Legendary_Weapon2_Melee_Steady [OMOD:00606C8D] | mod_Legendary_Weapon2_Melee_SwingSpeed [OMOD:001A7BDA]
