LGDI_FormID	LGDI_EDID	FULL	ScripCost	ValueCurrency	ApplicableItemList_FormID	ApplicableItemList_EDID	ApplicableItemList_FULL	Model	PreviewTransform	LegendaryTemplate	IncludeFilters	ExcludeFilters	LegModCount	LegMods_Flat	ReferencedByCount	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30
00405CE9	zzz_UNUSED_LGDI_02		0	LegendaryTokens ""Legendary Scrip"" [CNCY:003F7410]									0		0																														
00405CEA	zzz_UNUSED_LGDI_01		0	LegendaryTokens ""Legendary Scrip"" [CNCY:003F7410]									0		0																														
00417C42	LegendaryItems_Weapons_Ranged_Rank1	¬ Legendary Ranged Weapon	25	LegendaryTokens ""Legendary Scrip"" [CNCY:003F7410]	00417C45	LegendaryItems_LL_Weapons_Ranged_All		props/legendaryitembox/legnedaryitembox.nif	Legendary_Box """" [TRNS:00548799]				1	First Star Slot=modcol_Legendary_Crafting_Weapon1 [OMOD:007904EA]	15	005380D1:LGV01_LL_Vendor_LegendaryItems:LVLI	005FF602:mod_Legendary_Crafting_Weapon1:OMOD	006313D4:QuestReward_W05_MQS_205P_Stage9000_01:GMRW	007AECA5:RD01_LLS_Raids_Rewards_Weapons_Ranged_Fallback:LVLI	007B9AFA:CAMPPets_LL_PettreasureLegendaryLootRank1:LVLI	007BBC59:MILE_LL_MysteryCrate_LegendaryTemplate:LVLI	007D6A6B:Burn_LL_BountyHunt_LegendaryTemplate_All:LVLI	0080217E:P62_LLS_Drifter_Rewards_Weapons_Ranged_Fallback:LVLI	0081193B:Fishing_LLS_ChumTrough_Weapon:LVLI	0085646B:LTT_Burn_LL_BountyHunt_LegendaryTemplate_1Star:LVLI	0086A8AC:RA_LLS_Loot_Legendary1Star:LVLI	0086A8BE:RA_LL_Rewards_LegendaryItems_Rank1:LVLI	008A52C4:ATX_Resources_LL_Collectron_Peppino_LegendaryGear_Rank1:LVLI	008F2B1C:HTO_crLLS_Rewards_Legendary_Mob_Weapons_Ranged:LVLI	008F2B1F:HTO_crLLS_Rewards_Legendary_Support_Weapons_Ranged:LVLI															
00417C43	LegendaryItems_Weapons_Ranged_Rank2	¬¬ Legendary Ranged Weapon	35	LegendaryTokens ""Legendary Scrip"" [CNCY:003F7410]	00417C45	LegendaryItems_LL_Weapons_Ranged_All		props/legendaryitembox/legnedaryitembox.nif	Legendary_Box """" [TRNS:00548799]				2	First Star Slot=modcol_Legendary_Crafting_Weapon1 [OMOD:007904EA] | First Star Slot=modcol_Legendary_Crafting_Weapon2 [OMOD:007904EB]	14	005380D1:LGV01_LL_Vendor_LegendaryItems:LVLI	005FF601:mod_Legendary_Crafting_Weapon2:OMOD	007AECA5:RD01_LLS_Raids_Rewards_Weapons_Ranged_Fallback:LVLI	007B9AFB:CAMPPets_LL_PettreasureLegendaryLootRank2:LVLI	007BBC59:MILE_LL_MysteryCrate_LegendaryTemplate:LVLI	007D6A6B:Burn_LL_BountyHunt_LegendaryTemplate_All:LVLI	0080217E:P62_LLS_Drifter_Rewards_Weapons_Ranged_Fallback:LVLI	0081193B:Fishing_LLS_ChumTrough_Weapon:LVLI	0085646C:LTT_Burn_LL_BountyHunt_LegendaryTemplate_2Star:LVLI	0086A8AA:RA_LLS_Loot_Legendary2Star:LVLI	0086A8BA:RA_LL_Rewards_LegendaryItems_Rank2:LVLI	008A52C8:ATX_Resources_LL_Collectron_Peppino_LegendaryGear_Rank2:LVLI	008F2B1C:HTO_crLLS_Rewards_Legendary_Mob_Weapons_Ranged:LVLI	0093A933:HTO_crLLS_Rewards_Legendary_Boss_Funfestation_Rank2:LVLI																
00417C4B	LegendaryItems_Armor_Rank1	¬ Legendary Armor	25	LegendaryTokens ""Legendary Scrip"" [CNCY:003F7410]	00417C4A	LegendaryItems_LL_Armor_All		props/legendaryitembox/legnedaryitembox.nif	Legendary_Box """" [TRNS:00548799]				1	First Star Slot=modcol_Legendary_Crafting_Armor1 [OMOD:007904ED]	14	005380D1:LGV01_LL_Vendor_LegendaryItems:LVLI	0060D1A7:mod_Legendary_Crafting_Armor1:OMOD	006313D4:QuestReward_W05_MQS_205P_Stage9000_01:GMRW	007B9AFA:CAMPPets_LL_PettreasureLegendaryLootRank1:LVLI	007BBC59:MILE_LL_MysteryCrate_LegendaryTemplate:LVLI	007D6A6B:Burn_LL_BountyHunt_LegendaryTemplate_All:LVLI	00802163:P62_LLS_Drifter_Rewards_Armor_Fallback:LVLI	0081193C:Fishing_LLS_ChumTrough_Armor:LVLI	0085646B:LTT_Burn_LL_BountyHunt_LegendaryTemplate_1Star:LVLI	0086A8AC:RA_LLS_Loot_Legendary1Star:LVLI	0086A8BE:RA_LL_Rewards_LegendaryItems_Rank1:LVLI	008A52C4:ATX_Resources_LL_Collectron_Peppino_LegendaryGear_Rank1:LVLI	008F2B17:HTO_crLLS_Rewards_Legendary_Support_Armor:LVLI	008F2B1E:HTO_crLLS_Rewards_Legendary_Mob_Armor:LVLI																
00417C48	LegendaryItems_Weapons_Melee_Rank3	¬¬¬ Legendary Melee Weapon	60	LegendaryTokens ""Legendary Scrip"" [CNCY:003F7410]	00417C49	LegendaryItems_LL_Weapons_Melee_All		props/legendaryitembox/legnedaryitembox.nif	Legendary_Box """" [TRNS:00548799]				3	First Star Slot=modcol_Legendary_Crafting_Weapon1 [OMOD:007904EA] | First Star Slot=modcol_Legendary_Crafting_Weapon2 [OMOD:007904EB] | First Star Slot=modcol_Legendary_Crafting_Weapon3 [OMOD:007904EC]	16	005380D1:LGV01_LL_Vendor_LegendaryItems:LVLI	007AECA3:RD01_LLS_Raids_Rewards_Weapons_Melee_Fallback:LVLI	007B9AFC:CAMPPets_LL_PettreasureLegendaryLootRank3:LVLI	007BBC59:MILE_LL_MysteryCrate_LegendaryTemplate:LVLI	007D6A6B:Burn_LL_BountyHunt_LegendaryTemplate_All:LVLI	0080217D:P62_LLS_Drifter_Rewards_Weapons_Melee_Fallback:LVLI	0081193B:Fishing_LLS_ChumTrough_Weapon:LVLI	0085646A:LTT_Burn_LL_BountyHunt_LegendaryTemplate_3Star_GruntHunt:LVLI	0085DCDB:LTT_Burn_LL_BountyHunt_LegendaryTemplate_3Star_HeadHunt:LVLI	0086A8A9:RA_LLS_Loot_Legendary3Star:LVLI	00888523:HTO_crLLS_Rewards_Legendary_Boss_Weapons_Melee_Fallback:LVLI	008A4D1B:QDLBarbara_Lesson04_FinalReward:GMRW	008A52C6:ATX_Resources_LL_Collectron_Peppino_LegendaryGear_Rank3:LVLI	008F2B1A:HTO_crLLS_Rewards_Legendary_Mob_Weapons_Melee:LVLI	008FD890:HTO_crLLS_Rewards_Legendary_Boss_Funfestation:LVLI	0093A932:HTO_crLLS_Rewards_Legendary_Boss_Funfestation_Rank3:LVLI														
00417C41	LegendaryItems_Armor_Rank3	¬¬¬ Legendary Armor	60	LegendaryTokens ""Legendary Scrip"" [CNCY:003F7410]	00417C4A	LegendaryItems_LL_Armor_All		props/legendaryitembox/legnedaryitembox.nif	Legendary_Box """" [TRNS:00548799]				3	First Star Slot=modcol_Legendary_Crafting_Armor1 [OMOD:007904ED] | First Star Slot=modcol_Legendary_Crafting_Armor2 [OMOD:007904EE] | First Star Slot=modcol_Legendary_Crafting_Armor3 [OMOD:007904EF]	20	005380D1:LGV01_LL_Vendor_LegendaryItems:LVLI	0060D1A9:mod_Legendary_Crafting_Armor3:OMOD	006311D5:QuestReward_COMP_Quest_Outro_Full_Beckett_Stage1000_01:GMRW	006311D6:QuestReward_COMP_Quest_Outtro_Full_Astronaut_Stage9100_01:GMRW	006311D8:QuestReward_COMP_RQ_Fetch_Stage900_01:GMRW	006313BC:QuestReward_W05_MQA_206P_Stage9000_01:GMRW	007B9AFC:CAMPPets_LL_PettreasureLegendaryLootRank3:LVLI	007BBC59:MILE_LL_MysteryCrate_LegendaryTemplate:LVLI	007D6A6B:Burn_LL_BountyHunt_LegendaryTemplate_All:LVLI	00802163:P62_LLS_Drifter_Rewards_Armor_Fallback:LVLI	0081193C:Fishing_LLS_ChumTrough_Armor:LVLI	0085646A:LTT_Burn_LL_BountyHunt_LegendaryTemplate_3Star_GruntHunt:LVLI	0085DCDB:LTT_Burn_LL_BountyHunt_LegendaryTemplate_3Star_HeadHunt:LVLI	0086A8A9:RA_LLS_Loot_Legendary3Star:LVLI	0086A8BC:RA_LL_Rewards_LegendaryItems_Rank3:LVLI	0088851F:HTO_crLLS_Rewards_Legendary_Boss_Armor_Fallback:LVLI	008A52C6:ATX_Resources_LL_Collectron_Peppino_LegendaryGear_Rank3:LVLI	008F2B1E:HTO_crLLS_Rewards_Legendary_Mob_Armor:LVLI	008FD890:HTO_crLLS_Rewards_Legendary_Boss_Funfestation:LVLI	0093A932:HTO_crLLS_Rewards_Legendary_Boss_Funfestation_Rank3:LVLI										
00417C47	LegendaryItems_Weapons_Melee_Rank2	¬¬ Legendary Melee Weapon	35	LegendaryTokens ""Legendary Scrip"" [CNCY:003F7410]	00417C49	LegendaryItems_LL_Weapons_Melee_All		props/legendaryitembox/legnedaryitembox.nif	Legendary_Box """" [TRNS:00548799]				2	First Star Slot=modcol_Legendary_Crafting_Weapon1 [OMOD:007904EA] | First Star Slot=modcol_Legendary_Crafting_Weapon2 [OMOD:007904EB]	13	005380D1:LGV01_LL_Vendor_LegendaryItems:LVLI	007AECA3:RD01_LLS_Raids_Rewards_Weapons_Melee_Fallback:LVLI	007B9AFB:CAMPPets_LL_PettreasureLegendaryLootRank2:LVLI	007BBC59:MILE_LL_MysteryCrate_LegendaryTemplate:LVLI	007D6A6B:Burn_LL_BountyHunt_LegendaryTemplate_All:LVLI	0080217D:P62_LLS_Drifter_Rewards_Weapons_Melee_Fallback:LVLI	0081193B:Fishing_LLS_ChumTrough_Weapon:LVLI	0085646C:LTT_Burn_LL_BountyHunt_LegendaryTemplate_2Star:LVLI	0086A8AA:RA_LLS_Loot_Legendary2Star:LVLI	0086A8BA:RA_LL_Rewards_LegendaryItems_Rank2:LVLI	008A52C8:ATX_Resources_LL_Collectron_Peppino_LegendaryGear_Rank2:LVLI	008F2B1A:HTO_crLLS_Rewards_Legendary_Mob_Weapons_Melee:LVLI	0093A933:HTO_crLLS_Rewards_Legendary_Boss_Funfestation_Rank2:LVLI																	
00417C44	LegendaryItems_Weapons_Ranged_Rank3	¬¬¬ Legendary Ranged Weapon	60	LegendaryTokens ""Legendary Scrip"" [CNCY:003F7410]	00417C45	LegendaryItems_LL_Weapons_Ranged_All		props/legendaryitembox/legnedaryitembox.nif	Legendary_Box """" [TRNS:00548799]				3	First Star Slot=modcol_Legendary_Crafting_Weapon1 [OMOD:007904EA] | First Star Slot=modcol_Legendary_Crafting_Weapon2 [OMOD:007904EB] | First Star Slot=modcol_Legendary_Crafting_Weapon3 [OMOD:007904EC]	16	005380D1:LGV01_LL_Vendor_LegendaryItems:LVLI	005FF609:mod_Legendary_Crafting_Weapon3:OMOD	007AECA5:RD01_LLS_Raids_Rewards_Weapons_Ranged_Fallback:LVLI	007B9AFC:CAMPPets_LL_PettreasureLegendaryLootRank3:LVLI	007BBC59:MILE_LL_MysteryCrate_LegendaryTemplate:LVLI	007D6A6B:Burn_LL_BountyHunt_LegendaryTemplate_All:LVLI	0080217E:P62_LLS_Drifter_Rewards_Weapons_Ranged_Fallback:LVLI	0081193B:Fishing_LLS_ChumTrough_Weapon:LVLI	0085646A:LTT_Burn_LL_BountyHunt_LegendaryTemplate_3Star_GruntHunt:LVLI	0085DCDB:LTT_Burn_LL_BountyHunt_LegendaryTemplate_3Star_HeadHunt:LVLI	0086A8A9:RA_LLS_Loot_Legendary3Star:LVLI	00888525:HTO_crLLS_Rewards_Legendary_Boss_Weapons_Ranged_Fallback:LVLI	008A52C6:ATX_Resources_LL_Collectron_Peppino_LegendaryGear_Rank3:LVLI	008F2B1C:HTO_crLLS_Rewards_Legendary_Mob_Weapons_Ranged:LVLI	008FD890:HTO_crLLS_Rewards_Legendary_Boss_Funfestation:LVLI	0093A932:HTO_crLLS_Rewards_Legendary_Boss_Funfestation_Rank3:LVLI														
00417C46	LegendaryItems_Weapons_Melee_Rank1	¬ Legendary Melee Weapon	25	LegendaryTokens ""Legendary Scrip"" [CNCY:003F7410]	00417C49	LegendaryItems_LL_Weapons_Melee_All		props/legendaryitembox/legnedaryitembox.nif	Legendary_Box """" [TRNS:00548799]				1	First Star Slot=modcol_Legendary_Crafting_Weapon1 [OMOD:007904EA]	13	005380D1:LGV01_LL_Vendor_LegendaryItems:LVLI	007AECA3:RD01_LLS_Raids_Rewards_Weapons_Melee_Fallback:LVLI	007B9AFA:CAMPPets_LL_PettreasureLegendaryLootRank1:LVLI	007BBC59:MILE_LL_MysteryCrate_LegendaryTemplate:LVLI	007D6A6B:Burn_LL_BountyHunt_LegendaryTemplate_All:LVLI	0080217D:P62_LLS_Drifter_Rewards_Weapons_Melee_Fallback:LVLI	0081193B:Fishing_LLS_ChumTrough_Weapon:LVLI	0085646B:LTT_Burn_LL_BountyHunt_LegendaryTemplate_1Star:LVLI	0086A8AC:RA_LLS_Loot_Legendary1Star:LVLI	0086A8BE:RA_LL_Rewards_LegendaryItems_Rank1:LVLI	008A52C4:ATX_Resources_LL_Collectron_Peppino_LegendaryGear_Rank1:LVLI	008F2B1A:HTO_crLLS_Rewards_Legendary_Mob_Weapons_Melee:LVLI	008F2B20:HTO_crLLS_Rewards_Legendary_Support_Weapons_Melee:LVLI																	
