LSCR_FormID	LSCR_EDID	DESC_Description	ConditionCount	Conditions	BNAM_BackgroundImage	NNAM_LoadingScreenNIF	TNAM_Transform	ONAM_Rotation	ZNAM_Zoom	MOD2_CameraPath	PNAM_Unknown	LSST_LoadingScreenText	RefBy_QUST_FormIDs	RefBy_QUST_EDIDs
00066E32	Creature_MisterFarmhand	The Vault-Tec Agricultural Research Center promised a future of automated, high-tech farming. But sometime after the war, their experimental Mister Farmhands turned that dream into a nightmare.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_CloudyFoggyWoods.DDS	LSCreatureMrHandy [STAT:0022534F]	LSCreatureMrHandy01 [TRNS:00225350]				00			
00066E33	Lore_Automation	Before the Great War, Appalachian mining companies and other industrial interests pursued automation to a near unprecedented degree, leading to widespread job loss and civil unrest.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_SunsetFog.DDS	LS_Automation [STAT:0000731A]	LSAutomation [TRNS:0006A124]				00			
00066E34	Lore_Vault76	Vault 76 was built to house the best and brightest of America. Unlike most of Vault-Tec's projects, it was exactly what it appeared: a refuge for the future hope of humanity.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_VaultTec.DDS	DLC06VaultBoyStatue "Vault-Boy Statue" [STAT:00112899]	DLC06_LSVaultBoyGirl [TRNS:0011227D]				00			
00066E3A	Creature_Cargobot	Late in 2060, the U.S. military deployed their unmanned Cargobots all over Appalachia. They proved ideal for providing reconnaissance and delivering supplies in even the most hostile conditions.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_ToxicValley.DDS	LS_Vertibot [STAT:0023C84D]	LS_Vertibot_xform [TRNS:0023C84E]				00			
00066E3B	Survival_01	To survive in post-war Appalachia, it's important to make sure you're always stocked with food and water. Keep your thirst and hunger meters filled for extra bonuses.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_Stream.DDS	LS_SurvivalFoodStash01 [SCOL:0029BF82]	LSSurvivalFoodStash [TRNS:0029BF84]				00			
00066E51	GeneralGameplay_CAMP	Use your Construction and Assembly Mobile Platform, or C.A.M.P., to build things critical to your survival, like a Cooking Station, Stash Box, and Weapons Workbench. Place and relocate the C.A.M.P. from the Pip-Boy.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_CloudyFoggyRoute89.DDS	LS_Camp01 [SCOL:0029BF7A]	LSCamp [TRNS:0029BF7B]				00			
00066E53	Lore_VaultTecUniversity	In 2031, Vault-Tec re-branded Morgantown's local college as Vault-Tec University, and some of their top executives and scientists either taught or graduated from there. Go Fighting Wendigos!	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_AbandonedTruck.DDS	DLC06VaultGirlStatue "Vault-Girl Statue" [STAT:001128BD]	DLC06_LSVaultBoyGirl [TRNS:0011227D]				00			
00066E59	Creature_GraftonMonster	The source of endless fireside horror stories, the Grafton Monster is said to be a lumbering, pale, headless horror that wanders the woodlands of Grafton, West Virginia.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_MountaintopExcavator.DDS	LSCreatureGrafton [STAT:002982B3]	LSCreatureGrafton01 [TRNS:0003A3CF]				00			
00066E5A	Creature_HoneyBeast	The Honey Beast is a horribly mutated honey bee that can attack by releasing dangerous insect swarms. Fortunately, it is particularly vulnerable to both heat and cold attacks.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_CapitolBuilding.DDS	CreatureHoneyBeast [STAT:00007311]	LSHoneyBeast [TRNS:00052065]				00			
00153CA7	aa_Vault76Exit_01	Vault 76 was built to save the best and the brightest in the event of a nuclear holocaust. On Reclamation Day, they would emerge and begin to rebuild America. At least that's when they were supposed to...	1	Subject|GetInCurrentLocation|000B1415:Vault76LocationExterior:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_VaultTec.DDS	DLC06VaultBoyStatue "Vault-Boy Statue" [STAT:00112899]	DLC06_LSVaultBoyGirl [TRNS:0011227D]				00			
