NOTE_FormID	NOTE_EDID	FULL	DNAM_Type	Model	ICON	DATA_Value	DATA_Weight	VCRY_FormID	VCRY_EDID	PTRN	YNAM_PickupSound	ZNAM_PutdownSound	SNAM_Scene_FormID	SNAM_Scene_EDID	SNAM_Scene_FULL	DIQO_Quest_FormID	DIQO_Quest_EDID	DIQO_Quest_FULL	PNAM_ProgramFile	KeywordCount	KW_1	KW_2	KW_3	KW_4	KW_5	ReferencedByCount	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30	Ref_31	Ref_32	Ref_33
00168178	POIJoel06MessageFromPlayer	Message Machine Holotape	Voice	Props\Holotape_Prop.nif		5	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					3	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																														
0021C986	DebugKurtHolotape	Test Holotape	Voice	Props\Holotape_Prop.nif		1	0.000000			MiscHolotape [TRNS:000995A5]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]								1	003D4327:UnsellableObject:KYWD					4	0000F66B:DebugKurtQuest02:QUST	001E7DAF:QAHolotapesChest:CONT	0032E1DE:Test_Tut04_Terminal:TERM	0042C261:WL036_Terminal:TERM																													
00015B14	GQ_DropGovtHolotape	US Government Supply Requisition	Terminal	Props\Holotape_Prop.nif		10	0.000000			MiscHolotape [TRNS:000995A5]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]								1	003D4327:UnsellableObject:KYWD					9	00000007:Player:NPC_	00006F3C:GQ_DropGovtIntro:QUST	0000E424:DebugKurtQuest:QUST	0001CA89:GQ_AirDropHolotapeTerminal:TERM	000BF42C:LLS_Loot_Junk_Tiny_Rare:LVLI	001E7DAF:QAHolotapesChest:CONT	003073F9:LPI_GQ_DropGovtHolotape:LVLI	00525407:BabylonExcludeList:FLST	007AC7A3:LL_DropGovtHolotape:LVLI																								
0010D8F1	SFM04_Organic_EllasStarterHolotape	Ella's Logs	Terminal	Props\Holotape_Prop.nif		1	0.000000			MiscHolotape [TRNS:000995A5]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]								1	003D4327:UnsellableObject:KYWD					3	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																														
0010D8F2	SFM04_Organic_EllasResearchHolotape	Ella's Research	Terminal	Props\Holotape_Prop.nif		1	0.000000			MiscHolotape [TRNS:000995A5]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]								1	003D4327:UnsellableObject:KYWD					4	0010AE02:SFM04_Organic:QUST	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
001190A7	TW002ArrestWarrantHolotape	Arrest Warrant	Voice	Props\Holotape_Prop.nif		1	0.000000			MiscHolotape [TRNS:000995A5]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]								1	003D4327:UnsellableObject:KYWD					4	0010E201:TW002:QUST	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
0000898B	CUT_SF08_SuicideRun_BarnesLastNote	Barnes' Last Note	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]								1	003D4327:UnsellableObject:KYWD					3	00015676:CUT_SF08_SuicideRun:QUST	001E7DAF:QAHolotapesChest:CONT	00525407:BabylonExcludeList:FLST																														
0027BD15	BoSZ04IntroHolotape	Automated Research Program 001: Scorchbeast	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					4	00065DFE:BoSZ04:QUST	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
0015FAE5	V94_AccessCodeHolotape	Vault 94 Access Code	Terminal	AnimObjects/V96_Holotape01.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					7	0000E79B:V94Access_CUT_FlaggedToNotExportInScript:QUST	001E7DAF:QAHolotapesChest:CONT	002FB273:V94_Access_TerminalVaultDoorSubterminal:TERM	00324120:V96_Access_CUT_FlaggedToNotExportInScript:QUST	0041F800:V96Access_CUT_FlaggedToNotExportInScript:QUST	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																										
0007850B	FF05_BalanceWaterDataHolotape	Water Data	Terminal	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					5	0001C035:FF05_Balance:QUST	0011B1F3:FF05_Balance_TerminalSubEnviroMonitoring:TERM	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																												
