NPC_FormID	NPC_EDID	Ref_FormID	Ref_EDID	Worldspace_EDID	Worldspace_FormID	Cell_EDID	Cell_FormID	X	Y	Z	RotZ
0032CE24	QAVendorActor	0032CE27						-2626.958007	-1349.992188	-67.332184	0.0000
0034C7D9	test_DefaultBehaviorTestEnemy	0034C786						-3519.084228	-7173.186524	0.000000	180.0001
0034C7D9	test_DefaultBehaviorTestEnemy	0034C84E						-4421.185547	-6400.914551	0.000000	270.0002
0034C7D9	test_DefaultBehaviorTestEnemy	0034C8C4						-3648.913330	-5498.811523	0.000000	0.0001
0037D9BE	LC060_WhitespringVendor_CasualClothing_Flauresca	00629E04						-8482.987305	7215.999024	-512.000000	270.0001
0037D9BC	LC060_WhitespringVendor_FormalClothing_Tweed	00629E05						-7120.000000	7424.000000	-512.000000	90.0000
0037D9C0	LC060_WhitespringVendor_Pharmacy_DocStanley	00629E0E						-8648.000000	7418.302734	-512.000000	90.0000
0037D9D3	LC060_WhitespringVendor_WeaponsAntiqueArms_Flintlock	00629E13						-6135.997071	7481.999512	-512.000000	90.0000
0037D9CA	LC060_WhitespringVendor_DiningRoom_MsWaitress	00629E14						-13740.472656	8005.555176	0.000000	0.0000
0037D9C2	LC060_WhitespringVendor_DiningRoom_MrWaiter	00629E14						-13740.472656	8005.555176	0.000000	0.0000
0037D971	LC060_WhitespringVendor_JewelryAndAccessories_Helena	00629E0A						-4533.334961	7531.785156	-512.000000	90.0000
0037D9CB	LC060_WhitespringVendor_SurvivalTraining_Friedrich	00629E12						-5384.000000	8576.000000	-512.000000	270.0000
0037D9BB	LC060_WhitespringVendor_SodaFountain_Bubbles	00626D6A	XPD_Hub_Furniture_Bubbles					-6219.896484	9405.567383	5.260803	0.0000
0037D9BB	LC060_WhitespringVendor_SodaFountain_Bubbles	00629E16						-6288.000000	9320.000000	16.000000	180.0000
