NPC_FormID	NPC_EDID	NPC_FULL	NPC_SHRT	TPLT_FormID	TPLT_EDID	MerchantFaction_FormID	MerchantFaction_EDID	VendorFlags	BuySellList_FormID	BuySellList_EDID	BuySellList_Sig	MerchantContainerRef_FormID	MerchantContainerBase_FormID	MerchantContainerBase_EDID	PlacementCount
0006C507	CUT_EncBrahminClarabell	Clarabell		00020480	EncBrahmin01Template	000330BB	DomesticAnimalFaction								0
0007533C	LvlBoSSoldier_CombatArmor_Semi			00076A03	Old_LCharBoSSoldier	001479C1	BoSGenericNPCFaction								0
000769FA	EncBoSSoldier02	Brotherhood Aspirant	Aspirant	00076A0A	EncBoSSoldierTemplate	001479C1	BoSGenericNPCFaction								0
000769FB	EncBoSSoldier03	Brotherhood Knight	Knight	00076A0A	EncBoSSoldierTemplate	001479C1	BoSGenericNPCFaction								0
000769FC	EncBoSSoldier04	Brotherhood Knight-Sergeant	Knight-Sergeant	00076A0A	EncBoSSoldierTemplate	001479C1	BoSGenericNPCFaction								0
000769FD	EncBoSSoldier05	Brotherhood Knight-Captain	Knight-Captain	00076A0A	EncBoSSoldierTemplate	001479C1	BoSGenericNPCFaction								0
000769FE	EncBoSSoldier01	Brotherhood Initiate	Initiate	00076A0A	EncBoSSoldierTemplate	001479C1	BoSGenericNPCFaction								0
000769FF	EncBoSScribe01	Brotherhood Scribe Initiate	Scribe Initiate	00076A0B	EncBoSScribeTemplate	001479C1	BoSGenericNPCFaction								0
00076A00	EncBoSScribe02	Brotherhood Scribe	Scribe	00076A0B	EncBoSScribeTemplate	001479C1	BoSGenericNPCFaction								0
00076A01	EncBoSScribe03	Brotherhood Senior Scribe	Senior Scribe	00076A0B	EncBoSScribeTemplate	001479C1	BoSGenericNPCFaction								0
00076A05	LvlBoSScribe			00076A04	Old_LCharBoSScribe	001479C1	BoSGenericNPCFaction								0
00076A0A	EncBoSSoldierTemplate	Brotherhood Soldier Template				001479C1	BoSGenericNPCFaction								0
00076A0B	EncBoSScribeTemplate	Brotherhood Scribe Template				001479C1	BoSGenericNPCFaction								0
00077D21	LvlBoSSoldier_PowerArmor_Semi			0020D3E1	Old_LCharBoSSoldierPowerArmor	001479C1	BoSGenericNPCFaction								0
0002F824	CUT_EncBrahminRosie	Rosie		00020480	EncBrahmin01Template	000330BB	DomesticAnimalFaction								0
00079304	DebugJPCitizen	Resident				00002CB4	CrimeDiamondCity								0
000995A6	AudioTemplateBrahmin	Brahmin				000330BB	DomesticAnimalFaction								0
0009DCBC	AudioTemplateRadStag	AudioTemplateRadstag				000330BB	DomesticAnimalFaction								0
00110043	EncRaiderVoiceMale01	Raider				000392FA	RERaiderScavengerFaction								0
00110044	EncRaiderVoiceMale02	Raider				000392FA	RERaiderScavengerFaction								0
00110045	EncRaiderVoiceFemale01	Raider				000392FA	RERaiderScavengerFaction								0
00113340	corpse_NPCMaleFarmer01Template	Civilian		000A0E2F	Loot_CorpseBase	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
00113343	corpse_NPCMaleFarmer02			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
00113344	corpse_NPCMaleFarmer03			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
00113345	corpse_NPCMaleFarmer04			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
00113346	corpse_NPCFemaleFarmer01Template			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
00113347	corpse_NPCFemaleFarmer02			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
00113348	corpse_NPCFemaleFarmer03			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
00113349	corpse_NPCFemaleFarmer04			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
0011334A	corpse_NPCMaleGuard01Template			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
0011334B	corpse_NPCMaleGuard02			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
0011334C	corpse_NPCFemaleGuard02			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
0011334D	corpse_NPCFemaleGuard01			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
00114A65	WorkshopBrahmin	Brahmin		00020480	EncBrahmin01Template	000330BB	DomesticAnimalFaction								0
00114A66	WorkshopCaravanBrahmin			0014055E	EncBrahminPack	000330BB	DomesticAnimalFaction								0
0014055E	EncBrahminPack	Pack Brahmin		00020480	EncBrahmin01Template	000330BB	DomesticAnimalFaction								0
0016014C	EncBoS_PowerArmor_Semi_Template	Brotherhood Soldier Template				001479C1	BoSGenericNPCFaction								0
0016014D	EncBoS_CombatArmor_Semi_Template	Brotherhood Soldier Template				001479C1	BoSGenericNPCFaction								0
00160158	EncBoS_CombatArmor_Auto_Template	Brotherhood Soldier Template				001479C1	BoSGenericNPCFaction								0
00160159	EncBoS_PowerArmor_Auto_Template	Brotherhood Soldier Template				001479C1	BoSGenericNPCFaction								0
0016015A	EncBoS_PowerArmor_BigGun_Template	Brotherhood Soldier Template				001479C1	BoSGenericNPCFaction								0
0016015B	EncBoS_PowerArmor_Missile_Template	Brotherhood Soldier Template				001479C1	BoSGenericNPCFaction								0
0016015C	EncBoS_CombatArmor_Missile_Template	Brotherhood Soldier Template				001479C1	BoSGenericNPCFaction								0
0016015D	LvlBoSSoldier_CombatArmor_Auto			00076A03	Old_LCharBoSSoldier	001479C1	BoSGenericNPCFaction								0
0016015E	LvlBoSSoldier_CombatArmor_Missile			00076A03	Old_LCharBoSSoldier	001479C1	BoSGenericNPCFaction								0
0016015F	LvlBoSSoldier_PowerArmor_Auto			0020D3E1	Old_LCharBoSSoldierPowerArmor	001479C1	BoSGenericNPCFaction								0
00160160	LvlBoSSoldier_PowerArmor_Missile			0020D3E1	Old_LCharBoSSoldierPowerArmor	001479C1	BoSGenericNPCFaction								0
00160161	LvlBoSSoldier_PowerArmor_BigGun			0020D3E1	Old_LCharBoSSoldierPowerArmor	001479C1	BoSGenericNPCFaction								0
0016BACD	LvlBoSScribeEngineer			00076A04	Old_LCharBoSScribe	001479C1	BoSGenericNPCFaction								0
0016BACE	LvlBoSScribeScience			00076A04	Old_LCharBoSScribe	001479C1	BoSGenericNPCFaction								0
0016BACF	LvlBoSScribeField			00076A04	Old_LCharBoSScribe	001479C1	BoSGenericNPCFaction								0
0017D6B0	EncBoSTraitsSoldierMale01	Brotherhood Soldier Initiate	Initiate	00076A0A	EncBoSSoldierTemplate	001479C1	BoSGenericNPCFaction								0
0017D6B1	EncBoSTraitsSoldierMale02	Brotherhood Soldier Initiate	Initiate	00076A0A	EncBoSSoldierTemplate	001479C1	BoSGenericNPCFaction								0
