NPC_FormID	NPC_EDID	RefBy_FormID	RefBy_EDID	RefBy_Signature
0005A9C1	LvlMirelurkCrab	0009318E	SFS08_Heart_LvlMirelurkCrab	NPC_
0005A9C1	LvlMirelurkCrab	000A5EC1		ACHR
0005A9C1	LvlMirelurkCrab	0011D76B	TW004	QUST
0005A9C1	LvlMirelurkCrab	00180824	EWS_FL_Mirelurks	FLST
0005A9C1	LvlMirelurkCrab	001A81D4		ACHR
0005A9C1	LvlMirelurkCrab	001A82C8		ACHR
0005A9C1	LvlMirelurkCrab	001A82CE		ACHR
0005A9C1	LvlMirelurkCrab	001A8334		ACHR
0005A9C1	LvlMirelurkCrab	001D50E8	LChar_GroupMirelurkMelee	LVLN
0005A9C1	LvlMirelurkCrab	001E7BD7	TestESSEnc02	NPC_
0005A9C1	LvlMirelurkCrab	0027EA1F		ACHR
0005A9C1	LvlMirelurkCrab	0027EA20		ACHR
0005A9C1	LvlMirelurkCrab	0027EA21		ACHR
0005A9C1	LvlMirelurkCrab	0027EA22		ACHR
0005A9C1	LvlMirelurkCrab	0027EA24		ACHR
0005A9C1	LvlMirelurkCrab	0027EA25		ACHR
0005A9C1	LvlMirelurkCrab	0027EA26		ACHR
0005A9C1	LvlMirelurkCrab	0027EA27		ACHR
0005A9C1	LvlMirelurkCrab	0027EA29		ACHR
0005A9C1	LvlMirelurkCrab	0027EA2A		ACHR
0005A9C1	LvlMirelurkCrab	0027EA2B		ACHR
0005A9C1	LvlMirelurkCrab	0027EA2E		ACHR
0005A9C1	LvlMirelurkCrab	0027EA2F		ACHR
0005A9C1	LvlMirelurkCrab	0027EA30		ACHR
0005A9C1	LvlMirelurkCrab	0027EA32		ACHR
0005A9C1	LvlMirelurkCrab	0027EA33		ACHR
0005A9C1	LvlMirelurkCrab	0027EA37		ACHR
0005A9C1	LvlMirelurkCrab	0027EA38		ACHR
0005A9C1	LvlMirelurkCrab	0027EA39		ACHR
0005A9C1	LvlMirelurkCrab	0027EA3A		ACHR
0005A9C1	LvlMirelurkCrab	0027EA3C		ACHR
0005A9C1	LvlMirelurkCrab	0027EA3D		ACHR
0005A9C1	LvlMirelurkCrab	0027EA3E		ACHR
0005A9C1	LvlMirelurkCrab	00290370	LChar_GroupMirelurkRanged	LVLN
0005A9C1	LvlMirelurkCrab	00290373	LChar_GroupMirelurkBoss	LVLN
0005A9C1	LvlMirelurkCrab	002D34EA	EWS_FL_SpecialMirelurk	FLST
0005A9C1	LvlMirelurkCrab	0038F0F5	ImguiDebugDisplayList	FLST
0005A9C1	LvlMirelurkCrab	003C751E		ACHR
0005A9C1	LvlMirelurkCrab	003C751F		ACHR
0005A9C1	LvlMirelurkCrab	003C7520		ACHR
0005A9C1	LvlMirelurkCrab	003D127F		ACHR
0005A9C1	LvlMirelurkCrab	003D1280		ACHR
0005A9C1	LvlMirelurkCrab	003D1281		ACHR
0005A9C1	LvlMirelurkCrab	003D1282		ACHR
0005A9C1	LvlMirelurkCrab	003D1283		ACHR
0005A9C1	LvlMirelurkCrab	003D7873	RE_TravelMP04	QUST
0005A9C1	LvlMirelurkCrab	003EC46A		ACHR
0005A9C1	LvlMirelurkCrab	0044CF86	LChar_GroupMirelurkLarge	LVLN
0005A9C1	LvlMirelurkCrab	00454D5A	WaveType_SFS09_Habitat_Swimmers	WAVE
0005A9C1	LvlMirelurkCrab	00454D5F	WaveType_SFS09_Habitat_SwimmersBoss	WAVE
0005A9C1	LvlMirelurkCrab	00485B95		ACHR
0005A9C1	LvlMirelurkCrab	004E29EF	WaveTypeMirelurks	WAVE
0005A9C1	LvlMirelurkCrab	004EC263		ACHR
0005A9C1	LvlMirelurkCrab	004EC265		ACHR
0005A9C1	LvlMirelurkCrab	004EC267		ACHR
0005A9C1	LvlMirelurkCrab	004EC26D		ACHR
0005A9C1	LvlMirelurkCrab	004EC26F		ACHR
