FormID	EDID	FULL	SHRT	RNAM_FormID	RNAM_EDID	RNAM_Name	ATKR_FormID	ATKR_EDID	ATKR_Name	INAM_FormID	INAM_EDID	TPLT_FormID	TPLT_EDID	TPLT_Name	LTPT_FormID	LTPT_EDID	LTPT_Name	LTPC_FormID	LTPC_EDID	LTPC_Name	CNAM_FormID	CNAM_EDID	CNAM_Name	VTCK_FormID	VTCK_EDID	VTCK_Name	WNAM_FormID	WNAM_EDID	DOFT_FormID	DOFT_EDID	ACBS_Flags	ACBS_XPOffset	ACBS_Level	ACBS_CalcMinLvl	ACBS_CalcMaxLvl	ACBS_DispositionBase	ACBS_TemplateFlags	AJNG_EDID	AJXG_EDID	DNAM_CalcHealth	DNAM_CalcActionPts	DNAM_FarAwayDist	DNAM_GearedUpWeapons	ZNAM_FormID	ZNAM_EDID	ECOR_FormID	ECOR_EDID	Factions_Flat
0005A9C1	LvlMirelurkCrab			00023FFC	MirelurkRace	Mirelurk	00023FFC	MirelurkRace	Mirelurk	0002EF69	LLD_Creature_Mirelurk	0005A9C2	LCharMirelurkCrab								0005F96F	mirelurkClass	Mirelurk	0003614E	CrMirelurkVoice		001999FF	SkinMirelurkGlowing	0013878D	CreatureOutfit_Mirelurk_ShoreDwellerOutfit		0	50	0	0	35		Renorm_MinLVL_GlowingCreature	Renorm_MaxLVL_GlowingCreature	450	100	0	1	000F0B87	csMirelurk			CreatureFaction[Rank:0] | MirelurkFaction[Rank:0]
0005FBB3	EncStingwing01Template	Stingwing		0005FBB1	StingwingRace	Stingwing	0005FBB1	StingwingRace	Stingwing	00074D12	LLD_Creature_Stingwing										0002866F	BloodbugClass	Bloodbug	0007CB62	CrStingwingVoice		0005FBAF	SkinStingwing				0	10	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	40	100	0	1	00066EB2	csStingwing			CreatureFaction[Rank:0] | InsectFaction[Rank:0] | StingwingFaction[Rank:0]
000636AA	EncRadscorpion01Template	Radscorpion		000636AB	RadScorpionRace	Radscorpion	000636AB	RadScorpionRace	Radscorpion	00074D11	LLD_Creature_Radscorpion										00389CD0	RadscorpionClass	Radscorpion Class	000636A5	CrRadscorpion		000636A4	SkinRadscorpion				0	14	0	0	35		Renorm_MinLVL_Tier02	Renorm_MaxLVL_Tier01	150	100	0	1	000636A6	csRadscorpion			RadScorpionFaction[Rank:0]
00064122	encRaiderFaceM04			00013746	HumanRace	Human	00013746	HumanRace	Human			0039CCA2	EncRaider01CorpseTemplate	Raider Corpse							0005F970	raiderClass	Raider	003F83BC	W05_NPCM_GenericRaider01	Raider	000ADA90	SkinNakedDirty				0	1	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	30	50	0	1	00064125	csRaiderRangedOffenseHigh	0004223F	DefaultCombatMasterPackageList	
00064124	encRaiderFaceM03			00013746	HumanRace	Human	00013746	HumanRace	Human			0039CCA2	EncRaider01CorpseTemplate	Raider Corpse							0005F970	raiderClass	Raider	003F83C0	W05_NPCM_GenericRaider03	Raider	000ADA90	SkinNakedDirty				0	1	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	30	50	0	1	00064126	csRaiderRangedDefenseHigh	0004223F	DefaultCombatMasterPackageList	
0006C507	CUT_EncBrahminClarabell	Clarabell		0002047E	BrahminRace	Brahmin	0002047E	BrahminRace	Brahmin	0008E3AB	LLD_Creature_Brahmin	00020480	EncBrahmin01Template	Brahmin							001CD0A9	GenericCombatant	Combatant	0006D6D2	CrBrahminVoice		0002047C	SkinBrahmin				0	3	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	100	100	0	1	00102B5D	csBrahmin			DomesticAnimalFaction[Rank:0] | BrahminFaction[Rank:0]
00075335	LvlSupermutantRanged			0001A009	SuperMutantRace	Super Mutant	0001A009	SuperMutantRace	Super Mutant	00249196	LLD_Creature_Supermutant	0048FA62	LCharSuperMutant								000424ED	SupermutantClass	Supermutant	0006D7B7	CrSuperMutant01		0001A00B	SkinSuperMutant	000A73A1	CreatureOutfit_SuperMutantOutfit		140	68	0	0	35		Renorm_MinLVL_GlowingCreature	Renorm_MaxLVL_GlowingCreature	700	50	0	1	000A881F	csSupermutantRanged	0004223F	DefaultCombatMasterPackageList	SuperMutantFaction[Rank:0]
00075337	LvlFeralGhoul			000A96BF	FeralGhoulGlowingRace	Feral Ghoul	0006B4EC	FeralGhoulRace	Feral Ghoul	0021C009	LLD_Creature_FeralGhoul_Glowing	000758AE	LCharFeralGhoul								00123E16	FeralGhoulClass	Feral Ghoul	0009B20A	CrFeralGhoulVoice		000A96BC	SkinFeralGhoulGlowingBloated				0	58	0	0	35		Renorm_MinLVL_GlowingCreature	Renorm_MaxLVL_GlowingCreature	1000	100	0	1	0015B53F	csFeralGhoulGlowingOne	0004223F	DefaultCombatMasterPackageList	FeralGhoulFaction[Rank:0]
00075338	LvlDeathclaw			0001DB4A	DeathclawRace	Deathclaw				0002EF6C	LLD_Creature_Deathclaw	0007533D	LCharDeathclaw								0005F96C	DeathclawClass	Deathclaw	000219CA	CrDeathclaw		001955B4	SkinDeathclawGlowing				0	0.10	91	0	35		Renorm_MinLVL_GlowingCreature	Renorm_MaxLVL_GlowingCreature	1798	100	0	1	0004D8AE	csDeathClaw			DeathclawFaction[Rank:0]
0007533C	LvlBoSSoldier_CombatArmor_Semi			00013746	HumanRace	Human	00013746	HumanRace	Human	00077D1F	LLD_Creature_BoSSoldier	00076A03	Old_LCharBoSSoldier					0016556E	ChanceLegendary		00076A07	BoSScribeClass	Brotherhood of Steel Scribe						00076A26	BoSSoldierOutfit		0	2	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	80	50	0	1	00076A09	csBoS01Ranged	0004223F	DefaultCombatMasterPackageList	BrotherhoodofSteelFaction[Rank:0] | BoSGenericNPCFaction[Rank:0]
