PCRD_FormID	PCRD_EDID	FormVersion	DESC	MNAM_MaleName	FNAM_FemaleName	ANAM_PerkCardFlags	DATA_Value	DATA_MinLevel	DATA_Special	DATA_RaceRestriction	PCDV_GLOB_FormID	PCDV_GLOB_EDID	PCDV_GLOB_FULL	SNAM_Sound	RankCount	Ranks_Flat	ReferencedByCount	Rank_1_CardRank	Rank_1_MalePerk_FormID	Rank_1_MalePerk_EDID	Rank_1_MalePerk_FULL	Rank_1_FemalePerk_FormID	Rank_1_FemalePerk_EDID	Rank_1_FemalePerk_FULL	Rank_2_CardRank	Rank_2_MalePerk_FormID	Rank_2_MalePerk_EDID	Rank_2_MalePerk_FULL	Rank_2_FemalePerk_FormID	Rank_2_FemalePerk_EDID	Rank_2_FemalePerk_FULL	Rank_3_CardRank	Rank_3_MalePerk_FormID	Rank_3_MalePerk_EDID	Rank_3_MalePerk_FULL	Rank_3_FemalePerk_FormID	Rank_3_FemalePerk_EDID	Rank_3_FemalePerk_FULL	Rank_4_CardRank	Rank_4_MalePerk_FormID	Rank_4_MalePerk_EDID	Rank_4_MalePerk_FULL	Rank_4_FemalePerk_FormID	Rank_4_FemalePerk_EDID	Rank_4_FemalePerk_FULL	Rank_5_CardRank	Rank_5_MalePerk_FormID	Rank_5_MalePerk_EDID	Rank_5_MalePerk_FULL	Rank_5_FemalePerk_FormID	Rank_5_FemalePerk_EDID	Rank_5_FemalePerk_FULL	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11
00093E84	ActionBoyGirlCard	209	There's no time to waste!	ActionBoy	ActionGirl		0.000000	2	Agility	None	001179ED	PerkCard_Caps_Common		001A7624:UIPerkMenuActionBoy:SNDR	3	1|0004D869:ActionBoy01:Action Boy|0004D872:ActionGirl01:Action Girl || 2|00065DF5:ActionBoy02:Action Boy|00065DF6:ActionGirl02:Action Girl || 3|0017ED8A:ActionBoy03:Action Boy|0017ED8B:ActionGirl03:Action Girl	11	1	0004D869	ActionBoy01	Action Boy	0004D872	ActionGirl01	Action Girl	2	00065DF5	ActionBoy02	Action Boy	00065DF6	ActionGirl02	Action Girl	3	0017ED8A	ActionBoy03	Action Boy	0017ED8B	ActionGirl03	Action Girl															00048090:76CharGenStartingPerkCardsFormlist:FLST	0005B390:LevelUp_SelectionList:LVPC	004713B9:Challenge_Lifetime_Perks_RankUp_SUB_Agility_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST	006DE9E3:NPE_Loadout_CommandoSelectionList:LVPC	006DE9E4:NPE_Loadout_GunslingerSelectionList:LVPC	006DE9E5:NPE_Loadout_SluggerSelectionList:LVPC	006DE9E6:NPE_Loadout_ShotgunnerSelectionList:LVPC	006DE9E7:NPE_Loadout_VATSSelectionList:LVPC	00727E75:NPE_Loadout_ActionBoyGirlCard:LVPC	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC
000907EF	FieldSurgeonCard	209	The Wasteland is your operating room!	FieldSurgeon			0.000000	15	Intelligence	None	001179F3	PerkCard_Caps_Rare			1	2|000814FE:FieldSurgeon01:Field Surgeon|	3	2	000814FE	FieldSurgeon01	Field Surgeon																																0005B390:LevelUp_SelectionList:LVPC	004713BF:Challenge_Lifetime_Perks_RankUp_SUB_Charisma_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
000907EE	ModernRenegadeCard	209	Today's skill - yesterday's style!	ModernRenegade			0.000000	18	Agility	None	001179F3	PerkCard_Caps_Rare			3	1|0000EE1C:ModernRenegade01:Modern Renegade| || 2|0000EE1E:ModernRenegade02:Modern Renegade| || 3|00054DF2:ModernRenegade03:Modern Renegade|	4	1	0000EE1C	ModernRenegade01	Modern Renegade				2	0000EE1E	ModernRenegade02	Modern Renegade				3	00054DF2	ModernRenegade03	Modern Renegade																		0005B390:LevelUp_SelectionList:LVPC	004713B9:Challenge_Lifetime_Perks_RankUp_SUB_Agility_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST	006DE9E4:NPE_Loadout_GunslingerSelectionList:LVPC							
000907EB	HappyGoLuckyCard	209	Everything goes better after a drink.	HappyGoLucky			0.000000	17	Charisma	None	001179ED	PerkCard_Caps_Common			2	1|0018E143:HappyGoLucky01:Happy-Go-Lucky| || 2|0018E147:HappyGoLucky02:Happy-Go-Lucky|	3	1	0018E143	HappyGoLucky01	Happy-Go-Lucky				2	0018E147	HappyGoLucky02	Happy-Go-Lucky																									0005B390:LevelUp_SelectionList:LVPC	004713BF:Challenge_Lifetime_Perks_RankUp_SUB_Charisma_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
000907E9	PharmacistCard	209	Take 2 of these and never call me again.	Pharmacist			0.000000	6	Intelligence	Human	0024F8D6	PerkCard_Caps_Uncommon		001A72E8:UIPerkMenuPharmacist:SNDR	1	1|000814FB:Pharmacist01:Pharmacist|	4	1	000814FB	Pharmacist01	Pharmacist																																0005B390:LevelUp_SelectionList:LVPC	004713BA:Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC							
000907E6	ProfessionalDrinkerCard	209	Your liver works hard for the money!	ProfessionalDrinker			0.000000	39	Endurance	None	001179ED	PerkCard_Caps_Common			1	2|0018E144:ProfessionalDrinker01:Professional Drinker|	3	2	0018E144	ProfessionalDrinker01	Professional Drinker																																0005B390:LevelUp_SelectionList:LVPC	004713BE:Challenge_Lifetime_Perks_RankUp_SUB_Endurance_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
000907E5	GroundPounderCard	209	The battlefield is your happy place!	GroundPounder			0.000000	18	Perception	None	001179F3	PerkCard_Caps_Rare			3	1|00006F9B:GroundPounder01:Ground Pounder| || 2|00006FAB:GroundPounder02:Ground Pounder| || 3|00006FAC:GroundPounder03:Ground Pounder|	5	1	00006F9B	GroundPounder01	Ground Pounder				2	00006FAB	GroundPounder02	Ground Pounder				3	00006FAC	GroundPounder03	Ground Pounder																		0005B390:LevelUp_SelectionList:LVPC	004713BD:Challenge_Lifetime_Perks_RankUp_SUB_Perception_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST	006DE9E3:NPE_Loadout_CommandoSelectionList:LVPC	006DE9E6:NPE_Loadout_ShotgunnerSelectionList:LVPC						
000907DE	TormentorCard	209	You like to play with your food.	Tormentor			0.000000	37	Perception	None	001179F3	PerkCard_Caps_Rare			1	2|0009535E:Tormentor01:Tormentor|	3	2	0009535E	Tormentor01	Tormentor																																0005B390:LevelUp_SelectionList:LVPC	004713BB:Challenge_Lifetime_Perks_RankUp_SUB_Luck_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST								
000907D6	IroncladCard	209	The knights had it right!	Ironclad			0.000000	30	Endurance	None	001179F3	PerkCard_Caps_Rare			3	1|003440D0:Ironclad01:Ironclad| || 2|003440D2:Ironclad02:Ironclad| || 3|003440D3:Ironclad03:Ironclad|	4	1	003440D0	Ironclad01	Ironclad				2	003440D2	Ironclad02	Ironclad				3	003440D3	Ironclad03	Ironclad																		0005B390:LevelUp_SelectionList:LVPC	004713BE:Challenge_Lifetime_Perks_RankUp_SUB_Endurance_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC							
000907CF	StrongbackCard	209	What are you, part pack mule?	StrongBack			0.000000	26	Strength	None	0024F8D6	PerkCard_Caps_Uncommon		001A72FA:UIPerkMenuStrongBack:SNDR	1	2|0004B24E:StrongBack01:Strong Back|	3	2	0004B24E	StrongBack01	Strong Back																																0005B390:LevelUp_SelectionList:LVPC	004713BC:Challenge_Lifetime_Perks_RankUp_SUB_Strength_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST								
000907C9	RiflemanCard	209	Keep your distance long and your kill-count high.	Rifleman			0.000000	2	Perception	None	001179F3	PerkCard_Caps_Rare		001A72F1:UIPerkMenuRifleman:SNDR	3	1|0004A0B6:Rifleman01:Down Ranger| || 2|0004A0B7:Rifleman02:Down Ranger| || 3|0004A0B8:Rifleman03:Down Ranger|	4	1	0004A0B6	Rifleman01	Down Ranger				2	0004A0B7	Rifleman02	Down Ranger				3	0004A0B8	Rifleman03	Down Ranger																		0005B390:LevelUp_SelectionList:LVPC	004713BD:Challenge_Lifetime_Perks_RankUp_SUB_Perception_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC							
00073680	BloodyMessCard	209	Watch out for flying eyeballs!	BloodyMess			0.000000	42	Luck	None	001179ED	PerkCard_Caps_Common		001A762F:UIPerkMenuBloodyMess:SNDR	1	1|0004A0BB:BloodyMess01:Bloody Mess|	4	1	0004A0BB	BloodyMess01	Bloody Mess																																0005B390:LevelUp_SelectionList:LVPC	004713BB:Challenge_Lifetime_Perks_RankUp_SUB_Luck_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC							
000525DF	PartyBoyGirlCard	209	Nobody has a good time like you!	PartyBoy	PartyGirl		0.000000	24	Charisma	None	001179ED	PerkCard_Caps_Common		001A72E6:UIPerkMenuPartyBoy:SNDR	2	2|0004D887:PartyBoy01:Party Boy|0004D888:PartyGirl01:Party Girl || 3|001D2473:PartyBoy02:Party Boy|001D2475:PartyGirl02:Party Girl	3	2	0004D887	PartyBoy01	Party Boy	0004D888	PartyGirl01	Party Girl	3	001D2473	PartyBoy02	Party Boy	001D2475	PartyGirl02	Party Girl																						0005B390:LevelUp_SelectionList:LVPC	004713BF:Challenge_Lifetime_Perks_RankUp_SUB_Charisma_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
0003EB3B	FirstAidCard	209	Is there a doctor in the house?	FirstAid			0.000000	2	Intelligence	None	001179ED	PerkCard_Caps_Common			1	1|0004C926:FirstAid01:First Aid|	11	1	0004C926	FirstAid01	First Aid																																00048090:76CharGenStartingPerkCardsFormlist:FLST	0005B390:LevelUp_SelectionList:LVPC	004713BA:Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST	006DE9E3:NPE_Loadout_CommandoSelectionList:LVPC	006DE9E4:NPE_Loadout_GunslingerSelectionList:LVPC	006DE9E5:NPE_Loadout_SluggerSelectionList:LVPC	006DE9E6:NPE_Loadout_ShotgunnerSelectionList:LVPC	006DE9E7:NPE_Loadout_VATSSelectionList:LVPC	00727E74:NPE_Loadout_FirstAidCard:LVPC	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC
0003C969	PicklockCard	209	Locked? Not for long!	Picklock			0.000000	5	Perception	None	001179ED	PerkCard_Caps_Common			1	1|000523FF:Picklock01:Picklock|	5	1	000523FF	Picklock01	Picklock																																0005B390:LevelUp_SelectionList:LVPC	004713BD:Challenge_Lifetime_Perks_RankUp_SUB_Perception_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST	006DE9E5:NPE_Loadout_SluggerSelectionList:LVPC	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC						
0000BB40	LifegiverCard	209	You embody wellness!	LifeGiver			0.000000	50	Endurance	None	001179ED	PerkCard_Caps_Common		001A7647:UIPerkMenuLifeGiver:SNDR	1	2|0004A0CF:LifeGiver01:LifeGiver|	4	2	0004A0CF	LifeGiver01	LifeGiver																																0005B390:LevelUp_SelectionList:LVPC	004713BE:Challenge_Lifetime_Perks_RankUp_SUB_Endurance_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC							
00005272	CommandoMasterCard	209		CommandoMaster			0.000000	40	Perception	None	001179F3	PerkCard_Caps_Rare		001A7633:UIPerkMenuCommando:SNDR	1	3|0004A0C5:CommandoMaster01:Number Cruncher|	3	3	0004A0C5	CommandoMaster01	Number Cruncher																																0005B390:LevelUp_SelectionList:LVPC	004713BD:Challenge_Lifetime_Perks_RankUp_SUB_Perception_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST								
001C9D2E	HeavyGunnerMasterCard	209	You're a tank with legs.	HeavyGunnerMaster			0.000000	50	Strength	None	001179F3	PerkCard_Caps_Rare		001A7641:UIPerkMenuHeavyGunner:SNDR	1	3|0004A0D6:HeavyGunnerMaster01:Bringing the Big Guns|	3	3	0004A0D6	HeavyGunnerMaster01	Bringing the Big Guns																																0005B390:LevelUp_SelectionList:LVPC	004713BC:Challenge_Lifetime_Perks_RankUp_SUB_Strength_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST								
00287CD5	BetterCriticalsCard	209	Advanced training for enhanced combat effectiveness!	BetterCriticals			0.000000	47	Luck	None	0024F8D6	PerkCard_Caps_Uncommon		001A762B:UIPerkMenuBetterCriticals:SNDR	3	1|0004D87A:BetterCriticals01:Better Criticals| || 2|00065E03:BetterCriticals02:Better Criticals| || 3|00065E04:BetterCriticals03:Better Criticals|	3	1	0004D87A	BetterCriticals01	Better Criticals				2	00065E03	BetterCriticals02	Better Criticals				3	00065E04	BetterCriticals03	Better Criticals																		0005B390:LevelUp_SelectionList:LVPC	004713BB:Challenge_Lifetime_Perks_RankUp_SUB_Luck_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST								
00287C5C	HackerCard	209	Penetrate terminal security with cutting-edge encryption knowledge.	Hacker			0.000000	4	Intelligence	None	001179ED	PerkCard_Caps_Common		001A7640:UIPerkMenuHacker:SNDR	1	1|00356A11:Hacker01:Hacker|	4	1	00356A11	Hacker01	Hacker																																0005B390:LevelUp_SelectionList:LVPC	004713BA:Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC							
0008D247	InspirationalCard	209	You lead by example.	Inspirational			0.000000	2	Charisma	None	0024F8D6	PerkCard_Caps_Uncommon		00211CA7:UIPerkMenuInspirational:SNDR	1	1|001D2461:Inspirational01:Inspirational|	11	1	001D2461	Inspirational01	Inspirational																																00048090:76CharGenStartingPerkCardsFormlist:FLST	0005B390:LevelUp_SelectionList:LVPC	004713BF:Challenge_Lifetime_Perks_RankUp_SUB_Charisma_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST	006DE9E3:NPE_Loadout_CommandoSelectionList:LVPC	006DE9E4:NPE_Loadout_GunslingerSelectionList:LVPC	006DE9E5:NPE_Loadout_SluggerSelectionList:LVPC	006DE9E6:NPE_Loadout_ShotgunnerSelectionList:LVPC	006DE9E7:NPE_Loadout_VATSSelectionList:LVPC	00727E73:NPE_Loadout_InspirationalCard:LVPC	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC
0008AD53	LoneWandererCard	209	Who needs friends, anyway?	LoneWanderer			0.000000	4	Charisma	None	001179F3	PerkCard_Caps_Rare		00211CAB:UIPerkMenuLoneWanderer:SNDR	1	2|001D246B:LoneWanderer01:Lone Wanderer|	9	2	001D246B	LoneWanderer01	Lone Wanderer																																0005B390:LevelUp_SelectionList:LVPC	004713BF:Challenge_Lifetime_Perks_RankUp_SUB_Charisma_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST	006DE9E3:NPE_Loadout_CommandoSelectionList:LVPC	006DE9E4:NPE_Loadout_GunslingerSelectionList:LVPC	006DE9E5:NPE_Loadout_SluggerSelectionList:LVPC	006DE9E6:NPE_Loadout_ShotgunnerSelectionList:LVPC	006DE9E7:NPE_Loadout_VATSSelectionList:LVPC	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC		
0025A7A3	MarathonerCard	209	You're going the distance!	Marathoner			0.000000	13	Agility	None	001179ED	PerkCard_Caps_Common			3	1|0025989A:Marathoner01:Marathoner| || 2|002598E0:Marathoner02:Marathoner| || 3|003701A8:Marathoner03:Marathoner|	4	1	0025989A	Marathoner01	Marathoner				2	002598E0	Marathoner02	Marathoner				3	003701A8	Marathoner03	Marathoner																		0005B390:LevelUp_SelectionList:LVPC	004713B9:Challenge_Lifetime_Perks_RankUp_SUB_Agility_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC							
0025A7E0	ThruHikerCard	209	You have learned the art of proper weight distribution.	ThruHiker			0.000000	7	Endurance	None	001179ED	PerkCard_Caps_Common			2	1|0025A7AD:ThruHiker01:Thru-hiker| || 2|0025A7AE:ThruHiker02:Thru-hiker|	8	1	0025A7AD	ThruHiker01	Thru-hiker				2	0025A7AE	ThruHiker02	Thru-hiker																									0005B390:LevelUp_SelectionList:LVPC	004713B9:Challenge_Lifetime_Perks_RankUp_SUB_Agility_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST	006DE9E3:NPE_Loadout_CommandoSelectionList:LVPC	006DE9E4:NPE_Loadout_GunslingerSelectionList:LVPC	006DE9E5:NPE_Loadout_SluggerSelectionList:LVPC	006DE9E6:NPE_Loadout_ShotgunnerSelectionList:LVPC	006DE9E7:NPE_Loadout_VATSSelectionList:LVPC			
0025A7A4	SturdyFrameCard	209	You are built like a brick house.	SturdyFrame			0.000000	13	Strength	None	0024F8D6	PerkCard_Caps_Uncommon			2	1|002597FD:SturdyFrame01:Sturdy Frame| || 2|0025A7A6:SturdyFrame02:Sturdy Frame|	3	1	002597FD	SturdyFrame01	Sturdy Frame				2	0025A7A6	SturdyFrame02	Sturdy Frame																									0005B390:LevelUp_SelectionList:LVPC	004713BC:Challenge_Lifetime_Perks_RankUp_SUB_Strength_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST								
0025A22F	NerdRageCard	209	Genius. Is. ANGRY!	NerdRage			0.000000	46	Intelligence	None	001179F3	PerkCard_Caps_Rare		001A72E0:UIPerkMenuNerdRage:SNDR	1	2|0004D886:NerdRage01:Nerd Rage!|	4	2	0004D886	NerdRage01	Nerd Rage!																																0005B390:LevelUp_SelectionList:LVPC	004713BA:Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC							
0025A233	SluggerCard	209	Swing for the fences!	Slugger			0.000000	2	Strength	None	001179F3	PerkCard_Caps_Rare		001A762C:UIPerkMenuBigLeagues:SNDR	3	1|0004A0B5:Slugger01:Slugger| || 2|000E36FC:Slugger02:Slugger| || 3|000E36FD:Slugger03:Slugger|	6	1	0004A0B5	Slugger01	Slugger				2	000E36FC	Slugger02	Slugger				3	000E36FD	Slugger03	Slugger																		0005B390:LevelUp_SelectionList:LVPC	004713BC:Challenge_Lifetime_Perks_RankUp_SUB_Strength_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST	006DE9E5:NPE_Loadout_SluggerSelectionList:LVPC	00727E76:NPE_Loadout_SluggerCard:LVPC	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC					
0025A808	GhoulishCard	209	Sure, you're still human - on the outside!	Ghoulish			0.000000	36	Endurance	Human	001179ED	PerkCard_Caps_Common		001A763C:UIPerkMenuGhoulish:SNDR	3	1|0004D89E:Ghoulish01:Ghoulish| || 2|00065E22:Ghoulish02:Ghoulish| || 3|00065E23:Ghoulish03:Ghoulish|	3	1	0004D89E	Ghoulish01	Ghoulish				2	00065E22	Ghoulish02	Ghoulish				3	00065E23	Ghoulish03	Ghoulish																		0005B390:LevelUp_SelectionList:LVPC	004713BE:Challenge_Lifetime_Perks_RankUp_SUB_Endurance_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
0025A29B	NocturnalFortitudeCard	209	Darkness is power!	NocturnalFortitude			0.000000	29	Endurance	None	001179F3	PerkCard_Caps_Rare			2	1|00259C55:NocturnalFortitude01:Nocturnal Fortitude| || 2|00259DB6:NocturnalFortitude02:Nocturnal Fortitude|	3	1	00259C55	NocturnalFortitude01	Nocturnal Fortitude				2	00259DB6	NocturnalFortitude02	Nocturnal Fortitude																									0005B390:LevelUp_SelectionList:LVPC	004713BE:Challenge_Lifetime_Perks_RankUp_SUB_Endurance_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST								
0025A6B0	ChemFiendCard	209	Far out!	ChemFiend			0.000000	23	Endurance	None	0024F8D6	PerkCard_Caps_Uncommon			1	2|00259E62:ChemFiend01:Chem Fiend|	3	2	00259E62	ChemFiend01	Chem Fiend																																0005B390:LevelUp_SelectionList:LVPC	004713BE:Challenge_Lifetime_Perks_RankUp_SUB_Endurance_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST								
