FormID	EDID	FULL - Name	DESC - Description	Quest Type	LNAM - Location	Reward0	Reward1	Reward2	Reward3	Reward4	Reward5	Reward6	Reward7	Reward8	Reward9	GMRWRef0	GMRWRef1	GMRWRef2	GMRWRef3	GMRWRef4	GMRWRef5	GMRWRef6	GMRWRef7	GMRWRef8	GMRWRef9	PartyCrasherCount	PartyCrasher_NPC_0	PartyCrasher_NPC_1	PartyCrasher_NPC_2	PartyCrasher_NPC_3	PartyCrasher_NPC_4	PartyCrasher_NPC_5	PartyCrasher_NPC_6	PartyCrasher_NPC_7	PartyCrasher_NPC_8	PartyCrasher_NPC_9	PartyCrasher_GLOB_0	PartyCrasher_GLOB_1	PartyCrasher_GLOB_2	PartyCrasher_GLOB_3	PartyCrasher_GLOB_4	PartyCrasher_GLOB_5	PartyCrasher_GLOB_6	PartyCrasher_GLOB_7	PartyCrasher_GLOB_8	PartyCrasher_GLOB_9	PartyCrasher_MESG	InvadersTakeOver
0090F58A	SDOW_Holotape03_RadioBroadcasts			None																						0																						0
0090E2BA	SDOW_RE_Travel_Slasher_02	Slasher Patrol		None																						0																						0
00904CD4	SDOW_RE_Assault_Slasher_01	Pint-Sized Shadows Vs Appalachia		None																						0																						0
00900674	zzz_CUT_SDOW_KWInstanceCreated			None																						0																						0
008FF2EA	SDOW_RE_Travel_Slasher_01	Ghosts Patrol		None																						0																						0
008F53A5	zzzCambot_PhotographyQuest1	Cambot Photos		Secondary																						0																						0
008F1665	SDOW_SQ01_Graves_Repeatable	(Seasonal) Laid to Unrest	Find the odd treasures left by the Pint-Sized Phantoms.	Secondary												008F2AFB:SDOW_SQ01_QuestRewards	008F76A2:SDOW_MQ01_QuestRewards	008F76A3:SDOW_MQ05_QuestRewards	008F76A4:SDOW_MQ04_QuestRewards	008F76A5:SDOW_MQ02_QuestRewards						1	008FF253:SDOW_MQ02_LvlSlasherFanGraveKeeper										00903720:SDOW_BurialSitePartyCrasherSpawnChance											0
008F15EE	zzz_CUT_SDOW_MQ03_DailyOps	The Way of the Wicked	Complete Daily Ops to stop the Pint-Sized Phantoms' advance.	Primary																						0																						0
008F15C8	SDOW_MQ05_OnConnect			None																						0																						0
008F15C7	SDOW_MQ04_OnConnect			None																						0																						0
008F15C6	zzz_CUT_SDOW_MQ03_OnConnect			None																						0																						0
008F15C5	SDOW_MQ02_OnConnect			None																						0																						0
008F15C4	SDOW_MQ01_OnConnect			None																						0																						0
008F15C3	SDOW_MQ05_Headhunt	(Seasonal) Blood Will Have Blood	Defeat the impostor posing as the Reborn Pint-Sized Slasher.	Primary																						0																						0
008F15C2	SDOW_MQ04_Infestations	(Seasonal) Out of the Shadows	Investigate why the Pint-Sized Phantoms are taking over locations in Appalachia.	Primary																						0																						0
008F15C1	SDOW_MQ01_Bodies	(Seasonal) Masked Truth	Investigate the masked corpses left in the wake of a mysterious group's arrival.	Primary																						0																						0
008F15A1	SDOW_MQ02_Graves	(Seasonal) Secrets to the Grave	Investigate the graves disturbed by the Pint-Sized Phantoms.	Primary																						0																						0
008EFCA5	HTO_HostileTakeOver_Marker_Quest	Infestation Zone		Server																						0																						0
008EE220	SDOW_RE_Scene_FriendlySlasherFan	Casper the Friendly Phantom Encounter		None																						0																						0
008EDF34	SDOW_Holotape02			None																						0																						0
008EDF33	SDOW_Radio02	A Warning		None																						0																						0
008EDF32	SDOW_SQ_DebunkerRadio	The Debunker News		None																						0																						0
008EDF31	SDOW_DialogueGeneric_SlasherFans	[Generic Dialogue for the Pint-Sized Phantoms]		None																						0																						0
008EDF30	SDOW_CombatDialogue_SlasherImpostor	[Combat Dialogue for the "Reborn" Slasher]		None																						0																						0
008EDF2F	SDOW_Radio01	Breaking News		Miscellaneous																						0																						0
008EDF2E	SDOW_Holotape01			None																						0																						0
008D37D4	CreatureDialogueDeathclawPet	Combat Lines, Reaction Lines, Etc		None																						0																						0
008B43D2	ATX_COMP_Quest_Camp_Lite_Cambot			None																						0																						0
008B3D73	Burn_Dialogue_Cornhenge_MrFarmhand	[Dialogue for Cornbot]		None																						0																						0
008A45D9	QDLBarbara_Lesson06	Event: A Feast Fit for a King	Prepare a bloody banquet for the Fishing Festival's guest of honor!	Event																						0																						0
008A45D8	QDLBarbara_Lesson05	Panic at the Basement	Rescue Gene from the critters	Primary																						0																						0
008A45D7	QDLBarbara_Lesson05_BasementInstance			None																						0																						0
008A45D6	QDLBarbara_Lesson03	Her Sister's Keeper	Help the locked settler	Primary																						0																						0
008A45D5	QDLBarbara_Lesson03_RoxieDialogue			None																						0																						0
008A45D4	QDLBarbara_Lesson04	Nature versus Nurture	Become Marjorie's Test Subject	Primary																						0																						0
008A45D3	QDLBarbara_Lesson04_MarjorieDialogue			None																						0																						0
008952E1	QDLBarbara_Lesson02_IntercomDialogue			None																						0																						0
008952DF	QDLBarbara_Lesson02	I'm Not a Robot	Gain entrance to the New People's Party meeting	Primary																						0																						0
00876384	Burn_RE_Scene_MT01	Radhogs Scavenge Caravan		None																						0																						0
00876383	Burn_RE_Assault_MT02	Radhogs vs Scorpions		None																						0																						0
00876382	Burn_RE_Assault_MT01	Radhogs vs Deathclaw		None																						0																						0
00876381	Burn_RE_Travel_MT02	Radhogs vs RustRaiders		None																						0																						0
00876380	Burn_RE_Travel_MT01	Traveling Radhog Pack		None																						0																						0
00869A5B	ATX_Quest_LadyLiberty	[Dialgoue for Lady Liberty PA helmet]		None																						0																						0
00868BA1	CreatureDialogueBigfoot			None																						0																						0
00865FA8	HTO_HostileTakeOver_Master_Quest	Infestation	Clear the Mobs & Defeat the Infestation Boss	14												00888543:HTO_QuestReward_CapsScripAndXP_GMRW										0																						0
00864CC7	BURN_BountyGiver_Appalachia_OnConnect	[On Connect Quest for BG Appalachia Dialgoue]		None																						0																						0
00856AD2	BURN_Misc_Bounty_Pointer	[Misc Pointer Quest for Bounty Hunting]		Miscellaneous																						0																						0
008527FA	CreatureDialogueRoboPawDog	CreatureDialogueRoboPawDog		None																						0																						0
0084FEF9	CreatureDialogueRobotDog	CreatureDialogueCat		None																						0																						0
0084FEF8	CreatureDialogueRoboPawCat	CreatureDialogueRoboPawCat		None																						0																						0
0084BCA5	BURN_Dialogue_BountyGiver	[Bounty Giver Dialogue Quest]		None																						0																						0
0084BCA4	BURN_Billie_Dialogue	[Billie Dialogue Quest]		None																						0																						0
0084BCA3	BURN_BountyGiver_Appalachia_Dialogue	[Appalachia Dialogue For Bounty Giver]		None																						0																						0
0084B300	Fishing_PlayerConnect_FishingRodCheck	Player Connect for Fishing Rod Check		None																						0																						0
00848FEF	Burn_SQ04_Cache3_Misc	Dino Peaks Cache		Miscellaneous																						0																						0
00848FEE	Burn_SQ04_Cache1_Misc	Albany Cache		Miscellaneous																						0																						0
00848FED	Burn_SQ04_Cache2_Misc	Fort Steuben Cache		Miscellaneous																						0																						0
00848F0E	Burn_MQ03_PlayerLockpickSuccess			None																						0																						0
00848F0D	Burn_MQ03_PlayerHackSuccess			None																						0																						0
00848625	ZZZ_Burn_Drive-in_Holotape	ZZZ_Burn_Drive-in_Holotape		None																						0																						0
00847E98	BURN_HWT_UniqueSettlerDialogue			None																						0																						0
008459FF	BURN_HWTVendors_Dialogue	[Dialogue quest for Vendors within Highway Town]		None																						0																						0
008457B3	Burn_RE_Object_GR_04	Ash Cavers Scavenging Robot		None																						0																						0
008447C4	zzzBurn_RE_Object_GR_02	Ash Cavers and Robot Corpses		None																						0																						0
0084433D	DebugBadenGQuest			None																						0																						0
008438FA	Burn_RE_Travel_KK01	Deathclaw Hunter Runs		None																						0																						0
00842E9B	BURN_SQ02_Dialogue_LoanShark	[Off-quest dialogue for the Loan Shark]		None																						0																						0
0083FE7B	Burn_HolotapeQuest	Burn_HolotapeQuest		None																						0																						0
0083D29B	Burn_RE_Scene_GO01	Cowardly Raiders	: A sign nearby a group of ex-raiders captured for running away.	None																						0																						0
0083AE91	Burn_ExecHideout_Dialogue	[Exec NPC's Off-quest dialogue]]		None																						0																						0
00838DB1	BURN_SQ02_OutroP2	When the Rust Settles	I helped Eugene's revolution, time to end this.	Primary																						0																						0
00838038	Burn_MQ03_RustKingMid	Might Makes Right	Prove your might to the Rust King	Primary												008554C7:QuestReward_Burn_MQ03_RustKingMid_Stage9000										0																						0
0083654E	ZZZBurn_RE_Travel_RK01	Insane Clown Parade		None																						0																						0
00834CFD	Burn_RE_Object_GR_01	Radscorpions and Trader Corpse		None																						0																						0
00833F97	ZZZBurn_RE_Scene_CowardlyRaiders	Cowardly Raiders	A sign nearby a group of ex-raiders buried up to their necks in the sand, waiting to be killed or have been killed.	None																						0																						0
0082B8A4	Burn_SQ04_DirtyLaundry_Holotapes	Burn_SQ04_DirtyLaundry_Holotapes	[Dirty Laundry Holotapes]	None																						0																						0
008279EE	CreatureDialogueRadHog	Combat Lines, Reaction Lines, Etc		None																						0																						0
008261A4	Burn_RE_Scene_RK01	Old Campfire		None																						0																						0
00824FA0	zzzBurn_RE_Object_OldCampfire	Old Campfire		None																						0																						0
0082446B	zzzBurn_BountyHunt_Public_Test	Event: For Testing Specific HeadHunts	This is the public head hunt testing event	Public Event		IconCR_Recipe | Unique Crafting Recipes	IconCR_LegendaryToken | Legendary Items	IconCR_GoldBullion | Treasury Notes	IconCR_Components | Legendary Modules																	0																						0
00823683	zzzBurn_RE_SceneTemplate_Copy01	TEMPLATE - duplicate to use		None																						0																						0
00823682	Burn_RE_Scene_KK02	Armoured Deathclaw rampage		None																						0																						0
