QuestFormID	QuestEDID	QuestName	AliasIndex	AliasID	AliasName	AliasLabel	AliasKind	AliasFlags	FillLinks	Conditions	Scripts
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	0	1	Region	Alias	Loc	Stores Text			
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	1	16	AlphaSpawnMarker	Alias	Ref	Flags	ALFF=0001F40F:LocationCenterMarker:LCRT	10000000|0.000000|HasLoaded3D|00 00 00|00 00|00 00 00 00|00 00 00 00|0|-1|Subject| ; 10000000|1.000000|GetInCurrentLocationAlias|00 00 00|00 00|001 Region|00 00 00 00|0|-1|Subject|	
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	2	32	EventStartMarkerFullEvent	Alias	Ref	Optional	ALFF=00038C13:LocationEdgeMarker:LCRT	01001000|8000.000000|GetDistance|00 00 00|00 00|016 AlphaSpawnMarker|00 00 00 00|0|-1|Subject| ; 10000000|1.000000|GetInCurrentLocationAlias|00 00 00|00 00|001 Region|00 00 00 00|0|-1|Subject|	
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	3	33	EventStartMarkerSkipDungeon	Alias	Ref	Optional	ALFF=00038C13:LocationEdgeMarker:LCRT	10000000|1.000000|GetInCurrentLocationAlias|00 00 00|00 00|001 Region|00 00 00 00|0|-1|Subject| ; 01001000|2000.000000|GetDistance|00 00 00|00 00|016 AlphaSpawnMarker|00 00 00 00|0|-1|Subject| ; 00101000|8000.000000|GetDistance|00 00 00|00 00|016 AlphaSpawnMarker|00 00 00 00|0|-1|Subject|	
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	4	31	EventStartMarker	Alias	Ref	Forced by Aliases		01001000|10000.000000|GetDistance|00 00 00|00 00|016 AlphaSpawnMarker|00 00 00 00|0|-1|Subject| ; 10000000|1.000000|GetIsID|00 00 00|00 00|MapMarker [STAT:00000010]|00 00 00 00|0|-1|Subject| ; 10000000|1.000000|GetInCurrentLocationAlias|00 00 00|00 00|001 Region|00 00 00 00|0|-1|Subject|	
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	6	17	Alpha	Alias	RefCol	Optional ; Stores Text ; Uses Stored Text	Keyword=0005008F:ActorTypeHordeAlpha:KYWD ; ALPC=003807EA:GQ_HordeAlphaParade:PACK ; ALPC=0004A9D1:GQ_HordeAlphaSandboxAroundDungeonBoss:PACK		
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	8	2	Entourage	Alias	RefCol	Optional	ECOR=0017E6B0:RELinkSandboxHoldPositionList:FLST ; Keyword=0003085E:RELinkSandbox:KYWD ; ALPC=002B8C02:GQ_HordeEntourageFollowAlpha:PACK ; ALPC=003822D1:GQ_HordeEntourageSandboxAroundAlpha:PACK		
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	10	34	Horde	Alias	RefCol	Optional	ECOR=0017E6B0:RELinkSandboxHoldPositionList:FLST ; Keyword=0003085E:RELinkSandbox:KYWD ; ALPC=002B8C02:GQ_HordeEntourageFollowAlpha:PACK ; ALPC=003822D1:GQ_HordeEntourageSandboxAroundAlpha:PACK		
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	11	4	DUNGEON	Alias	Loc	Optional ; Unknown 25			
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	12	15	DungeonMapMarker	Alias	Ref	Optional	ALRT=0002271F:MapMarkerRefType:LCRT		
