Section	Path	Index	Name	Value	ChildCount	Signature
--- QUEST	0000123F		GQ_Horde			QUST
VMAD	VMAD	0	Version	6	0	
VMAD	VMAD	1	Object Format	2	0	
VMAD	VMAD	2	Scripts		5	
VMAD	VMAD/Scripts	0	Script		3	
VMAD	VMAD/Scripts	1	Script		3	
VMAD	VMAD/Scripts	2	Script		3	
VMAD	VMAD/Scripts	3	Script		3	
VMAD	VMAD/Scripts	4	Script		3	
VMAD	VMAD	3	Script Fragments		5	
VMAD	VMAD/Script Fragments	0	Extra bind data version	4	0	
VMAD	VMAD/Script Fragments	1	FragmentCount	5	0	
VMAD	VMAD/Script Fragments	2	ScriptName	fragments:quests:qf_gq01_horde_0000123f	0	
VMAD	VMAD/Script Fragments	3	Script		1	
VMAD	VMAD/Script Fragments	4	Fragments		5	
VMAD	VMAD	4	Aliases		0	
FRAGMENTS	Script Fragments	0	Extra bind data version	4	0	
FRAGMENTS	Script Fragments	1	FragmentCount	5	0	
FRAGMENTS	Script Fragments	2	ScriptName	fragments:quests:qf_gq01_horde_0000123f	0	
FRAGMENTS	Script Fragments	3	Script		1	
FRAGMENTS	Script Fragments/Script	0	Script Data		2	
FRAGMENTS	Script Fragments/Script/Script Data	0	Flags	Local	0	
FRAGMENTS	Script Fragments/Script/Script Data	1	Properties		0	
FRAGMENTS	Script Fragments	4	Fragments		5	
FRAGMENTS	Script Fragments/Fragments	0	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	fragments:quests:qf_gq01_horde_0000123f	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_0001_Item_00	0	
FRAGMENTS	Script Fragments/Fragments	1	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	100	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	fragments:quests:qf_gq01_horde_0000123f	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_0100_Item_00	0	
FRAGMENTS	Script Fragments/Fragments	2	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	100	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	fragments:quests:qf_gq01_horde_0000123f	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_0100_Item_01	0	
FRAGMENTS	Script Fragments/Fragments	3	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	200	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	fragments:quests:qf_gq01_horde_0000123f	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_0200_Item_00	0	
FRAGMENTS	Script Fragments/Fragments	4	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	1000	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	fragments:quests:qf_gq01_horde_0000123f	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_1000_Item_00	0	
STAGE	Stages[0]	0	INDX - Stage Index		3	INDX
STAGE	Stages[0]/INDX - Stage Index	0	Stage Index	1	0	
STAGE	Stages[0]/INDX - Stage Index	1	Flags	0101	2	
STAGE	Stages[0]/INDX - Stage Index/Flags	0	Run On Start	1	0	
STAGE	Stages[0]/INDX - Stage Index/Flags	1	Keep Instance Data From Here On	1	0	
STAGE	Stages[0]/INDX - Stage Index	2	Unused	00	0	
STAGE	Stages[0]	1	Log Entries		1	
STAGE	Stages[0]/Log Entries	0	Log Entry		1	QSDT
STAGE	Stages[0]/Log Entries/Log Entry	0	QSDT - Stage Flags	0000000000000000000000000000000000000000000000000000000000000000	0	QSDT
STAGE	Stages[1]	0	INDX - Stage Index		3	INDX
STAGE	Stages[1]/INDX - Stage Index	0	Stage Index	10	0	
STAGE	Stages[1]/INDX - Stage Index	1	Flags	0000000000000000000000000000000000000000000000000000000000000000	0	
STAGE	Stages[1]/INDX - Stage Index	2	Unused	74	0	
STAGE	Stages[1]	1	Log Entries		1	
STAGE	Stages[1]/Log Entries	0	Log Entry		3	QSDT
STAGE	Stages[1]/Log Entries/Log Entry	0	QSDT - Stage Flags	0000000000000000000000000000000000000000000000000000000000000000	0	QSDT
STAGE	Stages[1]/Log Entries/Log Entry	1	NAM2 - Note	Horde initialized	0	NAM2
STAGE	Stages[1]/Log Entries/Log Entry	2	CNAM - Log Entry	Destroy the source of the <Alias.Race=Alpha> horde before <Alias=Region> is completely infested.	0	CNAM
OBJECTIVE	Objectives[0]	0	QOBJ - Objective Index	100	0	QOBJ
OBJECTIVE	Objectives[0]	1	FNAM - Flags	0000000000000000000000000000000000000000000000000000000000000000	0	FNAM
OBJECTIVE	Objectives[0]	2	NNAM - Display Text	Find the source of the <Alias.Race=Alpha> horde (<Variable=CurrentDecoys>/4 searched)	0	NNAM
OBJECTIVE	Objectives[0]	3	Targets		5	
OBJECTIVE	Objectives[0]/Targets	0	Target		2	QSTA
OBJECTIVE	Objectives[0]/Targets/Target	0	QSTA - Target		4	QSTA
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	0	Alias	011 DecoyMapMarker1	0	
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	1	Target Flags	0000000000000000000000000000000000000000000000000000000000000000	0	
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	2	Keyword	NULL - Null Reference [00000000]	0	
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	3	Radius	0.000000	0	
OBJECTIVE	Objectives[0]/Targets/Target	1	Conditions		2	
OBJECTIVE	Objectives[0]/Targets/Target/Conditions	0	Condition		1	CTDA
OBJECTIVE	Objectives[0]/Targets/Target/Conditions	1	Condition		1	CTDA
OBJECTIVE	Objectives[0]/Targets	1	Target		2	QSTA
OBJECTIVE	Objectives[0]/Targets/Target	0	QSTA - Target		4	QSTA
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	0	Alias	012 DecoyMapMarker2	0	
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	1	Target Flags	0000000000000000000000000000000000000000000000000000000000000000	0	
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	2	Keyword	NULL - Null Reference [00000000]	0	
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	3	Radius	0.000000	0	
OBJECTIVE	Objectives[0]/Targets/Target	1	Conditions		2	
OBJECTIVE	Objectives[0]/Targets/Target/Conditions	0	Condition		1	CTDA
OBJECTIVE	Objectives[0]/Targets/Target/Conditions	1	Condition		1	CTDA
OBJECTIVE	Objectives[0]/Targets	2	Target		2	QSTA
OBJECTIVE	Objectives[0]/Targets/Target	0	QSTA - Target		4	QSTA
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	0	Alias	013 DecoyMapMarker3	0	
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	1	Target Flags	0000000000000000000000000000000000000000000000000000000000000000	0	
