QuestFormID	QuestEDID	QuestName	StageIndex	StageFlags	LogEntryIndex	LogFlags	LogText	NextQuest	Fragments	Conditions	Links
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	1	Run On Start ; Keep Instance Data From Here On	0				Fragment_Stage_0001_Item_00		
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	10		0		Destroy the source of the <Alias.Race=Alpha> horde before <Alias=Region> is completely infested.				
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	100		0				Fragment_Stage_0100_Item_00 ; Fragment_Stage_0100_Item_01		
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	100		1				Fragment_Stage_0100_Item_00 ; Fragment_Stage_0100_Item_01	10000000|0.000000|GetVMQuestVariable|00 00 00|00 00|GQ_Horde "Activity: <Alias.Race=Alpha> Horde: <Alias=Region>" [QUST:0000123F]|::SkippedDungeon_var|0|-1|Subject|	
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	110		0						QRWD=00631245:QuestReward_GQ_Horde_Stage110_01:GMRW
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	120		0						QRWD=00631246:QuestReward_GQ_Horde_Stage120_01:GMRW
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	130		0						QRWD=00631247:QuestReward_GQ_Horde_Stage130_01:GMRW
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	140		0						QRWD=00631248:QuestReward_GQ_Horde_Stage140_01:GMRW
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	200		0				Fragment_Stage_0200_Item_00		QRWD=00631249:QuestReward_GQ_Horde_Stage200_01:GMRW
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	200		1		You've located the source of the <Alias.Race=Alpha> horde. Now wipe it out before it spreads any further.		Fragment_Stage_0200_Item_00	10000000|0.000000|GetVMQuestVariable|00 00 00|00 00|GQ_Horde "Activity: <Alias.Race=Alpha> Horde: <Alias=Region>" [QUST:0000123F]|::SkippedDungeon_var|0|-1|Subject|	
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	1000		0	Complete Quest			Fragment_Stage_1000_Item_00		QRWD=00631244:QuestReward_GQ_Horde_Stage1000_01:GMRW
0000418B	TW006	Activity: Protest March	100	Run On Start ; Start Timer	0		Grafton's mayor says there are riots in the streets of Grafton. I need to go there and put them down.		Fragment_Stage_0100_Item_00		
0000418B	TW006	Activity: Protest March	200		0				Fragment_Stage_0200_Item_00		
0000418B	TW006	Activity: Protest March	300		0				Fragment_Stage_0300_Item_00		
0000418B	TW006	Activity: Protest March	400		0				Fragment_Stage_0400_Item_00		
0000418B	TW006	Activity: Protest March	999	Timer End	0	Fail Quest			Fragment_Stage_0999_Item_00		
0000418B	TW006	Activity: Protest March	1000		0	Complete Quest	I've dealt with the "protesters" in Grafton.		Fragment_Stage_1000_Item_00		QRWD=0063131F:QuestReward_TW006_Stage1000_01:GMRW
000043A2	MTNS05_Voices	Daily: Someone To Talk To	25	Run On Start ; Checkpoint	0		There's something peculiar about this house. I have a feeling that if I do some digging and find a terminal, I might be able to find something interesting.		Fragment_Stage_0025_Item_00		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	50	Checkpoint	0		The Vox data from last time should be finished processing. I should return and run the Vox interpreter data collection exercise again.		Fragment_Stage_0050_Item_00 ; Fragment_Stage_0050_Item_01	11000000|1.000000|GetNumTimesCompletedQuest|00 00 00|00 00|MTNS05_Voices "Daily: Someone To Talk To" [QUST:000043A2]|00 00 00 00|0|006 currentPlayer|Quest Alias|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	50	Checkpoint	1		A scientist named Dr. Harrison seems to have developed a method for interpreting animal noises into human speech. He left instructions I can follow in order to test out his work, and help to improve upon it by gathering more data.		Fragment_Stage_0050_Item_00 ; Fragment_Stage_0050_Item_01	00100000|1.000000|GetNumTimesCompletedQuest|00 00 00|00 00|MTNS05_Voices "Daily: Someone To Talk To" [QUST:000043A2]|00 00 00 00|0|006 currentPlayer|Quest Alias|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	100	Checkpoint	0		Dr. Eddie Harrison was working on a device that would let him interpret animal sounds into a common language so he could "talk" with them. I should load the Vox Interpreter holotape and grab the Vox Syringer to get started.		Fragment_Stage_0100_Item_00		
