SPEL_FormID	SPEL_EDID	EffectIndex	CondIndex	Type_Raw	Operator	AndOr	RunOn	Function	Param1	Param2	Param3	CompareValue	Reference	Condition
00023F1B	WaterRadiationHazard	0	0	10000000	=	AND	Subject	WornApparelHasKeywordCount	WaterRadiationImmune [KYWD:005EEAE5]	00 00 00 00		0.000000	0	Subject.WornApparelHasKeywordCount(WaterRadiationImmune [KYWD:005EEAE5], 00 00 00 00) = 0.000000 AND
00023F1B	WaterRadiationHazard	0	1	10000000	=	AND	Subject	GetInFaction	CurrentCompanionFaction [FACT:00023C01]	00 00 00 00		0.000000	0	Subject.GetInFaction(CurrentCompanionFaction [FACT:00023C01], 00 00 00 00) = 0.000000 AND
00023F1B	WaterRadiationHazard	0	2	10000000	=	AND	Subject	HasPerk	Aquaboy01 "Aquaboy" [PERK:000E36F9]	00 00 00 00		0.000000	0	Subject.HasPerk(Aquaboy01 "Aquaboy" [PERK:000E36F9], 00 00 00 00) = 0.000000 AND
00023F1B	WaterRadiationHazard	0	3	10000000	=	AND	Subject	HasPerk	Aquagirl01 "Aquagirl" [PERK:000E9453]	00 00 00 00		0.000000	0	Subject.HasPerk(Aquagirl01 "Aquagirl" [PERK:000E9453], 00 00 00 00) = 0.000000 AND
0004B260	AbPerkRockSteady	0	0	10000000	=	AND	Subject	IsMoving	00 00 00 00	00 00 00 00		0.000000	0	Subject.IsMoving(00 00 00 00, 00 00 00 00) = 0.000000 AND
0004C93A	AbPerkNightPerson	0	0	10000000	=	AND	Subject	IsTrueForConditionForm	Perk_Night_Condition [CNDF:0090ABDD]	00 00 00 00		1.000000	0	Subject.IsTrueForConditionForm(Perk_Night_Condition [CNDF:0090ABDD], 00 00 00 00) = 1.000000 AND
0004C93A	AbPerkNightPerson	1	0	10000000	=	AND	Subject	IsTrueForConditionForm	Perk_Night_Condition [CNDF:0090ABDD]	00 00 00 00		1.000000	0	Subject.IsTrueForConditionForm(Perk_Night_Condition [CNDF:0090ABDD], 00 00 00 00) = 1.000000 AND
0004D871	AbPerkActionBoyGirl	0	0	10000000	=	AND	Subject	HasPerk	ActionBoy02 "Action Boy" [PERK:00065DF5]	00 00 00 00		0.000000	0	Subject.HasPerk(ActionBoy02 "Action Boy" [PERK:00065DF5], 00 00 00 00) = 0.000000 AND
0004D871	AbPerkActionBoyGirl	0	1	10000000	=	AND	Subject	HasPerk	ActionGirl02 "Action Girl" [PERK:00065DF6]	00 00 00 00		0.000000	0	Subject.HasPerk(ActionGirl02 "Action Girl" [PERK:00065DF6], 00 00 00 00) = 0.000000 AND
0004D871	AbPerkActionBoyGirl	0	2	10000000	=	AND	Subject	HasPerk	ActionBoy03 "Action Boy" [PERK:0017ED8A]	00 00 00 00		0.000000	0	Subject.HasPerk(ActionBoy03 "Action Boy" [PERK:0017ED8A], 00 00 00 00) = 0.000000 AND
0004D871	AbPerkActionBoyGirl	0	3	10000000	=	AND	Subject	HasPerk	ActionGirl03 "Action Girl" [PERK:0017ED8B]	00 00 00 00		0.000000	0	Subject.HasPerk(ActionGirl03 "Action Girl" [PERK:0017ED8B], 00 00 00 00) = 0.000000 AND
0004D871	AbPerkActionBoyGirl	1	0	10010000	=	OR	Subject	HasPerk	ActionBoy02 "Action Boy" [PERK:00065DF5]	00 00 00 00		1.000000	0	Subject.HasPerk(ActionBoy02 "Action Boy" [PERK:00065DF5], 00 00 00 00) = 1.000000 OR
0004D871	AbPerkActionBoyGirl	1	1	10000000	=	AND	Subject	HasPerk	ActionGirl02 "Action Girl" [PERK:00065DF6]	00 00 00 00		1.000000	0	Subject.HasPerk(ActionGirl02 "Action Girl" [PERK:00065DF6], 00 00 00 00) = 1.000000 AND
0004D871	AbPerkActionBoyGirl	1	2	10000000	=	AND	Subject	HasPerk	ActionBoy03 "Action Boy" [PERK:0017ED8A]	00 00 00 00		0.000000	0	Subject.HasPerk(ActionBoy03 "Action Boy" [PERK:0017ED8A], 00 00 00 00) = 0.000000 AND
0004D871	AbPerkActionBoyGirl	1	3	10000000	=	AND	Subject	HasPerk	ActionGirl03 "Action Girl" [PERK:0017ED8B]	00 00 00 00		0.000000	0	Subject.HasPerk(ActionGirl03 "Action Girl" [PERK:0017ED8B], 00 00 00 00) = 0.000000 AND
0004D871	AbPerkActionBoyGirl	2	0	10010000	=	OR	Subject	HasPerk	ActionBoy03 "Action Boy" [PERK:0017ED8A]	00 00 00 00		1.000000	0	Subject.HasPerk(ActionBoy03 "Action Boy" [PERK:0017ED8A], 00 00 00 00) = 1.000000 OR
0004D871	AbPerkActionBoyGirl	2	1	10010000	=	OR	Subject	HasPerk	ActionGirl03 "Action Girl" [PERK:0017ED8B]	00 00 00 00		1.000000	0	Subject.HasPerk(ActionGirl03 "Action Girl" [PERK:0017ED8B], 00 00 00 00) = 1.000000 OR
0004D8A9	AbPerkSolarPowered	0	0	10000000	=	AND	Subject	IsTrueForConditionForm	Perk_Day_Condition [CNDF:0090ABDC]	00 00 00 00		1.000000	0	Subject.IsTrueForConditionForm(Perk_Day_Condition [CNDF:0090ABDC], 00 00 00 00) = 1.000000 AND
0004D8A9	AbPerkSolarPowered	1	0	10000000	=	AND	Subject	IsTrueForConditionForm	Perk_Day_Condition [CNDF:0090ABDC]	00 00 00 00		1.000000	0	Subject.IsTrueForConditionForm(Perk_Day_Condition [CNDF:0090ABDC], 00 00 00 00) = 1.000000 AND
0004DDEF	AbPerkMovingTarget1	0	0	00000000	!=	AND	Subject	HasPerk	MovingTarget02 "Moving Target" [PERK:001D2492]	00 00 00 00		1.000000	0	Subject.HasPerk(MovingTarget02 "Moving Target" [PERK:001D2492], 00 00 00 00) != 1.000000 AND
0004DDEF	AbPerkMovingTarget1	0	1	10000000	=	AND	Subject	IsSprinting	00 00 00 00	00 00 00 00		1.000000	0	Subject.IsSprinting(00 00 00 00, 00 00 00 00) = 1.000000 AND
0004DDEF	AbPerkMovingTarget1	0	2	10000000	=	AND	Subject	WornHasKeyword	ArmorTypePower [KYWD:0004D8A1]	00 00 00 00		0.000000	0	Subject.WornHasKeyword(ArmorTypePower [KYWD:0004D8A1], 00 00 00 00) = 0.000000 AND
