SPEL_FormID	SPEL_EDID	SPEL_FULL	SPEL_DESC	SPIT_Type	SPIT_CastType	SPIT_Delivery	SpellConditions
000390C0	PowerArmorPerkSpell			Spell	Constant Effect	Self	
0003495F	AbRaceMolerat			Ability	Constant Effect	Self	
0002866A	AbRaceBloodbug			Ability	Constant Effect	Self	
00023F1B	WaterRadiationHazard	Water Radiation		Disease	Constant Effect	Self	
00024FBF	WaterRadiationDrinkingDirty	Water		Spell	Fire and Forget	Self	
00021E7F	AbRaceDeathclaw			Ability	Constant Effect	Self	
0004A0D3	AbPerkLifeGiver	Life Giver		Ability	Constant Effect	Self	
0004B252	AbPerkStrongBack	Strong Back		Ability	Constant Effect	Self	
0004B260	AbPerkRockSteady	Rock Steady		Ability	Constant Effect	Self	
0004B269	AbPerkWellGroomed	Well Groomed		Ability	Constant Effect	Self	
0004C93A	AbPerkNightPerson	Night Person		Ability	Constant Effect	Self	
0004D86C	AbPerkCyborg	Cyborg		Ability	Constant Effect	Self	
0004D871	AbPerkActionBoyGirl	Action Boy/Girl		Ability	Constant Effect	Self	
0004D884	AbPerkNerdRage	Nerd Rage		Ability	Constant Effect	Self	
0004D8A9	AbPerkSolarPowered	Solar Powered		Ability	Constant Effect	Self	
0004DDEF	AbPerkMovingTarget1	Moving Target		Ability	Constant Effect	Self	
0005240D	PerkParalyze	Paralyze		Spell	Fire and Forget	Contact	
00052411	AbPerkUnstoppable	Unstoppable		Ability	Constant Effect	Self	
00020755	PerkPacify	Perk Pacify		Spell	Constant Effect	Self	
00029478	AbRaceBloatfly			Ability	Constant Effect	Self	
00036663	crBloatflyFrenzySpell	Bloatfly Frenzy		Ability	Constant Effect	Self	
0003E061	AbAddictionAlcohol	Alcohol Addiction		Addiction	Constant Effect	Self	
0004BAE0	AbAddictionBuffout	Buffout Addiction		Addiction	Constant Effect	Self	
0004BAE2	AbAddictionMentats	Mentats Addiction		Addiction	Constant Effect	Self	
0004BAE3	AbAddictionPsycho	Psycho Addiction		Addiction	Constant Effect	Self	
0004BAE4	AbAddictionMedX	Med-X Addiction		Addiction	Constant Effect	Self	
0004C47C	AbRaceMirelurk	Mirelurk abilities		Ability	Constant Effect	Self	
0004C47E	AbPerkLeadBelly	Lead Belly		Ability	Constant Effect	Self	
0004D6B9	AbPerkRadResistance	Rad Resistance		Ability	Constant Effect	Self	
0005B2E0	PerkCannibalHeal	Cannibal Heal		Spell	Fire and Forget	Self	
0005C528	SURV_WellRested	Rested		Spell	Fire and Forget	Self	
0005C52F	HealLimbs	Heal Limbs		Spell	Fire and Forget	Self	
0005DD98	AbPerkAbsorbRadiation	Absorb Radiation		Ability	Fire and Forget	Self	
0005E1C9	abDeathClawClawsSpell			Ability	Fire and Forget	Contact	
000636DD	AbRaceRadScorpion	Mirelurk abilities		Ability	Constant Effect	Self	
0006AB35	AbPerkVANS	Vault Assisted Navigation System		Ability	Constant Effect	Self	
0006D2E2	PoisonStingwingBite	Stingwing Poison		Spell	Fire and Forget	Contact	
000731B2	CritLaser			Spell	Fire and Forget	Self	
0008381F	HazardRadiationCarExplosion	Radiation		Spell	Concentration	Contact	
0009252C	RadiationHazardLight	Light Radiation		Spell	Concentration	Contact	
0009253D	RadiationHazardStrong	Strong Radiation		Spell	Concentration	Contact	
0009253E	RadiationHazardDeadly	Deadly Radiation		Spell	Concentration	Contact	
0003CC96	SpellVANS	VANS		Spell	Fire and Forget	Self	
00064C64	AbRaceMirkelurkHunter	Mirelurk abilities		Ability	Constant Effect	Self	
000986CB	abGunButtKnockbackSpell			Ability	Fire and Forget	Contact	
000A564A	crGlowingOneBurst	Radiation Explosion		Spell	Fire and Forget	Self	
000A7D74	CigaretteLightSpell			Spell	Constant Effect	Self	
000ADF5C	GenericBrawlConfidenceBoost	Brawl confidence		Ability	Constant Effect	Self	
000B1ECD	WaterFountainDrinkingDirty	Water		Spell	Fire and Forget	Self	
000B268E	AbRaceRobots	Robot abilities		Ability	Constant Effect	Self	
000BA450	mod_Lining_FieldGen_Radiation_Spell_1	FieldGen Radiation Spell		Spell	Concentration	Contact	
000BA457	mod_Lining_FieldGen_Radiation_Spell_2	FieldGen Radiation Spell		Spell	Concentration	Contact	
000BA458	mod_Lining_FieldGen_Radiation_Spell_3	FieldGen Radiation Spell		Spell	Concentration	Contact	
000BA459	mod_Lining_FieldGen_Radiation_Spell_4	FieldGen Radiation Spell		Spell	Concentration	Contact	
000BA461	mod_Lining_FieldGen_EMP_Spell_2	FieldGen EMP Spell 2		Spell	Concentration	Contact	
000BA462	mod_Lining_FieldGen_EMP_Spell_1	FieldGen EMP Spell		Spell	Concentration	Contact	
000BA463	mod_Lining_FieldGen_EMP_Spell_3	FieldGen EMP Spell 3		Spell	Concentration	Contact	
000BA464	mod_Lining_FieldGen_EMP_Spell_4	FieldGen EMP Spell 4		Spell	Concentration	Contact	
000CA9A0	AbPerkRefractor	Refractor		Ability	Constant Effect	Self	
000DF451	RadiationHazardToken	Radiation		Spell	Concentration	Contact	
000E36FB	AbPerkAquaboy	Aquaboy		Ability	Constant Effect	Self	
000ED6DD	AbGenericBrawlPreventLimbDamage			Ability	Constant Effect	Self	
000F248B	TrapOilFireHazard	Strong Fire Hazard		Spell	Concentration	Contact	
000F3C1D	LoversEmbracePerkSpell	Lover's Embrace		Spell	Fire and Forget	Self	
000DB3AD	crGlowingOneCloak	Radiation Cloak		Ability	Constant Effect	Self	
00102797	AbRaceMirelurkQueen	Mirelurk abilities		Ability	Constant Effect	Self	
00106FBB	crYaoGuaiRoarFearSpell	Yao Guai Roar Fear Spell		Spell	Fire and Forget	Self	
00115A93	PoisonRadstagHorn	Radstag Infection		Spell	Fire and Forget	Contact	
00115EA3	RadstagCorruption	Radstag Corruption		Spell	Fire and Forget	Contact	
00115EA4	crGlowingRadstagCloak	Radiation Cloak		Ability	Constant Effect	Self	
00115EB0	PoisonRadscorpion	Radscorpion Poison		Spell	Fire and Forget	Contact	
00116007	AbRaceTurretTripod			Ability	Constant Effect	Self	
0011669C	crGlowingRadscorpionCloak	Radiation Cloak		Ability	Constant Effect	Self	
001166A4	crGlow02Burst	Radiation Explosion		Spell	Fire and Forget	Self	
0011680D	terminalhackerTurretSabotageSpell	Overclocking_Subroutine		Spell	Constant Effect	Self	
00122E6B	AbRaceEyebot			Ability	Constant Effect	Self	
0012772C	jetpackSpell	Jet Paaaaaaaaaaaaaaaaaaaaack!		Ability	Constant Effect	Self	
00135F0B	AbPerkMagWSGCarry	Backpacking		Ability	Constant Effect	Self	
00139F8C	CritPlasma			Spell	Fire and Forget	Self	
00140F27	TrapElectricArcSpell			Spell	Fire and Forget	Aimed	
001423A3	crGlowingMirelurkCloak	Radiation Cloak		Ability	Constant Effect	Self	
001423A4	crGlowingMirelurkHunterCloak	Radiation Cloak		Ability	Constant Effect	Self	
001423A5	crGlowingMirelurkKingCloak	Radiation Cloak		Ability	Constant Effect	Self	
001423A6	crGlowingCarrionGhoulCloak	Radiation Cloak		Ability	Constant Effect	Self	
001423B9	crGlowingBloodbugCloak	Radiation Cloak		Ability	Constant Effect	Self	
001423BA	PoisonBloodbug	Bloodbug Infection		Spell	Fire and Forget	Contact	
001423C0	crGlowingStingwingCloak	Radiation Cloak		Ability	Constant Effect	Self	
00144AB2	crBehemothSlam	Behemoth Slam		Spell	Fire and Forget	Contact	
001478EC	CritFire			Spell	Fire and Forget	Self	
001478ED	CritCryo			Spell	Fire and Forget	Self	
0014AE57	PoisonMirelurkHunter	Hunter Poison		Spell	Fire and Forget	Contact	
0014D17A	crBehemothStomp	Behemoth Stomp		Spell	Fire and Forget	Contact	
001504F3	BloodbugHeal	Drink Blood		Spell	Fire and Forget	Self	
0015A197	AbRaceSuperMutant	Super Mutant abilities		Ability	Constant Effect	Self	
001680CA	AbRaceAssaultron			Ability	Constant Effect	Self	
00169635	MirelurkSpawnQueenSpell			Spell	Fire and Forget	Aimed	
0016968F	AbPerkMagAP			Ability	Constant Effect	Self	
00169694	AbPerkMagPoisonResist			Ability	Constant Effect	Self	
00169697	AbPerkMagRadResist			Ability	Constant Effect	Self	
00171782	PerkPainTrainHitSpell	Applied to target by cloak effect		Spell	Concentration	Contact	
00171784	abPerkPainTrain	Pain Train		Ability	Constant Effect	Self	
0017FCEA	crGlowingBloatflyCloak	Radiation Cloak		Ability	Constant Effect	Self	
0017FCEB	crBloatflyRadHazard	Radiation		Spell	Concentration	Contact	
0017FCF7	crMirelurkRadHazard	Radiation		Spell	Concentration	Contact	
0017FCF8	crMirelurkHunterRadHazard	Radiation		Spell	Concentration	Contact	
0017FCF9	crMirelurkKingRadHazard	Radiation		Spell	Concentration	Contact	
0017FCFA	crMirelurkQueenRadHazard	Radiation		Spell	Concentration	Contact	
0017FCFB	crBloodbugRadHazard	Radiation		Spell	Concentration	Contact	
0017FCFC	crStingwingRadHazard	Radiation		Spell	Concentration	Contact	
0017FCFD	crDogRadHazard	Radiation		Spell	Concentration	Contact	
0017FCFE	crRadstagRadHazard	Radiation		Spell	Concentration	Contact	
0017FCFF	crYaoGuaiRadHazard	Radiation		Spell	Concentration	Contact	
0017FD00	crMoleratRadHazard	Radiation		Spell	Concentration	Contact	
0017FD01	crGlowingYaoGuaiCloak	Radiation Cloak		Ability	Constant Effect	Self	
0017FD03	crRadscorpionRadHazard	Radiation		Spell	Concentration	Contact	
0017FD04	crGlowingDogCloak	Radiation Cloak		Ability	Constant Effect	Self	
0017FD05	PoisonViciousDog	Canine Infection		Spell	Fire and Forget	Contact	
001832F9	crGlowingMoleratCloak	Radiation Cloak		Ability	Constant Effect	Self	
001832FA	zzzPoisonMolerat	Molerat Infection		Spell	Fire and Forget	Contact	
00183300	crGlowingDeathclawCloak	Radiation Cloak		Ability	Constant Effect	Self	
00183302	crDeathclawRadHazard	Radiation		Spell	Concentration	Contact	
00184D85	ReconScopeSpell	Recon Scope Spell		Spell	Fire and Forget	Target Actor	
00195599	terminalHackerTurretConfidenceSpell	turretConfidence		Ability	Constant Effect	Self	
001955B7	AbRaceRadstag			Ability	Constant Effect	Self	
0019FFBA	abDeathMessage	Death Message		Ability	Constant Effect	Self	
001A85CF	crGlowingMutantHoundCloak	Radiation Cloak		Ability	Constant Effect	Self	
0002B6D7	AbRaceProtectron			Ability	Constant Effect	Self	
00041EC8	TrapElectricArcSpellV111			Spell	Fire and Forget	Aimed	
0004AB42	crMirelurkKingBlurCloak	Blur Cloak		Spell	Fire and Forget	Self	
0007C719	SpellPowerArmor_TeslaBracers			Spell	Fire and Forget	Contact	
00085332	AbBoSPaladin	Paladin		Ability	Constant Effect	Self	
00097344	AbPerkRootedDisarm	Disarm on attack		Ability	Constant Effect	Self	
000976E5	SpellPowerArmor_Stealth	Stealth Field		Disease	Constant Effect	Self	
000A599A	AnRRInTheBloodSpell			Ability	Constant Effect	Self	
000B73A6	AbRaceGlowingOne	Glowing One abilities		Ability	Constant Effect	Self	
000C9798	AbRaceStingwing			Ability	Constant Effect	Self	
000CF5F0	DisarmSpell	Disarm		Spell	Fire and Forget	Contact	
000D3FC6	BossAbility01			Ability	Constant Effect	Self	
00156D0A	AbAddictionFury	Fury Addiction		Addiction	Constant Effect	Self	
00156D0C	AbAddictionCalmex	Calmex Addiction		Addiction	Constant Effect	Self	
00156D0D	AbAddictionXCell	X-Cell Addiction		Addiction	Constant Effect	Self	
00156D0E	AbAddictionDaddyO	Daddy-O Addiction		Addiction	Constant Effect	Self	
00156D0F	AbAddictionDaytripper	Daytripper Addiction		Addiction	Constant Effect	Self	
00156D10	AbAddictionOverdrive	Overdrive Addiction		Addiction	Constant Effect	Self	
0016CA43	crGlowingRadroachCloak	Radiation Cloak		Ability	Constant Effect	Self	
0017E79B	RESceneLC01HealthBuff	Fortify Health		Ability	Constant Effect	Self	
0017E8FA	BlindnessSpell	Blindness Spell		Spell	Fire and Forget	Self	
0018C35A	CryoFreezeSpell	Freezing		Ability	Constant Effect	Self	
0019401C	crCoreMeltdownCloak01	Radiation Cloak		Ability	Constant Effect	Self	
00195904	FireHazard	Fire Hazard		Spell	Fire and Forget	Contact	
001B1FF4	RadiationImmunity	Immune to Radiation		Ability	Constant Effect	Self	
001B34CD	PowerArmor_TargetingHUD_Spell	Targeting HUD		Spell	Concentration	Contact	
001C4026	QuietReflection	Quiet Reflection		Spell	Fire and Forget	Self	
001C501F	AbPerkMagHealthRegen	Regenerate Health		Ability	Constant Effect	Self	
001C5E7B	RadStormSpell	Radiation Storm		Spell	Fire and Forget	Self	
001C63EA	AbPerkMagSwimSpeed			Ability	Constant Effect	Self	
001C6BCA	CritMirelurkQueen			Spell	Fire and Forget	Self	
001C9A6A	CureAddictions	Cure Addictions		Spell	Fire and Forget	Self	
001CCDA3	LegendaryCreatureChance_AbConvertLegendaryCreature	LegendaryChance_AbConvertLegendaryCreature		Ability	Constant Effect	Self	
001CFB14	assaultronStealthSpell	Stealth Spell		Ability	Constant Effect	Self	
001D246C	abPerkLoneWanderer	Lone Wanderer		Ability	Constant Effect	Self	
001D2481	AbPerkRooted	Fortify Damage Resistance		Ability	Constant Effect	Self	
001D33D6	PerkStagger	Stagger		Spell	Fire and Forget	Contact	
001D4AB4	SlowTime	Slow Time		Spell	Fire and Forget	Self	
001D4AB8	PerkDogmeatBleedingDmg	Bleeding Damage		Spell	Fire and Forget	Contact	
001E325A	PerkSneakInvisibility	Invisibility		Spell	Fire and Forget	Contact	
001E4502	AbMirelurkKingCloakSpell			Ability	Constant Effect	Self	
001E4506	CritLaserLtBlue			Spell	Fire and Forget	Self	
001FA241	abPerkRadResistant	Rad Resistant		Ability	Constant Effect	Self	
001FA245	Legendary_2xDmg	Double Damage		Spell	Fire and Forget	Self	
001FE6A3	WaterRadiationHighHazard	High Water Radiation		Disease	Constant Effect	Self	
001FE6A4	WaterRadiationHighDrinkingToxic	Toxic Water		Spell	Fire and Forget	Self	
001FE6AE	zzzLegendary_Radioactive	Radioactive		Spell	Fire and Forget	Self	
001FE6B4	Legendary_Poison	Poison		Spell	Fire and Forget	Self	
001FE6B7	Legendary_PoisonAttack	Poison Attack		Spell	Fire and Forget	Contact	
001FE6BA	Legendary_Accuracy	Accuracy		Spell	Fire and Forget	Self	
00204143	WorkshopTrapFlamethrowerSpell			Spell	Concentration	Aimed	
00209471	AbPainTrainImpactLanding	Impact Landing		Ability	Constant Effect	Self	
00215CD3	abDogmeatHealthBonus			Ability	Constant Effect	Self	
00215CD6	PerkFortuneFinderSpell	Shower of Caps		Spell	Fire and Forget	Contact	
00215E07	HazardRadiationNukaGrenadeSpell	Radiation		Spell	Concentration	Contact	
0021C007	GlowingLootDrop	Glowing Loot Drop		Ability	Constant Effect	Self	
00225179	DetectLifeSpell	Detect Life		Spell	Fire and Forget	Self	
0022517A	DetectLifePACloakSpell	Detect Life		Spell	Concentration	Aimed	
0022517F	DetectLifeCloakHostileSpell	Detect Life Hostile Cloak		Spell	Concentration	Aimed	
00225181	DetectLifeHostileSpell	Detect Life		Spell	Fire and Forget	Self	
00225F7D	AbStrongStats	Strong's Stats		Ability	Constant Effect	Self	
0022B6EA	AbRaceSentryBot			Ability	Constant Effect	Self	
