WEAP_FormID	WEAP_EDID	WEAP_FULL	DNAM_Ammo	DNAM_Speed	DNAM_ReloadSpeed	DNAM_NPCReloadDelay	DNAM_Reach	DNAM_ReachEngagementMult	DNAM_MinRange	DNAM_MaxRange	DNAM_AttackDelaySeconds	DNAM_DamageOutOfRangeMult	DNAM_OnHit	DNAM_Flags	DNAM_Capacity	DNAM_AmmoPerShot	DNAM_WeaponType	DNAM_SecondaryDamage	DNAM_Weight	DNAM_Value	DNAM_BaseDamage	DNAM_SoundLevel	DNAM_AccuracyBonus	DNAM_AnimAttackSeconds	DNAM_Rank	DNAM_ActionPointCost	DNAM_FullPowerSeconds	DNAM_MinPowerPerShot	DNAM_Stagger	DNAM_Health	CRDT_CritDamageMult	CRDT_CritChargeBonus	CRDT_CritEffect	DNAM_Projectiles	DNAM_RumblePattern	WSAM_SneakAttackMult	CVT0_DamageCurve	CVT1_MinDurabilityCurve	CVT2_CondLossScale	CVT3_BashCondLossScale	CVT4_MaxDurabilityCurve
0006E514	DummyHandmadeDontUse		NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	1.000000	1.000000	500.000000	2000.000000	0.000000	0.500000	Normal formula behaviour		0	1	HandToHandMelee	0.000000	0.000000	0	0	Normal	0	1.138894	0	20.000000	0.000000	0.000000	Medium	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000					
000897FF	FusionCoreWeapon	Fusion Core Ejector	AmmoFusionCoreMeltdown "Fusion Core" [AMMO:00178D66]	0.250000	1.000000	0.000000	1.000000	1.000000	1000.000000	2000.000000	0.000000	1.000000	Normal formula behaviour		1	1	Gun	3.000000	40.000000	0	15	Normal	0	0.300000	0	20.000000	0.000000	0.000000	Medium	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier07 [CURV:0076E9BC]				
0008C14D	Baton	Baton	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	0.800000	1.000000	0.000000	10.000000	0.000000	-1.000000	Explode only		0	1	OneHandSword	0.000000	2.000000	15	11	Quiet	0	1.138894	0	26.000000	0.000000	0.000000	Small	100	3.000000	1.000000	NULL - Null Reference [00000000]			4.000000	CT_Player_Damage_Universal_Tier27 [CURV:0080F20B]	Durability_Weapons_Melee_Min [CURV:001FABB9]	ConditionDamageScaleFactor_Weapons_Melee [CURV:002E8F1B]	SecondaryScaleFactor_Weapons_Melee_Block [CURV:000361F3]	Durability_Weapons_Melee_Max [CURV:00345A4C]
0008E736	BaseballBat	Baseball Bat	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	0.800000	1.000000	0.000000	10.000000	0.000000	-1.000000	Explode only		0	1	TwoHandSword	10.000000	3.000000	25	16	Quiet	0	1.800010	0	40.000000	0.000000	0.000000	Medium	100	3.000000	1.000000	NULL - Null Reference [00000000]			2.500000	CT_Player_Damage_Universal_Tier34 [CURV:0080F212]	Durability_Weapons_Melee_Min [CURV:001FABB9]	ConditionDamageScaleFactor_Weapons_Melee [CURV:002E8F1B]	SecondaryScaleFactor_Weapons_Melee_Block [CURV:000361F3]	Durability_Weapons_Melee_Max [CURV:00345A4C]
000913CA	Knife	Combat Knife	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	0.800000	1.000000	0.000000	10.000000	0.000000	-1.000000	Dismember only		0	1	OneHandSword	10.000000	1.000000	25	9	Silent	0	0.794453	0	18.000000	0.000000	0.000000	None	100	3.500000	1.000000	NULL - Null Reference [00000000]			2.500000	CT_Player_Damage_Universal_Tier22 [CURV:0080F206]	Durability_Weapons_Melee_Min [CURV:001FABB9]	ConditionDamageScaleFactor_Weapons_Melee [CURV:002E8F1B]	SecondaryScaleFactor_Weapons_Melee_Block [CURV:000361F3]	Durability_Weapons_Melee_Max [CURV:00345A4C]
00092217	DoubleBarrelShotgun	Double-Barrel Shotgun	AmmoShotgunShell "Shotgun Shell" [AMMO:0001F673]	1.000000	1.000000	0.000000	1.000000	1.000000	719.000000	1439.000000	0.400000	0.500000	Normal formula behaviour		2	1	Gun	21.000000	6.000000	100	67	Loud	0	1.000000	0	26.000000	0.000000	0.000000	Small	100	2.250000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Player_Damage_Universal_Tier41 [CURV:0080F219]	Durability_Weapons_Ballistic_Min [CURV:00052192]	ConditionDamageScaleFactor_Weapons_Shotgun [CURV:003B56D1]	SecondaryScaleFactor_Weapons_Ranged_Bash [CURV:001FABBA]	Durability_Weapons_Ballistic_Max [CURV:00345A4E]
00092A60	crHandyPincherMiddle	Pincher	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	10.000000	0.000000	0.000000	Explode only		0	1	OneHandSword	0.000000	0.000000	0	20	Quiet	0	1.600000	0	20.000000	0.000000	0.000000	None	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier25 [CURV:0076E9CE]				
00092A61	crHandySawLeft	Saw	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	1.000000	1.000000	500.000000	2000.000000	0.000000	0.000000	Dismember only		0	1	OneHandSword	0.000000	0.000000	0	10	Loud	0	1.400000	0	20.000000	0.000000	0.000000	None	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier26 [CURV:0076E9CF]				
00092A62	crHandyFlamethrowerRight	Flamethrower	AmmoFlamerFuel "Fuel" [AMMO:000CAC78]	1.000000	1.000000	0.000000	1.000000	1.000000	100.000000	500.000000	0.000000	0.700000	No dismember or explode		0	1	Gun	0.000000	0.000000	0	0	Loud	0	5.566667	0	20.000000	0.000000	0.000000	None	0	2.000000	1.000000	CritFire [SPEL:001478EC]			2.000000					
0005524B	Knuckles	Knuckles	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	0.800000	1.000000	2000.000000	0.000000	0.000000	-1.000000	Explode only		0	1	HandToHandMelee	10.000000	0.500000	10	10	Silent	0	1.138897	0	26.000000	0.000000	0.000000	Small	100	2.500000	1.000000	NULL - Null Reference [00000000]			4.000000	CT_Player_Damage_Universal_Tier27 [CURV:0080F20B]	Durability_Weapons_Melee_Min [CURV:001FABB9]	ConditionDamageScaleFactor_Weapons_Melee [CURV:002E8F1B]	SecondaryScaleFactor_Weapons_Melee_Block [CURV:000361F3]	Durability_Weapons_Melee_Max [CURV:00345A4C]
