WEAP_FormID	WEAP_EDID	WEAP_FULL	OBTE_Count	CombinationIndex	OBTF_EditorOnly	Combination_FULL	OBTS_IncludeCount	OBTS_PropertyCount	OBTS_LevelMin	OBTS_LevelMax	OBTS_Default	IncludeIndex	Include_Mod	Include_AttachPointIndex	Include_Optional	Include_DontUseAll
0008C14D	Baton	Baton	9	0		Default	1	0	0	0	True	0	mod_melee_Null_MeleeMod "No Upgrade" [OMOD:000E7C3E]	0	False	True
0008C14D	Baton	Baton	9	1		Standard	1	0	0	0	False	0	mod_melee_Null_MeleeMod "No Upgrade" [OMOD:000E7C3E]	0	False	True
0008C14D	Baton	Baton	9	2		Standard Epic	1	0	0	0	False	0	modcol_melee_Baton [OMOD:002302FE]	0	False	True
0008C14D	Baton	Baton	9	3		Shock	1	0	0	0	False	0	mod_melee_Baton_Shock "Electrified" [OMOD:0017BBC5]	0	False	True
0008C14D	Baton	Baton	9	5		Simple	1	0	0	0	False	0	mod_melee_Null_MeleeMod "No Upgrade" [OMOD:000E7C3E]	0	False	True
0008C14D	Baton	Baton	9	7		Disorderly Conduct	5	0	0	0	False	0	mod_custom_V63ShockBaton_Paint "V63 Shock Baton" [OMOD:0072DF09]	0	False	True
0008C14D	Baton	Baton	9	7		Disorderly Conduct	5	0	0	0	False	1	modcol_Legendary_Crafting_Weapon1 "Random Legendary Mod" [OMOD:007904EA]	0	False	True
0008C14D	Baton	Baton	9	7		Disorderly Conduct	5	0	0	0	False	2	mod_Legendary_Weapon2_DmgLimbs "Crippling" [OMOD:004ED02C]	0	False	True
0008C14D	Baton	Baton	9	7		Disorderly Conduct	5	0	0	0	False	3	modcol_Legendary_Crafting_Weapon3 "Random Legendary Mod" [OMOD:007904EC]	0	False	True
0008C14D	Baton	Baton	9	7		Disorderly Conduct	5	0	0	0	False	4	mod_custom_V63ShockBaton_custom "V63 Shock Baton" [OMOD:0075C3B9]	0	False	True
0008C14D	Baton	Baton	9	8			5	0	0	0	False	0	mod_melee_Baton_Shock "Electrified" [OMOD:0017BBC5]	0	False	True
0008C14D	Baton	Baton	9	8			5	0	0	0	False	1	mod_Legendary_Weapon1_DebuffDamage "Suppressor's" [OMOD:005281B8]	0	False	True
0008C14D	Baton	Baton	9	8			5	0	0	0	False	2	modcol_Legendary_Crafting_Weapon2 "Random Legendary Mod" [OMOD:007904EB]	0	False	True
0008C14D	Baton	Baton	9	8			5	0	0	0	False	3	modcol_Legendary_Crafting_Weapon3 "Random Legendary Mod" [OMOD:007904EC]	0	False	True
0008C14D	Baton	Baton	9	8			5	0	0	0	False	4	mod_Custom_DisorderlyConduct "Disorderly Conduct" [OMOD:008EF10A]	0	False	True
0008E736	BaseballBat	Baseball Bat	7	0		Default	2	0	0	0	True	0	mod_melee_BaseballBat_Material_StainedNatural "Natural" [OMOD:001A0352]	0	False	True
0008E736	BaseballBat	Baseball Bat	7	0		Default	2	0	0	0	True	1	mod_melee_BaseballBat_Model_Null "No Customization" [OMOD:00405CF8]	0	False	True
0008E736	BaseballBat	Baseball Bat	7	1		Standard	2	0	0	0	False	0	modcol_melee_BaseballBat_Materials [OMOD:000B9734]	0	False	True
0008E736	BaseballBat	Baseball Bat	7	1		Standard	2	0	0	0	False	1	mod_melee_BaseballBat_Model_Null "No Customization" [OMOD:00405CF8]	0	False	True
0008E736	BaseballBat	Baseball Bat	7	2		Standard Epic	2	0	0	0	False	0	modcol_melee_BaseballBat [OMOD:002302FD]	0	False	True
0008E736	BaseballBat	Baseball Bat	7	2		Standard Epic	2	0	0	0	False	1	mod_melee_BaseballBat_Model_Null "No Customization" [OMOD:00405CF8]	0	False	True
0008E736	BaseballBat	Baseball Bat	7	3		Simple	2	0	0	0	False	0	mod_melee_BaseballBat_Material_StainedNatural "Natural" [OMOD:001A0352]	0	False	True
0008E736	BaseballBat	Baseball Bat	7	3		Simple	2	0	0	0	False	1	mod_melee_BaseballBat_Model_Null "No Customization" [OMOD:00405CF8]	0	False	True
0008E736	BaseballBat	Baseball Bat	7	4			2	0	0	0	False	0	mod_melee_BaseballBat_Material_StainedNatural "Natural" [OMOD:001A0352]	0	False	True
0008E736	BaseballBat	Baseball Bat	7	4			2	0	0	0	False	1	mod_melee_BaseballBat_Spikes "Spiked" [OMOD:00182CCF]	0	False	True
0008E736	BaseballBat	Baseball Bat	7	5			1	0	0	0	False	0	mod_melee_BaseballBat_Blades "Sharp" [OMOD:00182CD0]	0	False	True
0008E736	BaseballBat	Baseball Bat	7	6			6	0	0	0	False	0	mod_melee_Null_MeleeMod "No Upgrade" [OMOD:000E7C3E]	0	False	True
0008E736	BaseballBat	Baseball Bat	7	6			6	0	0	0	False	1	modcol_Legendary_Crafting_Weapon1 "Random Legendary Mod" [OMOD:007904EA]	0	False	True
0008E736	BaseballBat	Baseball Bat	7	6			6	0	0	0	False	2	modcol_Legendary_Crafting_Weapon2 "Random Legendary Mod" [OMOD:007904EB]	0	False	True
0008E736	BaseballBat	Baseball Bat	7	6			6	0	0	0	False	3	mod_Legendary_Weapon3_StatStrength "Strength" [OMOD:005299FC]	0	False	True
0008E736	BaseballBat	Baseball Bat	7	6			6	0	0	0	False	4	E09A_mod_Custom_RatBat "Rat Bat" [OMOD:0067A476]	0	False	True
0008E736	BaseballBat	Baseball Bat	7	6			6	0	0	0	False	5	E09A_mod_BaseballBat_ModelSwap_RatBat "Molerat Bat Paint" [OMOD:00685D59]	0	False	True
000913CA	Knife	Combat Knife	7	0		Default	2	0	0	0	True	0	mod_melee_Knife_Null "No Upgrade" [OMOD:0017650C]	0	False	True
