WEAP_FormID	WEAP_EDID	WEAP_FULL	WEAP_Model	XALG_Flags	EILV_Level	ETYP_EquipType	PTRN_PreviewTransform	IBSD_BreakSound	KeywordCount	Keywords	APPR_SlotCount	APPR_Slots
0006E514	DummyHandmadeDontUse					RightHand [EQUP:00013F42]			0		0	
000897FF	FusionCoreWeapon	Fusion Core Ejector				PowerArmorBatterySlot [EQUP:00066991]	xTranRifleBig [TRNS:00031C16]		1	s_40_LauncherGrenade [KYWD:00068044]	0	
0008C14D	Baton	Baton			5	RightHand [EQUP:00013F42]	xTranMelee [TRNS:00020D51]	UIBreakWeapon [SNDR:004ED233]	15	Anims1hmWeapon [KYWD:00023465]|AnimsBaton [KYWD:0002B4B7]|WeaponTypeMelee1H "1-Hand Melee" [KYWD:0004A0A4]|ObjectTypeWeapon [KYWD:000F4AEA]|QuickkeyMelee [KYWD:0010C89B]|ma_Baton [KYWD:00185D1B]|ma_CanHaveNullMeleeMod [KYWD:001C9E79]|WeaponTypeMeleeGeneral [KYWD:0033AB12]|WeaponTypeClub [KYWD:0033AB15]|WeaponTypeBlunt "Blunt" [KYWD:0033AB24]|UI_WeaponTypemelee1HBlunt [KYWD:003D0E81]|ma_Melee_Appearance [KYWD:005117B1]|ma_legendarycrafting_weaponmelee "MELEE WEAPONS" [KYWD:0060D1A6]|ma_Misc_Legendarycrafting_Weapon_Melee4 [KYWD:006214D4]|ma_legendarycrafting_weapon "WEAPONS" [KYWD:00787E6E]	9	ap_melee_MeleeMod "Upgrade" [KYWD:0005524C]|ap_melee_Appearance "Default Appearance" [KYWD:001A001E]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_customName "Unique Effect" [KYWD:0047A264]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
0008E736	BaseballBat	Baseball Bat			1	RightHand [EQUP:00013F42]	xTranMelee [TRNS:00020D51]	UIBreakWeapon [SNDR:004ED233]	16	WeaponTypeMelee2H "2-Hand Melee" [KYWD:0004A0A5]|Anims2hmWeapon [KYWD:000A7C45]|ObjectTypeWeapon [KYWD:000F4AEA]|QuickkeyMelee [KYWD:0010C89B]|ma_BaseballBat [KYWD:00184A2D]|ma_CanHaveNullMeleeMod [KYWD:001C9E79]|WeaponTypeMeleeGeneral [KYWD:0033AB12]|WeaponTypeWeird [KYWD:0033AB1A]|WeaponTypeArchaic "Archaic" [KYWD:0033AB23]|WeaponTypeBlunt "Blunt" [KYWD:0033AB24]|UI_WeaponTypemelee2HBlunt [KYWD:003D0E7F]|ObjectTypeSports [KYWD:0044D498]|ma_Melee_Appearance [KYWD:005117B1]|ma_legendarycrafting_weaponmelee "MELEE WEAPONS" [KYWD:0060D1A6]|ma_Misc_Legendarycrafting_Weapon_Melee4 [KYWD:006214D4]|ma_legendarycrafting_weapon "WEAPONS" [KYWD:00787E6E]	10	ap_melee_MeleeMod "Upgrade" [KYWD:0005524C]|ap_melee_MeleeLogo [KYWD:0006171D]|ap_melee_Appearance "Default Appearance" [KYWD:001A001E]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_customName "Unique Effect" [KYWD:0047A264]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
000913CA	Knife	Combat Knife			1	RightHand [EQUP:00013F42]	xTranMeleeSmall [TRNS:0010A2C4]	UIBreakWeapon [SNDR:004ED233]	17	Anims1hmWeapon [KYWD:00023465]|WeaponTypeMelee1H "1-Hand Melee" [KYWD:0004A0A4]|AnimsStabWeapon [KYWD:000CF6B7]|Anims1hmShortWeapon [KYWD:000D20A6]|ObjectTypeWeapon [KYWD:000F4AEA]|QuickkeyMelee [KYWD:0010C89B]|ma_Knife [KYWD:00187A0B]|WeaponTypeMeleeGeneral [KYWD:0033AB12]|WeaponTypeBladed "Sharp" [KYWD:0033AB19]|WeaponTypeKnives [KYWD:0033AB1C]|UI_WeaponTypemelee1HBlade [KYWD:003D0E7D]|ma_Melee_Appearance [KYWD:005117B1]|ma_legendarycrafting_weaponmelee "MELEE WEAPONS" [KYWD:0060D1A6]|ma_1hMelee [KYWD:00618468]|ma_Knife_Blades [KYWD:0067F1E0]|ma_CombatKnife [KYWD:00786C2B]|ma_legendarycrafting_weapon "WEAPONS" [KYWD:00787E6E]	9	ap_melee_MeleeMod "Upgrade" [KYWD:0005524C]|ap_melee_Appearance "Default Appearance" [KYWD:001A001E]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_customName "Unique Effect" [KYWD:0047A264]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Item_Description [KYWD:00521926]
00092217	DoubleBarrelShotgun	Double-Barrel Shotgun			15	BothHands [EQUP:00013F45]	xTranRifle [TRNS:00031C14]	UIBreakWeapon [SNDR:004ED233]	14	WeaponTypeBallistic "Ballistic" [KYWD:00092A86]|ObjectTypeWeapon [KYWD:000F4AEA]|QuickkeyGun [KYWD:0010C485]|animsDoubleBarrelShotgun [KYWD:00166703]|s_40_ShotgunDoubleBarrel [KYWD:0016D540]|ma_DoubleBarrelShotgun [KYWD:00188A1C]|ma_CanHaveNullMuzzle [KYWD:001C9E78]|WeaponTypeShotgun "Shotgun" [KYWD:00226454]|WeaponTypeRanged [KYWD:0033A7C8]|ma_Gun_Appearance [KYWD:0037D0B2]|UI_WeaponTypeShotgun [KYWD:003CFD8A]|ma_legendarycrafting_weaponranged "RANGED WEAPONS" [KYWD:005FF5F5]|ma_legendarycrafting_weapon "WEAPONS" [KYWD:00787E6E]|ma_legendarycrafting_weaponexplosivebullets "BALLISTIC WEAPONS" [KYWD:00788126]	10	ap_gun_Receiver "Receiver" [KYWD:00024004]|ap_Gun_UniversalOffset_Range [KYWD:000498A0]|ap_gun_Appearance "Default Appearance" [KYWD:00114364]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_customName "Unique Effect" [KYWD:0047A264]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
00092A60	crHandyPincherMiddle	Pincher				HandyMiddleHandRLOptional [EQUP:00047323]			1	HandyWeaponPincher [KYWD:000B1D2E]	0	
00092A61	crHandySawLeft	Saw				HandyLeftHandRMOptional [EQUP:00047321]			1	HandyWeaponSaw [KYWD:000B1D2C]	0	
00092A62	crHandyFlamethrowerRight	Flamethrower				HandyRightHandLMOptional [EQUP:000471A2]			4	HandyWeaponRanged [KYWD:000B1D2D]|s_40_Flamer_MrHandy [KYWD:001B40C2]|NoRicochet [KYWD:002049E5]|WeaponTypeRanged [KYWD:0033A7C8]	0	
0005524B	Knuckles	Knuckles			1	BothHandsLeftOptional [EQUP:0004334D]	xTranKnuckles [TRNS:00248AB8]	UIBreakWeapon [SNDR:004ED233]	17	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]|ma_Knuckles [KYWD:000E7FB4]|ObjectTypeWeapon [KYWD:000F4AEA]|QuickkeyMelee [KYWD:0010C89B]|AnimsKnuckles [KYWD:001AD823]|ma_CanHaveNullMeleeMod [KYWD:001C9E79]|WeaponTypeHandToHand [KYWD:00226453]|CanUnarmedBlockKeyword [KYWD:00230326]|WeaponTypeMeleeGeneral [KYWD:0033AB12]|WeaponTypePunching [KYWD:0033AB18]|WeaponTypeBlunt "Blunt" [KYWD:0033AB24]|UI_WeaponTypeHandToHand [KYWD:003CFD75]|ma_Melee_Appearance [KYWD:005117B1]|ma_legendarycrafting_weaponmelee "MELEE WEAPONS" [KYWD:0060D1A6]|ma_Misc_Legendarycrafting_Weapon_Melee4 [KYWD:006214D4]|ma_legendarycrafting_weapon "WEAPONS" [KYWD:00787E6E]	7	ap_melee_MeleeMod "Upgrade" [KYWD:0005524C]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
