region	site_number	ref_edid	ref_formid	closest_fast_travel	source_export	x	y	z
Ash Heap	4	SDOW_Grave04	008F173A	Pleasant Hills Cemetery	REFR_Placements_PTS_2026-08-23_1110.tsv	-55107.7	-101418.5	20662.5
Ash Heap	10	SDOW_Grave10	0090E8DB	Nicholson's End	REFR_Placements_PTS_2026-08-23_1110.tsv	-185121.2	-135898.4	8224.1
Cranberry Bog	13	SDOW_Grave13	0090E904	The Thorn	REFR_Placements_PTS_2026-08-23_1110.tsv	105540.2	-100832.0	10736.8
Forest	2	SDOW_Grave02	008F6758	Summersville	REFR_Placements_PTS_2026-08-23_1110.tsv	-45114.3	-13484.8	9491.3
Forest	3	SDOW_Grave03	008F1739	Kanawha County Cemetery	REFR_Placements_PTS_2026-08-23_1110.tsv	-176696.9	-24485.9	609.0
Forest	6	SDOW_Grave_06	0090FBD9	WV Lumber Co.	REFR_Placements_PTS_2026-08-23_1110.tsv	-171175.2	194295.9	460.2
Forest	7	SDOW__Grave07	00930AA7	Lady Janet's Soft Serve	REFR_Placements_PTS_2026-08-23_1110.tsv	-103941.0	154809.7	11152.8
Forest	11	SDOW_Grave11	0090E8F7	Wilson Brother's Auto Repair	REFR_Placements_PTS_2026-08-23_1110.tsv	-51785.8	107184.9	10704.3
Forest	14	SDOW_Grave14	0090E90B	Gorge Junkyard	REFR_Placements_PTS_2026-08-23_1110.tsv	-60002.8	87871.6	7175.4
Forest	15	SDOW_Grave15	0090E912	Wade Airport	REFR_Placements_PTS_2026-08-23_1110.tsv	-77301.0	-32872.4	12310.8
Forest	17	SDOW_Grave17	0090E920	Kanawha Nuka-Cola Plant	REFR_Placements_PTS_2026-08-23_1110.tsv	-156741.5	-57883.0	943.9
Savage Divide	5	SDOW__Grave05	00930AA0	Colonel Kelly Monument	REFR_Placements_PTS_2026-08-23_1110.tsv	31070.0	148432.5	20710.1
Savage Divide	8	SDOW_Grave08	008F6760	Fissure Site	REFR_Placements_PTS_2026-08-23_1110.tsv	110363.7	129485.0	20430.4
Savage Divide	9	SDOW__Grave09	00930AAE	Yellow Sandy's Still	REFR_Placements_PTS_2026-08-23_1110.tsv	88056.9	9350.4	26022.3
Savage Divide	12	SDOW_Graves12	0090E8FE	Spruce Knob Campground	REFR_Placements_PTS_2026-08-23_1110.tsv	45309.7	-111759.5	35447.5
Savage Divide	18	SDOW_Grave18	0090E927	Bailey Family Cabin	REFR_Placements_PTS_2026-08-23_1110.tsv	137086.8	180635.8	18744.6
The Mire	16	SDOW_Grave16	0090E919	Gnarled Shallows	REFR_Placements_PTS_2026-08-23_1110.tsv	197311.3	140223.9	9836.8
Toxic Valley			008F1737	Philippi Battlefield Cemetery	REFR_Placements_PTS_2026-08-23_1110.tsv	38486.1	168943.9	14715.2
