edid	page	game_name	name	description	image
RE_AssaultKMK04	df-random-assault	Anglers vs. Scorched			
RE_AssaultKMK10	df-random-assault	Anglers vs. Super Mutants			
W05_RE_AssaultZW06	df-random-assault	Ants v Settlers			
Burn_RE_Assault_KK01	df-random-assault	Armored Deathclaw vs Ogua			
W05_RE_AssaultBB02	df-random-assault	Assault - Old Man vs Critters			
W05_RE_AssaultAF01	df-random-assault	Assault - Raiders attacking Settlers			
W05_RE_AssaultZW13	df-random-assault	Assaultron v Raiders			
RE_Assault_MOON_06	df-random-assault	Blue Devil vs Blood Eagles			
RE_Assault_MOON_08	df-random-assault	Blue Devil vs Cultists			
RE_Assault_MOON_10	df-random-assault	Blue Devil vs Scorched			
RE_Assault_MOON_07	df-random-assault	Blue Devil vs Settlers			
RE_Assault_MOON_09	df-random-assault	Blue Devil vs Super Mutants			
BS_RE_AssaultCMB03	df-random-assault	BoS vs Blood Eagles			
BS_RE_AssaultCMB04	df-random-assault	BoS vs Cultist			
BS_RE_AssaultCMB02	df-random-assault	BoS vs Scorched			
BS_RE_AssaultCMB01	df-random-assault	BoS vs Super Mutant			
Burn_RE_Assault_KK02	df-random-assault	Deahclaw vs Rad Scorpions			
W05_RE_AssaultZW10	df-random-assault	Deathclaw v Raiders			
RE_AssaultMP04	df-random-assault	Deathclaw vs Ants			
Burn_RE_Assault_KK03	df-random-assault	Deathclaw vs Ogua			
RE_AssaultMP02	df-random-assault	Deathclaw vs. Super Mutants			
RE_AssaultKMK01	df-random-assault	Feral ghouls vs. Super Mutants			
W05_RE_AssaultDWD05	df-random-assault	Floaters vs Blood Eagles			
W05_RE_AssaultDWD06	df-random-assault	Floaters vs Cultists			
W05_RE_AssaultDWD07	df-random-assault	Floaters vs Scorched			
RE_AssaultKMK06	df-random-assault	Fog Crawlers vs. Scorched			
W05_RE_AssaultZW11	df-random-assault	Ghouls v Raiders			
RE_AssaultMP05	df-random-assault	Ghouls vs. Liberators			
RE_AssaultMP03	df-random-assault	Ghouls vs. Scorched			
RE_AssaultMJP03	df-random-assault	Greaser Scorched vs Radroaches			
RE_AssaultMP08	df-random-assault	Gulpers vs. Mirelurks			
RE_AssaultKMK05	df-random-assault	Gulpers vs. Scorched			
RE_AssaultKMK11	df-random-assault	Gulpers vs. Super Mutants			
RE_AssaultKMK08	df-random-assault	Liberators vs. Scorched			
Storm_RE_AssaultRK02	df-random-assault	Lost Vs Yao Gui			
W05_RE_AssaultZW07	df-random-assault	Mirelurks v Settlers			
RE_AssaultKMK07	df-random-assault	Mirelurks vs. Scorched			
RE_AssaultKMK12	df-random-assault	Mirelurks vs. Super Mutants			
W05_RE_AssaultZW09	df-random-assault	Mole Miners v Raiders			
W05_RE_AssaultZW08	df-random-assault	Mole Miners v Settlers			
RE_AssaultKMK03	df-random-assault	Mole Miners vs. Scorched			
RE_AssaultKMK09	df-random-assault	Mole Miners vs. Super Mutants			
RE_AssaultMJP02	df-random-assault	Mothman vs Glowing One			
RE_Assault_MOON_01	df-random-assault	Ogua vs Blood Eagles			
RE_Assault_MOON_03	df-random-assault	Ogua vs Cultists			
Burn_RE_Assault_KK05	df-random-assault	Ogua vs Rust King Raiders			
RE_Assault_MOON_05	df-random-assault	Ogua vs Scorched			
RE_Assault_MOON_02	df-random-assault	Ogua vs Settlers			
RE_Assault_MOON_04	df-random-assault	Ogua vs Super Mutants			
W05_RE_AssaultZW04	df-random-assault	Protectrons v Settlers			
Burn_RE_Assault_MT01	df-random-assault	Radhogs vs Deathclaw			
Burn_RE_Assault_MT02	df-random-assault	Radhogs vs Scorpions			
W05_RE_AssaultZW16	df-random-assault	Radscorpion v Raiders			
RE_AssaultKMK15	df-random-assault	RadScorpions vs. Super Mutants			
Burn_RE_Assault_KK04	df-random-assault	Rust King Raiders vs Rad Scorpions			
RE_AssaultMJP04	df-random-assault	Scorched Baseball vs Yao Guai			
RE_AssaultKMK13	df-random-assault	Scorched MegaSloth vs. Super Mutants			
W05_RE_AssaultZW15	df-random-assault	Scorched v Raiders			
RE_AssaultKMK02	df-random-assault	Scorched vs. Robots			
RE_AssaultKMK14	df-random-assault	Sentry Bot vs. Super Mutants			
RE_AssaultDWD03	df-random-assault	Sheepsquatch vs. Mole Miners			
RE_AssaultDWD02	df-random-assault	Sheepsquatch vs. Scorched			
RE_AssaultDWD01	df-random-assault	Sheepsquatch vs. Super Mutants			
Burn_RE_Assault_KK08	df-random-assault	Stingwing vs Rad Scorpions			
Burn_RE_Assault_KK07	df-random-assault	Stingwings vs Deathclaw			
Burn_RE_Assault_KK06	df-random-assault	Stingwings VS Rust King Raiders			
RE_AssaultMP07	df-random-assault	Super Mutants vs. Deathclaw			
RE_AssaultMP06	df-random-assault	Super Mutants vs. Robots			
RE_AssaultMD01	df-random-assault	Super Mutants vs. Scorched			
RE_AssaultMP01	df-random-assault	Super Mutants vs. Scorched			
Storm_RE_AssaultBG01	df-random-assault	Super Mutants vs. Yao Guai			
W05_RE_AssaultZW14	df-random-assault	Supermutants v Raiders			
Storm_RE_AssaultRK01	df-random-assault	The Electrician vs. Blood Raiders			
W05_RE_AssaultZW03	df-random-assault	Ticks v Settlers			
W05_RE_AssaultDWD04_Nuke	df-random-assault	Wendigo Colossus Assault			
W05_RE_AssaultZW05	df-random-assault	Wolves v Settlers			
RE_AssaultMP10	df-random-assault	Wolves vs. Megasloth			
RE_AssaultMJP01	df-random-assault	Yao Guai vs. Honey Beasts			
RE_AssaultMP09	df-random-assault	Yao Guai vs. Super Mutants			
BS_RE_CampJN01	df-random-camp	Aspiring Scribe			
W05_RE_Camp_JP28_MobCamp_Assaultrons	df-random-camp	Assaultron Hostile Camp			
W05_RE_Camp_JP07_BloodEagleCamp	df-random-camp	Blood Eagle Camp			
W05_RE_Camp_JP11_BloodEagleCamp	df-random-camp	Blood Eagle Eavesdrop			
W05_RE_Camp_JP19_MobCamp_BloodEagle	df-random-camp	Blood Eagle Hostile Camp			
W05_RE_Camp_JP24_DeadCultists	df-random-camp	Blood Eagle Hostile Camp			
W05_RE_Camp_JP25_DeadSettlersAndBloodEagle	df-random-camp	Blood Eagle Hostile Camp			
W05_RE_Camp_JP26_DeadMutantsAndBloodEagle	df-random-camp	Blood Eagle Hostile Camp			
W05_RE_Camp_JP22_MobCamp_BloodEagleHounds	df-random-camp	Blood Eagle Hound Hostile Camp			
BS_RE_CampDWD01	df-random-camp	BoS Mother and Son			
W05_RE_CampAF05	df-random-camp	Camp - Armor Vendor			
W05_RE_CampAF01	df-random-camp	Camp - Chem Dealer			
W05_RE_CampAF04	df-random-camp	Camp - Clinic Vendor			
W05_RE_CampAF07	df-random-camp	Camp - Clothing Vendor			
W05_RE_CampAF02	df-random-camp	Camp - Doctor helping raiders/settlers			
W05_RE_CampAF06	df-random-camp	Camp - Food Vendor			
W05_RE_CampAF08	df-random-camp	Camp - Misc Vendor			
W05_RE_CampAF03	df-random-camp	Camp - Undecided Newcomers			
W05_RE_CampAF09	df-random-camp	Camp - Weapon Vendor			
W05_RE_Camp_JP17_Campers	df-random-camp	Campers			
W05_RE_Camp_JP15_TwoSoldiers	df-random-camp	commanding officer and lackey			
W05_RE_Camp_JP12_DateNight	df-random-camp	couple on a date			
W05_RE_Camp_JP08_CryptidStories_FlatwoodsMonster	df-random-camp	Cryptid Stories Flatwoods Monster			
W05_RE_Camp_JP10_CryptidStories_Sheepsquatch	df-random-camp	Cryptid Stories Sheepsquatch			
W05_RE_Camp_JP09_CryptidStories_Snallygaster	df-random-camp	CryptidStories Snallygaster			
W05_RE_Camp_JP23_MobCamp_Cultists	df-random-camp	Cultist Hostile Camp			
W05_RE_Camp_JP21_MobCamp_ThreeFloatersDeadSMs	df-random-camp	Floater Hostile Camp			
W05_RE_Camp_JP18_DeadBullies	df-random-camp	Former Bullies			
W05_RE_Camp_JP32_MobCamp_Ghouls	df-random-camp	Ghouls Hostile Camp			
W05_RE_Camp_JP27_MobCamp_HoundsKilledBEs	df-random-camp	Hounds Hostile Camp			
W05_RE_Camp_JP33_MobCamp_Molemen	df-random-camp	Moleman Hostile Camp			
W05_RE_Camp_JP34_ReturningCamper	df-random-camp	Returning Camper			
W05_RE_Camp_JP31_MobCamp_Scorched	df-random-camp	Scorched Hostile Camp			
W05_RE_Camp_JP14_SoldierAndScientist	df-random-camp	soldier with techy			
W05_RE_Camp_JP16_SuperMutantsAndFloater	df-random-camp	Super Mutants Admire Floater			
W05_RE_Camp_JP20_MobCamp_SMsHoundFloater	df-random-camp	Super Mutants, Hound and Floater Camp			
W05_RE_Camp_JP13_TwoScientists	df-random-camp	two scientists			
W05_RE_Camp_JP29_MobCamp_Wolves	df-random-camp	Wolves Hostile Camp			
W05_RE_Camp_JP30_MobCamp_YaoGuai	df-random-camp	Yao Guai Hostile Camp			
RE_Scene_Zetan_03	df-random-limited-invaders	[Distant Thereminl]			
RE_Travel_Zetan_03	df-random-limited-invaders	Conspiracy Theorist Chase			
RE_Object_Zetan_03	df-random-limited-invaders	Dead Mysterious Man			
