seasonNumber	page	slot	name	cost	tallyCategory	isFirst	matchName	notes
4	1	1	Cold Steel Icon	20	player_icon		Player Icon: Cold Steel	
4	1	2	Beehive	50				
4	1	3	S.C.O.R.E. Booster x 3	15	score_booster			
4	1	4	Platinum Flair	20			Platinum Backpack Flair	
4	1	5	Tree Branch Chandelier	30				
4	2	1	Hunting Paint	50			Hunting Lever Action Rifle Paint	
4	2	2	Mister Shivers Icon	20	player_icon		Player Icon: Mister Shivers	
4	2	3	Slalom	30		TRUE	Slalom Pose	
4	3	1	Vault Tile Checkered Floors	30				
4	3	2	Yukon Five T-45 Paint	55			Yukon Five Power Armor T-45 Paint	
4	3	3	"""Icebreaker's"""	20	camp_player_title		"C.A.M.P. Title Prefix: ""Icebreaker's"""	
4	3	4	Perk Coin x 50	15	perk_coins		Perk Coin x 50	
4	3	5	Brickhouse Flair	25			Brickhouse Backpack Flair	
4	4	1	Male Mannequin	55				
4	4	2	Female Mannequin	55				
4	4	3	Yukon Five T-51 Paint	75			Yukon Five Power Armor T-51 Paint	
4	4	4	Starburst Brick	30			Starburst Brick Floor and Foundations	
4	5	1	Re-Roller x 5	20	re_roller			
4	5	2	Beekeeper Outfit	50				
4	5	3	Beekeeper Hat	20				
4	5	4	Hot Dog	25		TRUE	Hot Dog Pose	
4	5	5	Stamps x 10	20	stamps			
4	6	1	Death's Breath Skin	50			Death's Breath Skin (Flamer)	
4	6	2	"""Power Patrol"""	25	camp_player_title		"Player Title Prefix: ""Power Patrol"""	
4	6	3	Yukon Excavator Paint	50			Yukon Five Power Armor Excavator Paint	
4	7	1	Power Patrol Red Beret	20				
4	7	2	Cannonball	40			Cannonball Pose	
4	7	3	Armor Ace Paint	50			Armor Ace Paint (Handmade Rifle)	
4	7	4	Yukon Five T-60 Paint	75			Yukon Five Power Armor T-60 Paint	
4	7	5	Nuka-Cola Collectron Station	80				
4	8	1	S.C.O.R.E. Booster x 3	20	score_booster			
4	8	2	Commissioner Chaos Icon	20	player_icon		Player Icon: Commissioner Chaos	
4	8	3	Dungeon Wallpaper	25		TRUE		
4	8	4	Armor Ace Station	40			Armor Ace Power Armor Station	
4	9	1	"""Yukon Five's"""	20	camp_player_title		"C.A.M.P. Title Prefix: ""Yukon Five's"""	
4	9	2	Stamps x 10	10	stamps			
4	9	3	Yukon Five X-01 Paint	70			Yukon Five Power Armor X-01 Paint	
4	9	4	Power Patrol Fatigues	40				
4	10	1	Icebreaker Icon	20	player_icon		Player Icon: Icebreaker	
4	10	2	Icebreaker	50			Icebreaker (Power Fist)	
4	10	3	Yukon Five Ultracite Paint	75			Yukon Five Power Armor Ultracite Paint	
4	10	4	Gold Toilet	40				
4	10	5	Armor Ace Flair	15			Armor Ace Backpack Flair	
4	11	1	Skiing	35			Skiing Pose	
4	11	2	Perk Coin x 50	20	perk_coins		Perk Coin x 50	
4	11	3	Red Viper Paint	30		TRUE	Red Viper Paint (Handmade Rifle)	
4	11	4	Yukon Five T-65 Paint	60			Yukon Five Power Armor T-65 Paint	
4	11	5	Cold Steel Floors	30				
4	12	1	Dungeon	30			Dungeon Floor and Foundations	
4	12	2	"""Icebreaker"""	15	camp_player_title		"Player Title Suffix: ""Icebreaker"""	
4	12	3	Doubletap Icon	20	player_icon		Player Icon: Doubletap	
4	12	4	S.C.O.R.E. Booster x 3	20	score_booster			
4	13	1	Armor Ace Paint	50			Armor Ace Paint (Gatling Plasma)	
4	13	2	Commissioner Chaos Power Armor Paint	80				
4	13	3	Cold Steel Wallpaper	30				
4	13	4	Flamethrower Backpack	50			Flamethrower Tanks Backpack	
4	14	1	Cold Steel Beer Stein	40				
4	14	2	Re-Roller x 5	30	re_roller			
4	14	3	Atomic Ranger Power Armor Skin	60		TRUE		
4	15	1	Power Patrol Blue Beret	30				
4	15	2	Icebreaker Outfit	50				
4	15	3	Brotherhood Infantry Statue	45			Brotherhood of Steel Infantry Statue	
4	15	4	Complete Chaos Icon	25	player_icon		Player Icon: Complete Chaos	
4	16	1	Complete Chaos Power Armor Paint	100				
4	16	2	Perk Coin x 50	20	perk_coins		Perk Coin x 50	
4	16	3	Framed Cold Steel Wall Art	40				
