season	page	unlockRank	slot	name	qty	cost	isFirst	formId	wikiIcon	notes
16	1	0	1	Rip Daring Adventurer Outfit		45		0074E3D2	score_s16_apparel_outfit_ripdaringcostume_l.webp	
16	1	0	2	Peepers Paint (Double-Barrel Shotgun & Cold Shoulder)		40		00746CA9	score_s16_skin_weaponskin_doublebarrelshotgun_peepers_l.webp	
16	1	0	3	Heating Up Player Icon		5		0074DC8A	atx_playericon_s16_ripdaringcremator.webp	
16	1	0	4	Liquid Courage	3	5		0060A0CE	SCORE Game LiquidCourage L.webp	
16	1	0	5	Legendary Core	10	5		0060A0CD	Score game legendary core l.webp	
16	1	0	6	Perk Card Pack	5	5		005AD5B4	Score item perkcardpack l.webp	
16	1	0	7	Percival's Pith Helmet		25	TRUE	00684ED2	score_s16_apparel_headwear_pithhelmet_l.webp	
16	1	0	8	Big Feet Rug		15	TRUE	0074621D	score_s16_camp_floordecor_rug_bigfeet_l.webp	
16	1	0	9	Mystery Bobblehead	3	5	TRUE	0072D4FD	SCORE Utility MysteryBobblehead L.webp	
16	1	0	10	5% SCORE Boost		0	TRUE	0075BFBB	Score account scoreboost l.webp	
16	2	7	1	Devilish T-45 Power Armor Paint		45		0074847E	score_s16_skin_powerarmor_paint_t45_devilish_l.webp	
16	2	7	2	Beach Fence Set		30		00752297	score_s16_camp_defense_beachfences_l.webp	
16	2	7	3	Atoms	200	25			Score currency atoms l.webp	
16	2	7	4	Rose Room Poster		15		0075334B	score_s16_camp_walldecor_roseroomposter_l.webp	
16	2	7	5	Gold Bullion	500	5		005AD5B2	Score currency bullion l.webp	
16	2	7	6	Nuclear Keycard	5	5		005DC2BF	Atx playericon object 09 l.webp	
16	2	7	7	Ship Wheel		0		00753348	score_s16_camp_floordecor_shipwheel_l.webp	
16	2	7	8	Rip and Friends Surfboard Wall Decoration Set		30	TRUE	0074621E	score_s16_camp_walldecor_surfboard_l.webp	
16	2	7	9	Hot Dog Sign		15	TRUE	00753349	score_s16_camp_floordecor_hotdogsign_l.webp	
16	2	7	10	Jersey Shore Vacation Photomode Frame		5	TRUE	007515BE	score_s16_photomode_frame_jerseyshorevacation_l.webp	
