seasonNumber	id	page	name	cost	isFirst	kind	value	tallyCategory	imageUrl	description	storefrontEntitlement	reappearances
24	S24_P01_score_boost_5	1	5% S.C.O.R.E. Boost	0	TRUE			score_booster	/wp-content/uploads/season_images/score_s24_account_scoreboost_1.webp	Gain 5% bonus S.C.O.R.E. when you complete challenges for the rest of Season 24!    - UNLOCKS BOOST FOR ALL CHARACTERS ON YOUR ACCOUNT. -    - BONUS IS APPLIED TO BASE CHALLENGE S.C.O.R.E. -    - DOES NOT APPLY TO PREVIOUSLY COMPLETED CHALLENGES. -	SCORE_S24_ENTM_Account_ScoreBoost_1	
24	S24_P01_ufo_fishing_bobber_mod	1	UFO Fishing Bobber Mod	25	TRUE				/wp-content/uploads/season_images/score_s24_weapons_fishing_mod_fishingrod_weapon_rodbobber_ufobobber.webp	Abduct those fish with the UFO Fishing Bobber!    - ITEM IS CRAFTABLE AT WEAPON WORKBENCHES. REQUIRES THE  FISHING ROD. -	SCORE_S24_ENTM_Weapons_Fishing_mod_FishingRod_Weapon_RodBobber_UFOBobber	
24	S24_P01_bloody_space_helmet	1	Bloody Space Helmet	25	FALSE				/wp-content/uploads/season_images/score_s24_apparel_headwear_spacesuitbloody.webp	What REALLY happens if you shoot for the stars and miss!    - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	SCORE_S24_ENTM_Apparel_Headwear_SpaceSuitBloody	
24	S24_P01_200_atoms	1	200 Atoms	20	FALSE			atoms	/wp-content/uploads/season_images/utility/score_currency_atoms.webp			
24	S24_P01_bloody_space_suit	1	Bloody Space Suit	40	FALSE				/wp-content/uploads/season_images/score_s24_apparel_outfit_spacesuitbloody.webp	What REALLY happens if you shoot for the stars and miss!    - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	SCORE_S24_ENTM_Apparel_Outfit_SpaceSuitBloody	
24	S24_P01_superb_bait_x5	1	Superb Bait x5	0	FALSE			superb_bait	/wp-content/uploads/season_images/utility/score_utility_superbait.webp			
24	S24_P01_space_cow_icon	1	Player Icon: Space Cow	15	FALSE	playerIcon	Space Cow	player_icon	/wp-content/uploads/season_images/score_s24_playericon_spacecow.webp	Moooooving along a new frontier.    - UNLOCKS A PLAYER ICON. -	SCORE_S24_ENTM_PlayerIcon_SpaceCow	
24	S24_P02_alien_ammo_box	2	Alien Ammo Box	30	TRUE				/wp-content/uploads/season_images/score_s24_camp_ammobox_alienbox.webp	Even advanced cosmic civilizations need storage!    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	SCORE_S24_ENTM_CAMP_AmmoBox_AlienBox	
24	S24_P02_prefix_alien	2	"CAMP Title Prefix: ""Alien"""	25	TRUE	campTitlePrefix	Alien	camp_player_title	/wp-content/uploads/season_images/score_s24_camptitles_prefix_alien.webp	"Unlocks the C.A.M.P. Title Prefix ""Alien"".    - C.A.M.P. TITLES ARE SELECTABLE IN THE C.A.M.P. MENU ON THE MAP -"	SCORE_S24_ENTM_CAMPTitles_Prefix_Alien	
24	S24_P02_improved_bait_x5	2	Improved Bait x5	0	FALSE			improved_bait	/wp-content/uploads/season_images/utility/score_utility_improvedbait.webp			
