seasonNumber	page	slot	name	cost	tallyCategory	isFirst	matchName	notes
21	1	1	Superb Bait x 5	20	superb_bait			
21	1	2	Hooked Fish Flair	10			Hooked Fish Backpack Flair	
21	1	3	"""Reeling"""	15	camp_player_title			
21	1	4	Fisher Vault Boy Player Icon	15	player_icon	TRUE		
21	1	5	200 Atoms	20	atoms	TRUE		
21	1	6	Hanging Dolphish	55				
21	1	7	Ruby Reel Rod	45		TRUE	Ruby Reel Fishing Rod Paint	
21	1	8	5% S.C.O.R.E. Boost	0	score_booster	TRUE		
21	1	9	Nuclear Keycard x 5	20	nuclear_keycard			
21	1	10	Hanging Fishing Net	25				
21	2	1	Baskets of Dead Fish	20				
21	2	2	Boat Fishing Rod Display	40				
21	2	3	Spitfire Paint (Ripper)	50				
21	2	4	Hanging Buoy	25		TRUE		
21	2	5	Fish Bones Flair	10		TRUE	Fish Bones Backpack Flair	
21	2	6	Gone Fission Hat	30		TRUE		
21	2	7	"""Trawler"""	0	camp_player_title			
21	2	8	200 Atoms	25	atoms			
21	3	1	Fish of Appalachia: Forest Poster	30				
21	3	2	200 Atoms	20	atoms	TRUE		
21	3	3	Seaweed Stash Box	45		TRUE		
21	3	4	Spitfire Paint (Gatling Gun)	55				
21	3	5	S.C.O.R.E. Booster x 3	15	score_booster			
21	3	6	"""Sturdy"""	10	camp_player_title	TRUE		
21	3	7	Snorkel Goggles	0				
21	4	1	Lite Ally: Dottie	60				
21	4	2	DSSBNUD Poster	30				
21	4	3	"""Paranoid"""	15	camp_player_title	TRUE		
21	4	4	"""Theorist"""	20	camp_player_title			
21	4	5	200 Atoms	25	atoms			
21	4	6	DSSBNUD Player Icon	15	player_icon			
21	4	7	DSSBNUD T-Shirt & Jeans Outfit	45				
21	4	8	10% S.C.O.R.E. Boost	0	score_booster	TRUE		
21	4	9	Superb Bait x 5	15	superb_bait			
21	4	10	Spitfire Paint (Pepper Shaker)	50		TRUE		
21	5	1	Dirty Pond	55				
21	5	2	Buoy	40		TRUE		
21	5	3	Fishing Nets	0				
21	5	4	"""Untangled"""	20	camp_player_title			
21	5	5	200 Atoms	20	atoms	TRUE		
21	5	6	The Trip Framed Vinyl Cover	25				
21	5	7	Fake Taxidermy Mermaid	50		TRUE		
21	5	8	Triple Threat Player Icon	10	player_icon			Card text truncated in game as 'TRIPLE THREAT PLAY...'; full name from ENTM.
21	5	9	S.C.O.R.E. Booster x 3	10	score_booster	TRUE		
21	5	10	Gone Fission Camping Cooler	45				
21	6	1	200 Atoms	0	atoms			
21	6	2	Poseidon Arm Wrestle Machine	50		TRUE		
21	6	3	Ice Breaker	60				
21	6	4	Amphitrite Player Icon	10	player_icon			
21	6	5	Gone Fission Photomode Frame	15				
21	6	6	Spitfire Paint (Combat Shotgun)	40		TRUE		
21	6	7	Re-Roller x 5	10	re_roller	TRUE		
21	6	8	Sugar-Free Nukashine x 3	15	nukashine			
21	7	1	Snorkel Mask	30				
21	7	2	Loose Vinyl Records	20		TRUE		
21	7	3	Crate of Vinyls	25				
21	7	4	Fish Pot Player Icon	10	player_icon			
21	7	5	Drowned Chaise Lounge	40				
21	7	6	Bottle Clutter Set #1	20				
21	7	7	Neon Light Signs	50		TRUE		
21	7	8	200 Atoms	15	atoms	TRUE		
21	7	9	10% S.C.O.R.E. Boost	0	score_booster	TRUE		
21	7	10	Goo Letter Kit	65			Goo Letter Kit Set	
21	8	1	Display Fish Hooks	50		TRUE	Set of Display Fish Hooks	
21	8	2	"""Bobber"""	10	camp_player_title	TRUE		
21	8	3	Jitter Bells Framed Vinyl Cover	20				
21	8	4	Jitter Bell Player Icon	15	player_icon			
21	8	5	Drowned Spotlight Lamp	35		TRUE		
21	8	6	Fishing Rod Baby Rattle Bobber Mod	20				
21	8	7	Gone Fission Neon Sign	0				
21	8	8	200 Atoms	25	atoms			
21	8	9	Mystery Magazine Package x 3	15	mystery_magazine			
21	8	10	Cannery	60				
21	9	1	Taxidermy Shark Jaw	30				
21	9	2	Caps x 5000	10	caps			
21	9	3	Chainsaw Vault Girl Player Icon	0	player_icon			Card text truncated in game as 'CHAINSAW VAULT GI...'; full name from ENTM.
21	9	4	Houseboat Survival Tent	80		TRUE		
21	9	5	200 Atoms	10	atoms	TRUE		
21	9	6	Fishing Rod Grenade Bobber Mod	10		TRUE		
21	9	7	Shark Tooth Flair	15			Shark Tooth Backpack Flair	
21	9	8	Spitfire Paint (Chainsaw)	45		TRUE		
21	10	1	Plesiosaur Statue	50				
21	10	2	Fish of Appalachia: Savage Divide Poster	30				
21	10	3	Euphonium Union Player Icon	15	player_icon	TRUE		
21	10	4	"""Angler"""	15	camp_player_title			
21	10	5	Euphonium Union Framed Vinyl Cover	25				
21	10	6	200 Atoms	25	atoms			
21	10	7	Lily Pad Platforms	45		TRUE		
21	10	8	Lunchbox x 5	15	lunchbox			
21	10	9	S.C.O.R.E. Booster x 3	10	score_booster	TRUE		
21	10	10	Spitfire Paint (Tesla Cannon)	45				
21	11	1	Fishie Stein	20				
21	11	2	Fish of Appalachia: Toxic Valley Poster	25		TRUE		
21	11	3	Fishing Rod Light Bulb Bobber Mod	15				
21	11	4	Bottle Clutter Set #2	15				
21	11	5	Isotope Isaac Player Icon	10	player_icon		Player Icon: Isotype Isaac	
21	11	6	Framed Gone Fission Wall Art	25				
21	11	7	Isotope Isaac Framed Vinyl Cover	15		TRUE	Isotype Isaac Framed Vinyl Cover	Card truncated in game as 'ISOTOPE ISAAC FRAM...'. ENTM spells it 'Isotype'.
21	11	8	Seaweed Scrapbox	0		TRUE		
21	B1	1	Houseboat	200				
21	B1	2	Bottled Octopus	115				
21	B1	3	Oxygen Tank Backpack	125				
21	B1	4	Fishing Rod Nuka Bobber Mod	80				
21	B1	5	Spitfire Paint (Auto Grenade Launcher)	130				
21	B1	6	Fish Head Fishing Rod Display	130				
21	B1	7	Blood Letter Kit	160			Blood Letter Kit Set	
21	B1	8	Fish of Appalachia: Ash Heap Poster	100				
21	B1	9	Gone Fission Player Icon	60	player_icon			
21	B1	10	Sea Serpent Statue	150				
21	B2	1	Repair Kit	75	repair_kit			
21	B2	2	100 Atoms	250	atoms			Reads '100 ATOMS' for 250 tickets on the bonus page - verified against a zoomed crop.
21	B2	3	Caps x 5000	75	caps			
21	B2	4	Superb Bait x 5	75	superb_bait			
21	B2	5	Perk Coin x 25	75	perk_coins			
21	B2	6	Gold Bullion x 100	75	gold_bullion			
21	B2	7	Lunchbox x 5	75	lunchbox			
21	B2	8	Legendary Module x 10	75	legendary_module			
21	B2	9	Nuclear Keycard x 5	75	nuclear_keycard			
21	B2	10	Scout's Banner x 5	75	scouts_banner			
