region	site_number	ref_edid	ref_formid	closest_fast_travel	directions	photo_approach	photo_spawn	x	y	z
Ash Heap		TreasureMapMoundActivator04	0038B1F2	AMS Testing Site				-126027.656250	-143726.750000	20611.554688
Ash Heap		TreasureMapMoundActivator07	0038B1D7	Hornwright Air Purifier Site #01				-101486.882813	-81483.960937	12024.577149
Ash Heap		TreasureMapMoundActivator09	0038B176	Widow's Perch				-78384.156250	-84171.117187	16338.756836
Cranberry Bog		TreasureMapMoundActivator26	0038ADAB	Appalachian Antiques				130433.703125	-129577.210938	7294.763184
Cranberry Bog		TreasureMapMoundActivator33	0038AD47	Overgrown Sundew Grove				175651.781250	-176662.453125	7229.380371
Cranberry Bog		TreasureMapMoundActivator35	0038ACBD	Pylon V-13				192578.812500	-89122.875000	6578.606933
Cranberry Bog		TreasureMapMoundActivator30	0038AD50	Ranger Lookout				157542.437500	-88259.265625	6514.225098
Forest		TreasureMapMoundActivator05	0038B1DA	Anchor Farm				-119683.562500	119820.718750	6262.316894
Forest		TreasureMapMoundActivator02	0038B252	Camp Adams Lookout				-158059.796875	-40684.777343	9240.047852
Forest		TreasureMapMoundActivator06	0038B1F0	Charleston Trainyard				-122167.453125	-49725.003906	6881.741211
Forest		TreasureMapMoundActivator11	0038B156	Gauley Mine Exit				-41079.304687	72407.890625	8946.170898
Forest		TreasureMapMoundActivator14	0038B109	Greg's Mine Supply				-25714.589844	43075.902344	9448.922851
Forest		TreasureMapMoundActivator01	0038B328	Point Pleasant				-177856.187500	66008.125000	37.641667
Forest		TreasureMapMoundActivator03	0038B220	Relay Tower HG-B7-09				-135648.562500	-65181.511718	10649.833984
Forest		TreasureMapMoundActivator12	0038B14D	Summersville				-41273.652344	-24995.271484	9802.654297
Forest		TreasureMapMoundActivator08	0038B198	The Wayward				-81548.460937	48992.015625	4459.406739
Savage Divide		TreasureMapMoundActivator25	0038ADD7	Autumn Acre Cabin				98820.343750	42795.464844	28021.593750
Savage Divide		TreasureMapMoundActivator21	0038AF64	Blackwater Mine				33260.054687	-47051.601562	28293.312500
Savage Divide		TreasureMapMoundActivator15	0038B0DD	Federal Disposal Field HZ-21				-8329.735352	-157138.265625	33641.898437
Savage Divide		TreasureMapMoundActivator29	0038AD61	Fissure Site				150924.796875	180168.640625	17805.378906
Savage Divide		TreasureMapMoundActivator27	0038ADA2	Gulper Lagoon				140590.703125	111464.984375	22114.433594
Savage Divide		TreasureMapMoundActivator17	0038B06A	New Appalachian Central Trainyard				16156.716797	-16360.665039	24089.599609
Savage Divide		TreasureMapMoundActivator24	0038ADDC	North Cutthroat Camp				66572.601563	30560.263672	35832.089844
Savage Divide		TreasureMapMoundActivator22	0038AF4C	Palace of the Winding Path				56127.000000	176659.062500	25002.175781
Savage Divide		TreasureMapMoundActivator19	0038AF8C	Skullbone Vantage				32254.214844	27944.498046	26662.103516
Savage Divide		TreasureMapMoundActivator20	0038AF66	Solomon's Pond				36779.828125	-62224.101563	32588.406250
Savage Divide		TreasureMapMoundActivator23	0038AE4D	South Mountain Lookout				61745.277344	-124896.148438	31640.511719
The Mire		TreasureMapMoundActivator32	0038AD4A	Crevasse Dam				175781.468750	78368.539062	7085.874512
The Mire		TreasureMapMoundActivator34	0038AD1A	Excelsior Model Home				181776.015625	104687.453125	8816.720703
The Mire		TreasureMapMoundActivator28	0038AD9E	Moth-Home				142882.906250	-26589.476563	10574.248047
The Mire		TreasureMapMoundActivator31	0038AD4D	Southern Belle Motel				160578.328125	18416.201172	7138.580566
Toxic Valley		TreasureMapMoundActivator10	0038B159	Becker Farm				-77637.679688	150060.812500	12973.709961
Toxic Valley		TreasureMapMoundActivator13	0038B147	Clarksburg				-31294.226563	163443.921875	12122.592773
Toxic Valley		TreasureMapMoundActivator16	0038B0DA	Pioneer Scout Camp				5849.466797	134711.031250	12552.208984
		TreasureMapMoundActivator18	0038AF9D	The Crater				26592.541016	192093.156250	13965.001953
