region	site_number	ref_edid	ref_formid	closest_fast_travel	directions	photo_approach	photo_spawn	x	y	z
Ash Heap		MTRZ05MiningSite	39EFF6	Abandoned Mine Shaft 1				-141932.921875	-146953.296875	17125.423828
Ash Heap		MTRZ05MiningSite	39F00D	Abandoned Mine Shaft 3				-74131.585938	-121238.984375	19931.380859
Ash Heap		MTRZ05MiningSite	39EFF8	Abandoned Mine Shaft 4				-155722.6875	-110749.617188	12672.151367
Ash Heap		MTRZ05MiningSite	39EFF9	Abandoned Mine Shaft 4				-172789.984375	-115958.929688	5844.983887
Ash Heap		MTRZ05MiningSite	39F004	Abandoned Mine Shaft 5				-128239.265625	-83619.609375	17156.113281
Ash Heap		MTRZ05MiningSite	39F005	Abandoned Mine Shaft 5				-135924.25	-83604.859375	16284.532227
Ash Heap		MTRZ05MiningSite	39EFFC	Abandoned Mine Shaft 6				-116104.898438	-109385.757812	21990.445312
Ash Heap		MTRZ05MiningSite	39EFFF	Abandoned Mine Site Kittery				-120509.265625	-94341.625	19563.164062
Ash Heap		MTRZ05MiningSite	39F000	Abandoned Mine Site Kittery				-111182.390625	-103610.3125	19704.697266
Ash Heap		MTRZ05MiningSite	39EFEF	AMS Testing Site				-125766.140625	-150969.5625	20488.248047
Ash Heap		MTRZ05MiningSite	39F00B	Belching Betty				-117144.585938	-83795.460938	13644.262695
Ash Heap		MTRZ05MiningSite	39F016	Big Bend Tunnel West				-45314.347656	-116463.617188	22304.0
Ash Heap		MTRZ05MiningSite	39F006	Brim Quarry				-143857.890625	-87225.046875	16050.008789
Ash Heap		MTRZ05MiningSite	39F00C	Hornwright Air Purifier Site #02				-67203.945312	-99363.78125	16366.022461
Ash Heap		MTRZ05MiningSite	39F011	Hornwright Air Purifier Site #02				-74934.382812	-103779.296875	18504.552734
Ash Heap		MTRZ05MiningSite	39EFEE	Hornwright Air Purifier Site #03				-125226.25	-138365.453125	20768.0
Ash Heap		MTRZ05MiningSite	39F013	Hornwright Estate				-64215.75	-137954.625	24111.601562
Ash Heap		MTRZ05MiningSite	39EFFB	Hornwright Testing Site #02				-156504.734375	-146005.015625	13607.666016
Ash Heap		MTRZ05MiningSite	39F00F	Lewisburg				-66356.3125	-111009.210938	21342.947266
Ash Heap		MTRZ05MiningSite	39F017	Lewisburg				-51477.851562	-113555.601562	22220.277344
Ash Heap		MTRZ05MiningSite	39F018	Lewisburg Station				-59036.417969	-121180.625	21228.101562
Ash Heap		MTRZ05MiningSite	39F012	Monongah Power Substation MZ-03				-51602.011719	-126141.75	22224.0
Ash Heap		MTRZ05MiningSite	39EFFD	Mount Blair				-121755.023438	-99051.554688	21293.513672
Ash Heap		MTRZ05MiningSite	39EFFE	Mount Blair				-128251.140625	-93420.992188	21554.179688
Ash Heap		MTRZ05MiningSite	39EFF4	Mount Blair Trainyard				-126628.382812	-120256.023438	19577.443359
Ash Heap		MTRZ05MiningSite	39EFF5	Mount Blair Trainyard				-137892.4375	-124922.039062	19261.882812
Ash Heap		MTRZ05MiningSite	39EFFA	Nicholson's End				-170982.015625	-132641.3125	9901.350586
Ash Heap		MTRZ05MiningSite	660D33	Nuka-World On Tour				-74996.554688	-112660.164062	19128.980469
Ash Heap		MTRZ05MiningSite	660D34	Nuka-World On Tour				-73296.789062	-107656.140625	18441.367188
Ash Heap		MTRZ05MiningSite	39EFF1	Red Rocket Filling Station				-114463.054688	-129287.125	18703.962891
Ash Heap		MTRZ05MiningSite	39EFF2	Red Rocket Filling Station				-108772.414062	-125765.4375	18877.796875
Ash Heap		MTRZ05MiningSite	39EFF3	Red Rocket Filling Station				-111840.539062	-121564.960938	18847.171875
Ash Heap		MTRZ05MiningSite	39F003	Red Rocket Filling Station				-102610.390625	-126199.867188	19104.0
Ash Heap		MTRZ05MiningSite	39F007	Relay Tower HG-B7-09				-143928.171875	-79345.585938	13032.044922
Ash Heap		MTRZ05MiningSite	39F008	Relay Tower HG-B7-09				-135594.03125	-69467.359375	12501.492188
Ash Heap		MTRZ05MiningSite	39F009	Relay Tower HG-B7-09				-130669.859375	-70985.75	13523.586914
Ash Heap		MTRZ05MiningSite	39F001	Rollins Labor Camp				-100916.53125	-111391.09375	20329.689453
Ash Heap		MTRZ05MiningSite	39F002	Rollins Labor Camp				-99881.625	-117483.625	19058.738281
Ash Heap		MTRZ05MiningSite	0373B5	The Burning Mine				-84734.84375	-99817.640625	18407.984375
Ash Heap		MTRZ05MiningSite	04BC56	The Burning Mine				-82269.601562	-98715.484375	19479.517578
Ash Heap		MTRZ05MiningSite	04BCD7	The Burning Mine				-82224.0	-101368.0	19184.0
Ash Heap		MTRZ05MiningSite	04C05A	The Burning Mine				-85678.109375	-102198.804688	17513.113281
Ash Heap		MTRZ05MiningSite	04C0B1	The Burning Mine				-85712.0	-98840.0	18872.0
Ash Heap		MTRZ05MiningSite	39F00A	The Rusty Pick				-122453.664062	-73288.335938	13767.674805
Ash Heap		MTRZ05MiningSite	39EFF0	The Sludge Works				-113731.953125	-145924.0625	20512.390625
Ash Heap		MTRZ05MiningSite	39F014	Unfinished Mansion				-69442.335938	-138766.171875	26316.820312
Ash Heap		MTRZ05MiningSite	39EFF7	Welch Station				-153717.40625	-124148.25	12933.379883
Savage Divide		MTRZ05MiningSite	39F015	Hornwright Estate				-58635.496094	-141658.890625	27331.642578
